"target_unit_2001","level","state_code","district_code","state_std","district_std","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","nonfarm_employment","female_employment","hired_employment","private_employment","manufacturing_employment","services_employment","firms_total","harmonized_available","log_nonfarm_employment","log_firms_total","mean_employment_per_firm","female_employment_share","hired_employment_share","private_employment_share","manufacturing_employment_share","services_employment_share"
"pc2001__09__33","district","09","33","uttar pradesh","kanpur dehat",1,"kanpur dehat",TRUE,72986,11941,36663,67295,15834,56774,31346,TRUE,11.1980229209163,10.352841946214,2.32839915778728,0.163606719096813,0.502329213821829,0.922026141999836,0.216945715616694,0.777875208944181
"pc2001__09__34","district","09","34","uttar pradesh","kanpur nagar",1,"kanpur nagar",TRUE,408639,53769,222566,352924,117155,290997,157175,TRUE,12.9205874046816,11.9651151132513,2.59989820264037,0.13158068613128,0.5446518810001,0.863657164392043,0.286695591952799,0.712112647104168
"pc2001__09__35","district","09","35","uttar pradesh","jalaun",1,"jalaun",TRUE,79906,11480,27680,70240,13889,65764,45889,TRUE,11.2886062228023,10.7339807159115,1.74128876201268,0.143668810852752,0.346407028258203,0.879032863614747,0.173816734663229,0.823017045027908
"pc2001__09__36","district","09","36","uttar pradesh","jhansi",1,"jhansi",TRUE,105812,13320,42518,95087,16915,87176,57271,TRUE,11.5694192135247,10.9555496663844,1.84756683138063,0.12588364268703,0.401825879862397,0.89864098589952,0.159858995199032,0.823876308925264
"pc2001__09__37","district","09","37","uttar pradesh","lalitpur",1,"lalitpur",TRUE,48272,9599,20587,42282,10117,37469,24500,TRUE,10.7846069613988,10.1064283965328,1.97028571428571,0.198852336758369,0.426479118329466,0.875911501491548,0.209583195227047,0.776205667882002
"pc2001__09__38","district","09","38","uttar pradesh","hamirpur",1,"hamirpur",TRUE,42698,6266,15596,38616,8348,34072,21576,TRUE,10.6619073597123,9.97933686481957,1.97895810159436,0.146751604290599,0.365263009977048,0.904398332474589,0.195512670382688,0.79797648601808
"pc2001__09__39","district","09","39","uttar pradesh","mahoba",1,"mahoba",TRUE,39561,7320,14091,34598,7332,30626,20857,TRUE,10.5855990634758,9.94544490229664,1.89677326557031,0.185030712064912,0.356184120724956,0.874548166123202,0.185334041101084,0.774146255150274
"pc2001__09__40","district","09","40","uttar pradesh","banda",1,"banda",TRUE,65543,10690,28179,58935,12239,52996,31878,TRUE,11.0904616947786,10.369671395679,2.05605746910095,0.163099034221809,0.429931495354195,0.899180690539035,0.186732374166578,0.808568420731428
"pc2001__09__41","district","09","41","uttar pradesh","chitrakoot",1,"chitrakoot",TRUE,29085,5156,12149,24237,4002,25019,15100,TRUE,10.2779778563449,9.62245002280302,1.92615894039735,0.177273508681451,0.417706721677841,0.833316142341413,0.137596699329551,0.860202853704659
"pc2001__09__42","district","09","42","uttar pradesh","fatehpur",1,"fatehpur",TRUE,125176,21480,48112,110351,31834,92444,62099,TRUE,11.7374760259819,11.0364851647323,2.01574904587836,0.17159838946763,0.384354828401611,0.881566754010353,0.254313925992203,0.7385121748578
"pc2001__09__43","district","09","43","uttar pradesh","pratapgarh",1,"pratapgarh",TRUE,106913,15778,40629,97552,21185,85553,55527,TRUE,11.5797706985997,10.9246246679248,1.92542366776523,0.147577937201276,0.380019268002956,0.912442827345599,0.198151768260174,0.800211386828543
"pc2001__09__44","district","09","44","uttar pradesh","kaushambi",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__45","district","09","45","uttar pradesh","allahabad",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__46","district","09","46","uttar pradesh","barabanki",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__47","district","09","47","uttar pradesh","faizabad",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__48","district","09","48","uttar pradesh","ambedkar nagar",1,"ambedkar nagar",TRUE,101740,14294,35854,92099,16642,84851,51428,TRUE,11.5301758183768,10.8479380502041,1.97829975888621,0.140495380381364,0.352408099076076,0.905238844112443,0.163573815608414,0.833998427363869
"pc2001__09__49","district","09","49","uttar pradesh","sultanpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__50","district","09","50","uttar pradesh","bahraich",1,"bahraich",TRUE,97287,14221,40647,84740,17601,79474,50131,TRUE,11.485420651848,10.8223948581934,1.9406554826355,0.146175748044446,0.417805051034568,0.871031073010783,0.180918313854883,0.816902566632746
"pc2001__09__51","district","09","51","uttar pradesh","shrawasti",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__52","district","09","52","uttar pradesh","balrampur",1,"balrampur",TRUE,62284,7246,22515,57172,13575,48581,35378,TRUE,11.0394598499613,10.4738454370035,1.76052914240488,0.116338064350395,0.361489307045148,0.917924346541648,0.217953246419626,0.779991651146362
"pc2001__09__53","district","09","53","uttar pradesh","gonda",1,"gonda",TRUE,88114,11560,32664,77510,15415,72604,47800,TRUE,11.3863867096285,10.7747809184795,1.84338912133891,0.131193680913362,0.370701591120594,0.879655900310961,0.174943822775041,0.823978028463127
"pc2001__09__54","district","09","54","uttar pradesh","siddharthnagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__55","district","09","55","uttar pradesh","basti",1,"basti",TRUE,116545,14091,54821,103596,19369,96891,50092,TRUE,11.6660327435008,10.8216165936839,2.32661902100136,0.120906087777253,0.470384829894032,0.888892702389635,0.166193315886567,0.83136127676005
"pc2001__09__56","district","09","56","uttar pradesh","sant kabir nagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__57","district","09","57","uttar pradesh","maharajganj",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__58","district","09","58","uttar pradesh","gorakhpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__59","district","09","59","uttar pradesh","kushinagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__60","district","09","60","uttar pradesh","deoria",1,"deoria",TRUE,127566,17184,44828,114984,22093,104933,72533,TRUE,11.7563891567064,11.191796909697,1.75873050887182,0.13470674004045,0.351410250380195,0.901368703259489,0.173188780709593,0.822578116426007
"pc2001__09__61","district","09","61","uttar pradesh","azamgarh",1,"azamgarh",TRUE,193560,36915,55581,178810,26022,166360,102409,TRUE,12.1733428209073,11.5367298783504,1.89006825571971,0.190716057036578,0.287151270923745,0.923796238892333,0.13443893366398,0.859475098160777
"pc2001__09__62","district","09","62","uttar pradesh","mau",1,"mau",TRUE,157192,38045,41054,147326,15575,141228,70702,TRUE,11.965223267097,11.1662291400277,2.22330344261831,0.242028856430353,0.261171051961932,0.937235991653519,0.0990826505165657,0.898442668838109
"pc2001__09__63","district","09","63","uttar pradesh","ballia",1,"ballia",TRUE,176012,21663,81239,164288,24471,150482,78427,TRUE,12.0783074535142,11.2699235348058,2.24427811850511,0.123076835670295,0.461553757698339,0.933390905165557,0.139030293389087,0.854953071381497
"pc2001__09__64","district","09","64","uttar pradesh","jaunpur",1,"jaunpur",TRUE,176376,28867,63390,156883,39882,136099,91132,TRUE,12.0803733588768,11.4200642839189,1.93539042268358,0.163667392388987,0.359402639814941,0.889480428176169,0.226119199891142,0.771641266385449
"pc2001__09__65","district","09","65","uttar pradesh","ghazipur",1,"ghazipur",TRUE,154460,26638,52398,138353,29510,123687,80368,TRUE,11.9476904421233,11.2943713659898,1.92190921759904,0.172458889032759,0.339233458500583,0.895720574906125,0.191052699728085,0.800770426000259
"pc2001__09__66","district","09","66","uttar pradesh","chandauli",1,"chandauli",TRUE,67326,10138,23055,61292,11564,55441,35006,TRUE,11.1173017708929,10.4632747543508,1.9232702965206,0.150580756319995,0.342438285357811,0.910376377625286,0.171761280931587,0.823470873065383
"pc2001__09__67","district","09","67","uttar pradesh","varanasi",1,"varanasi",TRUE,311672,44781,107966,291012,40409,270593,137255,TRUE,12.6497066317558,11.8295957885807,2.27075152089177,0.143679894247799,0.34640904540671,0.933712364280397,0.129652326805103,0.868197977360815
"pc2001__09__68","district","09","68","uttar pradesh","sant ravidas nagar bhadohi",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__09__69","district","09","69","uttar pradesh","mirzapur",1,"mirzapur",TRUE,119527,22463,49302,109792,38124,80592,54051,TRUE,11.6912975662554,10.8976833242838,2.21137444265601,0.187932433676073,0.412475842278314,0.918553966886143,0.318957223054205,0.674257699097275
"pc2001__09__70","district","09","70","uttar pradesh","sonbhadra",1,"sonbhadra",TRUE,70346,11000,36556,63756,8093,61989,29164,TRUE,11.1611812023617,10.2806903509263,2.41208339048142,0.156369942853894,0.51965996645154,0.906320188781167,0.115045631592415,0.881201489779092
"pc2001__10__01","district","10","01","bihar","pashchim champaran",1,"pashchim champaran",TRUE,106895,14274,40532,96138,19786,85705,61012,TRUE,11.5796023232345,11.0188258451198,1.7520323870714,0.133532906122831,0.379175826745872,0.899368539220731,0.185097525609243,0.801768090181954
"pc2001__10__02","district","10","02","bihar","purba champaran",1,"purba champaran",TRUE,121427,16273,48777,111644,19729,99628,62631,TRUE,11.707068538151,11.0450156421811,1.9387683415561,0.134014675484036,0.401698139622983,0.919433075016265,0.162476220280498,0.820476500284121
"pc2001__10__03","district","10","03","bihar","sheohar",1,"sheohar",TRUE,14839,2396,5718,12717,2231,12441,8768,TRUE,9.60501412900613,9.0788640091878,1.69240419708029,0.161466406092055,0.385335939079453,0.856998450030325,0.150347058427118,0.838398813936249
"pc2001__10__04","district","10","04","bihar","sitamarhi",1,"sitamarhi",TRUE,72994,10806,28826,65791,14683,56756,39179,TRUE,11.1981325249718,10.5758961679467,1.86308992062074,0.148039564895745,0.394909170616763,0.901320656492314,0.201153519467353,0.777543359728197
"pc2001__10__05","district","10","05","bihar","madhubani",1,"madhubani",TRUE,99315,15288,37797,88337,15424,81862,54180,TRUE,11.5060518960271,10.9000671156391,1.83305647840532,0.153934450989277,0.380576952122036,0.889462820319186,0.155303831244022,0.824266223631878
"pc2001__10__06","district","10","06","bihar","supaul",1,"supaul",TRUE,55505,9886,18792,49306,10660,44420,31468,TRUE,10.9242283857667,10.3567264354491,1.7638553451125,0.178110080172957,0.338564093324926,0.888316367894784,0.192054769840555,0.80028826231871
"pc2001__10__07","district","10","07","bihar","araria",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__08","district","10","08","bihar","kishanganj",1,"kishanganj",TRUE,42744,4428,13379,40645,10610,32035,25688,TRUE,10.6629841136376,10.1537792357693,1.66396761133603,0.103593486805166,0.313002994572338,0.950893692682014,0.248221972674527,0.749461912783081
"pc2001__10__09","district","10","09","bihar","purnia",1,"purnia",TRUE,103164,16974,44697,94361,21675,80948,51883,TRUE,11.5440752339624,10.8567464625103,1.98839697010582,0.164534139816215,0.433261602884727,0.914669846070335,0.210102361288822,0.78465356131984
"pc2001__10__10","district","10","10","bihar","katihar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__11","district","10","11","bihar","madhepura",1,"madhepura",TRUE,61759,11649,22780,53854,15518,45613,32963,TRUE,11.0309949928577,10.4031409992989,1.87358553529715,0.188620282064153,0.368853122621804,0.872002461179747,0.251267021810586,0.738564419760683
"pc2001__10__12","district","10","12","bihar","saharsa",1,"saharsa",TRUE,42779,6938,16894,37744,7445,34989,22996,TRUE,10.6638026069541,10.0430755667432,1.86028004870412,0.16218237920475,0.394913392084901,0.88230206409687,0.174033988639286,0.817901306715912
"pc2001__10__13","district","10","13","bihar","darbhanga",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__14","district","10","14","bihar","muzaffarpur",1,"muzaffarpur",TRUE,133735,18695,62496,120107,23947,108876,65634,TRUE,11.8036155089363,11.0918491333478,2.0375872261328,0.139791378472352,0.467312221931432,0.898096982839197,0.179063072494111,0.814117471118256
"pc2001__10__15","district","10","15","bihar","gopalganj",1,"gopalganj",TRUE,64752,9658,25840,58406,12783,51827,34293,TRUE,11.0783198671156,10.4426965306939,1.88819875776398,0.149153694094391,0.39906103286385,0.901995305164319,0.197414751667902,0.800392265875957
"pc2001__10__16","district","10","16","bihar","siwan",1,"siwan",TRUE,81192,13320,29719,72198,11379,69792,44719,TRUE,11.3045719991287,10.7081537462194,1.81560410563742,0.164055571977535,0.366033599369396,0.889225539462016,0.140149275790718,0.859592078037245
"pc2001__10__17","district","10","17","bihar","saran",1,"saran",TRUE,101858,16373,38988,88220,37098,63137,52195,TRUE,11.531334965453,10.8627419838424,1.95148960628413,0.160743387853679,0.382768167448801,0.866107718588623,0.364212923874413,0.619853128865676
"pc2001__10__18","district","10","18","bihar","vaishali",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__19","district","10","19","bihar","samastipur",1,"samastipur",TRUE,135205,22645,48968,121690,27712,105900,72367,TRUE,11.8145474241557,11.1895056733599,1.86832395981594,0.167486409526275,0.362175955031249,0.900040678968973,0.204962834214711,0.783255057135461
"pc2001__10__20","district","10","20","bihar","begusarai",1,"begusarai",TRUE,98740,18437,37965,90517,19188,79120,52256,TRUE,11.5002454118129,10.8639099957702,1.88954378444581,0.18672270609682,0.384494632367835,0.916720680575248,0.194328539598947,0.801296333805955
"pc2001__10__21","district","10","21","bihar","khagaria",1,"khagaria",TRUE,53148,10599,19116,47579,9403,43171,28635,TRUE,10.8808357537112,10.262385024828,1.85605028810896,0.1994242492662,0.359674870173854,0.8952171295251,0.176921050651012,0.812278919244374
"pc2001__10__22","district","10","22","bihar","bhagalpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__23","district","10","23","bihar","banka",1,"banka",TRUE,56801,11933,20745,48892,9445,46833,32578,TRUE,10.9473092101881,10.3913924929176,1.74353858432071,0.210084329501241,0.365222443266844,0.860759493670886,0.16628228376261,0.824510131863876
"pc2001__10__24","district","10","24","bihar","munger",1,"munger",TRUE,56132,8717,28664,49611,17401,38473,24965,TRUE,10.935461338871,10.1252301229347,2.24842779891849,0.155294662581059,0.510653459702131,0.883827406826766,0.310001425212,0.68540226608708
"pc2001__10__25","district","10","25","bihar","lakhisarai",1,"lakhisarai",TRUE,36711,7219,14814,31336,9930,26074,18383,TRUE,10.5108317166538,9.81918160348287,1.99700810531469,0.1966440576394,0.403530277028683,0.853586118602054,0.27049113344774,0.710250333687451
"pc2001__10__26","district","10","26","bihar","sheikhpura",1,"sheikhpura",TRUE,23795,3647,10167,20767,3078,20597,11250,TRUE,10.0772307535552,9.32812340763257,2.11511111111111,0.153267493170834,0.427274637528893,0.872746375288926,0.129354906492961,0.86560201723051
"pc2001__10__27","district","10","27","bihar","nalanda",1,"nalanda",TRUE,104967,18288,42429,91157,13378,91386,55303,TRUE,11.5614012940273,10.9205824355869,1.89803446467642,0.174226185372546,0.404212752579382,0.868434841426353,0.127449579391618,0.870616479464975
"pc2001__10__28","district","10","28","bihar","patna",1,"patna",TRUE,278468,42670,113568,257868,39156,237685,138969,TRUE,12.5370584304911,11.8420061656571,2.00381380020004,0.153231250987546,0.407831420486375,0.926023816021949,0.140612206788572,0.853545111107919
"pc2001__10__29","district","10","29","bihar","bhojpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__30","district","10","30","bihar","buxar",1,"buxar",TRUE,56064,9972,19672,49869,10412,45599,30865,TRUE,10.9342491742961,10.337378134828,1.8164263729143,0.177868150684932,0.350884703196347,0.889501284246575,0.185716324200913,0.813338327625571
"pc2001__10__31","district","10","31","bihar","kaimur bhabua",1,"kaimur bhabua",TRUE,41732,7081,16335,35677,7669,33977,21987,TRUE,10.6390234995879,9.99820664859396,1.89803065447765,0.169677944982268,0.391426243649957,0.85490750503211,0.183767852008051,0.814171379277293
"pc2001__10__32","district","10","32","bihar","rohtas",1,"rohtas",TRUE,98282,14066,41007,87100,19223,78908,50476,TRUE,11.4955961764484,10.8292532547728,1.94710357397575,0.143118780651594,0.41723815144177,0.886225351539448,0.19559024032885,0.802873364400399
"pc2001__10__33","district","10","33","bihar","jehanabad",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__34","district","10","34","bihar","aurangabad",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__10__35","district","10","35","bihar","gaya",1,"gaya",TRUE,116450,23695,49973,103712,24143,91579,58962,TRUE,11.6652172753125,10.9846484475905,1.9750008480038,0.203477887505367,0.429136968656076,0.890613997423787,0.207325032202662,0.786423357664234
"pc2001__10__36","district","10","36","bihar","nawada",1,"nawada",TRUE,84814,17930,20197,80349,28680,56055,48186,TRUE,11.348215902493,10.7828238014165,1.76013779936081,0.211403777678214,0.238132855424812,0.947355389440423,0.338151720234867,0.66091682976867
"pc2001__10__37","district","10","37","bihar","jamui",1,"jamui",TRUE,50577,9647,19578,44818,7955,42222,27301,TRUE,10.8312522064839,10.2146786105388,1.85256950294861,0.190738873400953,0.387092947387152,0.88613401348439,0.157284931886035,0.834806334895308
"pc2001__11__01","district","11","01","sikkim","north",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__11__02","district","11","02","sikkim","west",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__11__03","district","11","03","sikkim","south",1,"south district",TRUE,18316,6240,9843,13155,2527,15703,8562,TRUE,9.81553027377699,9.05508908670489,2.13921980845597,0.340685739244377,0.537398995413846,0.71822450316663,0.137966804979253,0.857337846691417
"pc2001__11__04","district","11","04","sikkim","east",1,"east district",TRUE,50266,16770,29069,39528,7524,42723,17556,TRUE,10.8250841832005,9.77315105080812,2.86318067897015,0.333625114391438,0.578303425774878,0.786376477141607,0.149683682807464,0.849938328094537
"pc2001__12__01","district","12","01","arunachal pradesh","tawang",1,"tawang",TRUE,3034,920,1649,2269,366,2668,1340,TRUE,8.01763715990848,7.20042489294496,2.26417910447761,0.30323005932762,0.543506921555702,0.747857613711272,0.120632827949901,0.879367172050099
"pc2001__12__02","district","12","02","arunachal pradesh","west kameng",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__03","district","12","03","arunachal pradesh","east kameng",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__04","district","12","04","arunachal pradesh","papum pare",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__05","district","12","05","arunachal pradesh","lower subansiri",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__06","district","12","06","arunachal pradesh","upper subansiri",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__07","district","12","07","arunachal pradesh","west siang",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__08","district","12","08","arunachal pradesh","east siang",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__09","district","12","09","arunachal pradesh","upper siang",1,"upper siang",TRUE,2129,644,1460,1316,219,1903,784,TRUE,7.66340766489348,6.66440902035041,2.7155612244898,0.302489431658055,0.685767966181306,0.618130577736026,0.102865194927196,0.893846876467825
"pc2001__12__10","district","12","10","arunachal pradesh","dibang valley",2,"dibang valley;lower dibang valley",TRUE,6749,2878,5354,4819,296,6391,1233,TRUE,8.81714962474341,7.11720550316434,5.47364152473641,0.426433545710476,0.793302711512817,0.714031708401245,0.0438583493850941,0.94695510445992
"pc2001__12__11","district","12","11","arunachal pradesh","lohit",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__12__12","district","12","12","arunachal pradesh","changlang",1,"changlang",TRUE,9348,2472,6961,6295,2329,6717,2108,TRUE,9.14291769565875,7.65349490966125,4.43453510436433,0.264441591784339,0.744651262302097,0.673406076166025,0.249144201968335,0.718549422336329
"pc2001__12__13","district","12","13","arunachal pradesh","tirap",1,"tirap",TRUE,1860,600,1166,1306,166,1694,756,TRUE,7.52833176670725,6.62804137617953,2.46031746031746,0.32258064516129,0.626881720430107,0.702150537634409,0.089247311827957,0.910752688172043
"pc2001__13__01","district","13","01","nagaland","mon",1,"mon",TRUE,17835,6557,6627,15968,2885,14216,7423,TRUE,9.78891809779299,8.91233856711755,2.40266738515425,0.367647883375385,0.371572750210261,0.895318194561256,0.161760583123073,0.79708438463695
"pc2001__13__02","district","13","02","nagaland","tuensang",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__13__03","district","13","03","nagaland","mokokchung",1,"mokokchung",TRUE,15908,6284,10123,11488,2540,13266,5419,TRUE,9.67457740632758,8.59766657556611,2.93559697361137,0.395021372894141,0.636346492330903,0.722152376162937,0.159668091526276,0.83392004023133
"pc2001__13__04","district","13","04","nagaland","zunheboto",1,"zunheboto",TRUE,8349,3244,5296,5887,774,7561,2869,TRUE,9.029897050194,7.96171881598136,2.91007319623562,0.388549526889448,0.63432746436699,0.705114384956282,0.0927057132590729,0.905617439214277
"pc2001__13__05","district","13","05","nagaland","wokha",1,"wokha",TRUE,12612,5086,6594,10691,1114,11073,4316,TRUE,9.44240402066495,8.37008432637803,2.92215013901761,0.403266730098319,0.522835394862036,0.847684744687599,0.0883285759594037,0.877973358705994
"pc2001__13__06","district","13","06","nagaland","dimapur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__13__07","district","13","07","nagaland","kohima",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__13__08","district","13","08","nagaland","phek",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__14__01","district","14","01","manipur","senapati excl 3 sub divisions",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__14__02","district","14","02","manipur","tamenglong",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__14__03","district","14","03","manipur","churachandpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__14__04","district","14","04","manipur","bishnupur",1,"bishnupur",TRUE,46208,19611,9349,43908,6164,30854,30679,TRUE,10.7409082222525,10.3313336604259,1.50617686365266,0.424407029085873,0.202324272853186,0.950225069252078,0.133396814404432,0.66771987534626
"pc2001__14__05","district","14","05","manipur","thoubal",1,"thoubal",TRUE,71655,28753,20579,69256,10881,55294,43383,TRUE,11.1796182144922,10.6778229382829,1.65168383929189,0.401269974181844,0.287195589979764,0.966520131184146,0.151852627171865,0.771669806712721
"pc2001__14__06","district","14","06","manipur","imphal west",1,"imphal west",TRUE,97394,37498,37584,92045,16770,77828,50178,TRUE,11.4865198860905,10.8233319626096,1.94097014627925,0.385013450520566,0.385896461794361,0.945078752284535,0.172187198390045,0.799104667638664
"pc2001__14__07","district","14","07","manipur","imphal east",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__14__08","district","14","08","manipur","ukhrul",1,"ukhrul",TRUE,15454,6020,6635,13153,1459,13704,6905,TRUE,9.64562314849353,8.84000106584339,2.23808834178132,0.389543160346836,0.429338682541737,0.851106509641517,0.0944092144428627,0.886760709201501
"pc2001__14__09","district","14","09","manipur","chandel",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__15__01","district","15","01","mizoram","mamit",1,"mamit",TRUE,5893,2373,3378,3855,516,5370,2772,TRUE,8.68152048483791,7.92732436030979,2.12590187590188,0.402681147123706,0.573222467334125,0.6541659596131,0.0875615136602749,0.91125063634821
"pc2001__15__02","district","15","02","mizoram","kolasib",1,"kolasib",TRUE,7582,3203,3970,5813,886,6665,3529,TRUE,8.93353229607628,8.16876982367527,2.14848398979881,0.422447902927987,0.523608546557637,0.766684252176207,0.116855710894223,0.879055658137694
"pc2001__15__03","district","15","03","mizoram","aizawl",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__15__04","district","15","04","mizoram","champhai",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__15__05","district","15","05","mizoram","serchhip",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__15__06","district","15","06","mizoram","lunglei",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__15__07","district","15","07","mizoram","lawngtlai",1,"lawngtlai",TRUE,6969,2516,3524,5182,433,6518,3391,TRUE,8.84922702143852,8.12888014212564,2.05514597463875,0.361027407088535,0.505667958100158,0.743578705696657,0.0621323001865404,0.935284832831109
"pc2001__15__08","district","15","08","mizoram","saiha",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__16__01","district","16","01","tripura","west tripura",1,"west tripura",TRUE,198430,35498,86405,156270,35451,159481,108481,TRUE,12.1981916720793,11.5943303214208,1.8291682414432,0.17889432041526,0.435443229350401,0.787532127198508,0.178657461069395,0.803714156125586
"pc2001__16__02","district","16","02","tripura","south tripura",1,"south tripura",TRUE,87074,15240,32042,67308,16866,68694,54666,TRUE,11.3745136108157,10.9089972229419,1.59283649800607,0.175023543193146,0.367985851115143,0.772997680134139,0.193697314927533,0.788915175597767
"pc2001__16__03","district","16","03","tripura","dhalai",1,"dhalai",TRUE,31119,7130,12249,22238,5400,24646,18834,TRUE,10.3455738440999,9.84341902607001,1.65227779547627,0.229120473022912,0.393618046852405,0.714611652045374,0.173527426973874,0.791992030592243
"pc2001__16__04","district","16","04","tripura","north tripura",1,"north tripura",TRUE,65619,13068,24467,51231,11331,53201,39534,TRUE,11.0916205671426,10.5849163401419,1.65981180755805,0.199149636538198,0.372864566665143,0.780734238558954,0.172678644904677,0.810756031027599
"pc2001__17__01","district","17","01","meghalaya","west garo hills",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__17__02","district","17","02","meghalaya","east garo hills",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__17__03","district","17","03","meghalaya","south garo hills",1,"south garo hills",TRUE,14225,3924,9472,10943,700,12498,5108,TRUE,9.56275625899453,8.53856321715243,2.78484729835552,0.27585237258348,0.665869947275923,0.769279437609842,0.0492091388400703,0.878594024604569
"pc2001__17__04","district","17","04","meghalaya","west khasi hills",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__17__05","district","17","05","meghalaya","ri bhoi",1,"ribhoi",TRUE,29837,11669,16000,26710,6370,22190,10705,TRUE,10.3035045130706,9.27846620102378,2.78720224194302,0.391091597680732,0.536246941716661,0.89519723832825,0.213493313670945,0.743707477293294
"pc2001__17__06","district","17","06","meghalaya","east khasi hills",1,"east khasi hills",TRUE,93965,40430,56290,82872,11789,81091,33030,TRUE,11.4506776514907,10.4051715183848,2.84483802603694,0.430266588623424,0.599052838822966,0.881945405204065,0.125461608045549,0.862991539402969
"pc2001__17__07","district","17","07","meghalaya","jaintia hills",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__01","district","18","01","assam","kokrajhar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__02","district","18","02","assam","dhubri",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__03","district","18","03","assam","goalpara",1,"goalpara",TRUE,95695,17235,43486,80307,12852,79078,49810,TRUE,11.4689213294722,10.8159710460673,1.92120056213612,0.180103453680966,0.454422906107947,0.83919745023251,0.134301687653482,0.826354563979309
"pc2001__18__04","district","18","04","assam","bongaigaon",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__05","district","18","05","assam","barpeta",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__06","district","18","06","assam","kamrup",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__07","district","18","07","assam","nalbari",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__08","district","18","08","assam","darrang",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__09","district","18","09","assam","marigaon",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__10","district","18","10","assam","nagaon",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__11","district","18","11","assam","sonitpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__12","district","18","12","assam","lakhimpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__18__13","district","18","13","assam","dhemaji",1,"dhemaji",TRUE,52164,12050,23959,40842,5018,45494,26569,TRUE,10.8621478807768,10.1875004016135,1.96334073544356,0.231002223755847,0.459301433939115,0.782953761214631,0.0961966106893643,0.872134038800706
"pc2001__18__14","district","18","14","assam","tinsukia",1,"tinsukia",TRUE,147915,32117,80583,133310,37019,107712,59981,TRUE,11.9043930634345,11.0017831243881,2.4660309097881,0.217131460636176,0.544792617381604,0.901260859277288,0.250272115742149,0.728202007909948
