"target_unit_2001","level","state_code","district_code","state_std","district_std","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","nonfarm_employment","female_employment","hired_employment","private_employment","manufacturing_employment","services_employment","firms_total","harmonized_available","log_nonfarm_employment","log_firms_total","mean_employment_per_firm","female_employment_share","hired_employment_share","private_employment_share","manufacturing_employment_share","services_employment_share"
"pc2001__03__10","district","03","10","punjab","moga",1,"moga",TRUE,85358,15392,45138,74647,23295,61980,36406,TRUE,11.3546094555231,10.5024888752058,2.34461352524309,0.180322875418824,0.528808078914689,0.874516741254481,0.272909393378477,0.726118231448722
"pc2001__03__11","district","03","11","punjab","firozpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__03__12","district","03","12","punjab","muktsar",1,"muktsar",TRUE,71762,12605,37559,63077,20078,51525,30597,TRUE,11.1811103670243,10.3286572439186,2.34539333921626,0.175650065494273,0.523382848861514,0.878974944956941,0.279785959142722,0.717998383545609
"pc2001__03__13","district","03","13","punjab","faridkot",1,"faridkot",TRUE,59877,11311,28985,51100,15455,44274,26491,TRUE,11.0000477370781,10.184560331648,2.2602770752331,0.188903919702056,0.484075688494748,0.853416169814787,0.258112463884296,0.73941580239491
"pc2001__03__14","district","03","14","punjab","bathinda",1,"bathinda",TRUE,113340,19830,60439,96937,32204,81019,46496,TRUE,11.6381474297236,10.74712156637,2.43762904335857,0.17496029645315,0.533253926239633,0.855276160225869,0.284136227280748,0.714831480501147
"pc2001__03__15","district","03","15","punjab","mansa",1,"mansa",TRUE,51647,9794,27230,43882,14304,37249,21979,TRUE,10.8521873896082,9.99784273101727,2.34983393239001,0.189633473386644,0.527232946734563,0.849652448351308,0.276957035258582,0.721222917110384
"pc2001__03__16","district","03","16","punjab","sangrur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__03__17","district","03","17","punjab","patiala",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__04__01","district","04","01","chandigarh","chandigarh",1,"chandigarh",TRUE,244274,46497,154265,210911,28056,215947,82381,TRUE,12.4060458250574,11.3191101067851,2.96517400856994,0.190347724276837,0.631524435674693,0.863419766327976,0.114854630455963,0.884035959619116
"pc2001__05__01","district","05","01","uttarakhand","uttarkashi",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__02","district","05","02","uttarakhand","chamoli",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__03","district","05","03","uttarakhand","rudraprayag",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__04","district","05","04","uttarakhand","tehri garhwal",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__05","district","05","05","uttarakhand","dehradun",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__06","district","05","06","uttarakhand","garhwal",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__07","district","05","07","uttarakhand","pithoragarh",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__08","district","05","08","uttarakhand","bageshwar",1,"bageshwar",TRUE,14901,2682,7679,10289,2161,12498,8029,TRUE,9.60918360377546,8.99081526618468,1.8558973720264,0.179987920273807,0.515334541305953,0.690490571102611,0.145023823904436,0.838735655325146
"pc2001__05__09","district","05","09","uttarakhand","almora",1,"almora",TRUE,39327,9766,21870,26554,6169,32789,18145,TRUE,10.5796665848659,9.80615031964717,2.16737393221273,0.248328120629593,0.556106491723244,0.675210415236352,0.156864240852341,0.83375289241488
"pc2001__05__10","district","05","10","uttarakhand","champawat",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__11","district","05","11","uttarakhand","nainital",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__12","district","05","12","uttarakhand","udham singh nagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__05__13","district","05","13","uttarakhand","hardwar",1,"hardwar",TRUE,270248,40453,177382,252470,139595,129626,80547,TRUE,12.507095334919,11.2965961439637,3.3551590996561,0.149688434326989,0.656367484680738,0.934215979396702,0.51654406323081,0.479655723631627
"pc2001__06__01","district","06","01","haryana","panchkula",1,"panchkula",TRUE,54127,9302,36394,44566,15846,38253,17410,TRUE,10.8990884161233,9.76480003276223,3.10896036760482,0.171855081567425,0.672381621002457,0.823359875847544,0.292755925878028,0.706726772220888
"pc2001__06__02","district","06","02","haryana","ambala",1,"ambala",TRUE,118474,17508,69399,97945,31218,87183,45301,TRUE,11.6824488062009,10.7210843862827,2.61526235623938,0.147779259584381,0.585774093894019,0.826721474753954,0.263500852507723,0.735882978543816
"pc2001__06__03","district","06","03","haryana","yamunanagar",1,"yamunanagar",TRUE,130297,15371,75058,114194,43846,86424,51945,TRUE,11.7775717390566,10.8579407455046,2.50836461642121,0.117968947865262,0.57605317083279,0.876413117723355,0.336508131422826,0.66328464968495
"pc2001__06__04","district","06","04","haryana","kurukshetra",1,"kurukshetra",TRUE,107460,16893,53511,91669,20872,86537,49576,TRUE,11.5848739642828,10.8112621246419,2.16758108762304,0.157202680067002,0.497962032384143,0.853052298529685,0.194230411315838,0.805294993485948
"pc2001__06__05","district","06","05","haryana","kaithal",1,"kaithal",TRUE,98621,13163,49616,85887,24567,70101,45118,TRUE,11.4990394996578,10.7170365589484,2.18584600381223,0.13347055900873,0.503097717524665,0.870879427302501,0.249105160158587,0.710812098843046
"pc2001__06__06","district","06","06","haryana","karnal",1,"karnal",TRUE,126283,19920,65424,112184,30877,95327,53893,TRUE,11.7462806991208,10.8947558783334,2.34321711539532,0.157740946920805,0.518074483501342,0.888353935209015,0.244506386449482,0.754868034493954
"pc2001__06__07","district","06","07","haryana","panipat",1,"panipat",TRUE,182032,31493,117029,159816,57649,111774,57080,TRUE,12.1119377747795,10.9522090715908,3.18906797477225,0.173008042541971,0.642903445548035,0.877955524303419,0.316697064252439,0.614034894963523
"pc2001__06__08","district","06","08","haryana","sonipat",1,"sonipat",TRUE,160091,29534,109956,136456,56004,97673,47272,TRUE,11.983497682539,10.7636734330255,3.38659248603825,0.184482575535164,0.686834362956069,0.85236521728267,0.349826036441774,0.610109250363856
"pc2001__06__09","district","06","09","haryana","jind",1,"jind",TRUE,94452,13898,40026,81961,22568,71445,48149,TRUE,11.4558470479305,10.7820556485786,1.96166067831108,0.147143522635836,0.423770804218015,0.86775293270656,0.238936179223309,0.75641595731165
"pc2001__06__10","district","06","10","haryana","fatehabad",1,"fatehabad",TRUE,76265,12014,35202,67466,17277,58957,37772,TRUE,11.241969396434,10.539323366383,2.01908821349148,0.157529666295155,0.461574772175965,0.88462597521799,0.226539041500033,0.773054481085688
"pc2001__06__11","district","06","11","haryana","sirsa",1,"sirsa",TRUE,128288,15754,74728,115506,26673,101546,47370,TRUE,11.7620330154422,10.7657443959178,2.70821194849061,0.122801820902968,0.582501870790721,0.900364804190571,0.207915003741581,0.791547143926166
"pc2001__06__12","district","06","12","haryana","hisar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__06__13","district","06","13","haryana","bhiwani",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__06__14","district","06","14","haryana","rohtak",1,"rohtak",TRUE,97334,15143,53728,85366,27635,69615,39535,TRUE,11.4859036418739,10.584941634505,2.46197040596939,0.155577701522592,0.551996219203978,0.877041938068917,0.283919288224053,0.715217703988329
"pc2001__06__15","district","06","15","haryana","jhajjar",1,"jhajjar",TRUE,109307,13532,74139,100846,46263,62936,33472,TRUE,11.6019157160297,10.4184645474246,3.265625,0.123798109910619,0.678263972115235,0.92259416139863,0.423239133815767,0.575772823332449
"pc2001__06__16","district","06","16","haryana","mahendragarh",1,"mahendragarh",TRUE,69294,9323,33690,60196,9214,56825,33951,TRUE,11.1461136013431,10.4326735876341,2.04100026508792,0.134542673247323,0.486189280457182,0.868704361127948,0.132969665483303,0.820056570554449
"pc2001__06__17","district","06","17","haryana","rewari",1,"rewari",TRUE,101215,12413,68812,91374,47304,53539,30541,TRUE,11.5250022461957,10.3268253221789,3.31406961134213,0.122639924912315,0.679859704589241,0.902771328360421,0.46736155708146,0.528963098354987
"pc2001__06__18","district","06","18","haryana","gurgaon",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__06__19","district","06","19","haryana","faridabad",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__01","district","07","01","delhi","north west",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__02","district","07","02","delhi","north",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__03","district","07","03","delhi","north east",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__04","district","07","04","delhi","east",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__05","district","07","05","delhi","new delhi",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__06","district","07","06","delhi","central",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__07","district","07","07","delhi","west",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__08","district","07","08","delhi","south west",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__07__09","district","07","09","delhi","south",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__01","district","08","01","rajasthan","ganganagar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__02","district","08","02","rajasthan","hanumangarh",1,"hanumangarh",TRUE,135967,20603,68305,122392,42701,92995,60409,TRUE,11.8201674882158,11.008893379445,2.25077389130759,0.151529415225753,0.502364544337964,0.900159597549405,0.314054145491185,0.683952723822692
"pc2001__08__03","district","08","03","rajasthan","bikaner",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__04","district","08","04","rajasthan","churu",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__05","district","08","05","rajasthan","jhunjhunun",1,"jhunjhunun",TRUE,139658,23077,69068,117270,28313,110770,67064,TRUE,11.8469518558049,11.1134026663177,2.08245854705953,0.165239370462129,0.494550974523479,0.839694109897034,0.202730957052228,0.79315184235776
"pc2001__08__06","district","08","06","rajasthan","alwar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__07","district","08","07","rajasthan","bharatpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__08","district","08","08","rajasthan","dhaulpur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__09","district","08","09","rajasthan","karauli",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__10","district","08","10","rajasthan","sawai madhopur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__11","district","08","11","rajasthan","dausa",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__12","district","08","12","rajasthan","jaipur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__13","district","08","13","rajasthan","sikar",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__14","district","08","14","rajasthan","nagaur",,,,,,,,,,,FALSE,,,,,,,,
"pc2001__08__15","district","08","15","rajasthan","jodhpur",,,,,,,,,,,FALSE,,,,,,,,
