"target_unit_2001","level","state_code","district_code","state_std","district_std","name_key","key","nonfarm_firms_raw","nonfarm_employment_raw","it_firms","it_employment","ec05_source_district_count","source_available","it_firm_share_nonfarm","it_employment_share_nonfarm"
"pc2001__01__01","district","01","01","jammu and kashmir","kupwara","kupwara","01/01",13941,28629,30,65,1,TRUE,0.0021519259737465,0.00227042509343672
"pc2001__01__02","district","01","02","jammu and kashmir","baramula","baramula","01/02",34837,74909,33,56,1,TRUE,0.000947268708556994,0.000747573722783644
"pc2001__01__03","district","01","03","jammu and kashmir","srinagar","srinagar","01/03",48578,129671,69,198,1,TRUE,0.00142039606406192,0.00152694125903247
"pc2001__01__04","district","01","04","jammu and kashmir","badgam","badgam","01/04",23409,55618,16,36,1,TRUE,0.000683497799991456,0.000647272465748499
"pc2001__01__05","district","01","05","jammu and kashmir","pulwama","pulwama","01/05",21381,48936,16,112,1,TRUE,0.000748327954726159,0.00228870361288213
"pc2001__01__06","district","01","06","jammu and kashmir","anantnag","anantnag","01/06",39254,78872,6,10,1,TRUE,0.000152850664900392,0.000126787706663962
"pc2001__01__07","district","01","07","jammu and kashmir","leh ladakh","leh ladakh","01/07",6500,15936,0,0,1,TRUE,0,0
"pc2001__01__08","district","01","08","jammu and kashmir","kargil","kargil","01/08",3432,9068,1,1,1,TRUE,0.000291375291375291,0.000110277900308778
"pc2001__01__09","district","01","09","jammu and kashmir","doda","doda","01/09",15368,33294,32,66,1,TRUE,0.00208224882873503,0.00198233916020905
"pc2001__01__10","district","01","10","jammu and kashmir","udhampur","udhampur","01/10",20676,43322,7,9,1,TRUE,0.000338556780808667,0.000207746641429297
"pc2001__01__11","district","01","11","jammu and kashmir","punch","punch","01/11",9393,19576,7,17,1,TRUE,0.000745235813903971,0.000868410298324479
"pc2001__01__12","district","01","12","jammu and kashmir","rajauri","rajauri","01/12",13121,29324,1,1,1,TRUE,7.62137032238396e-05,3.4101759650798e-05
"pc2001__01__13","district","01","13","jammu and kashmir","jammu","jammu","01/13",54849,135265,50,101,1,TRUE,0.000911593648015461,0.000746682438176912
