"state_code","district_code","level","state_std","district_std","target_unit_2001","nonfarm_employment","female_employment","hired_employment","private_employment","manufacturing_employment","services_employment","firms_total","informal_employment","source_available","log_nonfarm_employment","log_firms_total","mean_employment_per_firm","female_employment_share","hired_employment_share","private_employment_share","manufacturing_employment_share","services_employment_share","informal_employment_share"
"01","01","district","jammu and kashmir","kupwara","pc2001__01__01",25709,3283,14274,15933,4613,20684,13577,6457,TRUE,10.154596404132,9.51613246360028,1.89357000810194,0.127698471352445,0.555214127348399,0.619744058500914,0.179431327550663,0.804543156093197,0.251157182309697
"01","02","district","jammu and kashmir","baramula","pc2001__01__02",66367,7177,32955,51815,19280,46445,34177,19473,TRUE,11.1029552239733,10.4393081821914,1.94186148579454,0.108141094218512,0.49655702382208,0.780734401133093,0.29050582367743,0.699820694019618,0.293413895460093
"01","03","district","jammu and kashmir","srinagar","pc2001__01__03",100341,10252,51048,85799,25466,74353,47850,16468,TRUE,11.5163296641038,10.7758263968811,2.09699059561129,0.102171594861522,0.508745178939815,0.85507419698827,0.25379456054853,0.741003179159068,0.164120349607837
"01","04","district","jammu and kashmir","badgam","pc2001__01__04",52054,8025,28923,43145,21871,30012,23003,22966,TRUE,10.8600369202738,10.043379921188,2.26292222753554,0.154166826756829,0.555634533369194,0.828850808775502,0.420159834018519,0.576555115841242,0.441195681407769
"01","05","district","jammu and kashmir","pulwama","pc2001__01__05",44768,4356,25543,34142,13515,30275,21021,8601,TRUE,10.7092488774652,9.95327721703864,2.12967984396556,0.097301644031451,0.570563795568263,0.762642959256612,0.301889742673338,0.676264295925661,0.19212383845604
"01","06","district","jammu and kashmir","anantnag","pc2001__01__06",74231,9681,37348,57161,21494,52219,38972,35819,TRUE,11.214937131663,10.5705987185452,1.90472647028636,0.130417211138204,0.503132114615188,0.770042165672024,0.289555576511161,0.703466206840808,0.482534251188856
"01","07","district","jammu and kashmir","leh ladakh","pc2001__01__07",13289,2797,7006,9295,1376,11832,6329,428,TRUE,9.49469190433151,8.7528975247753,2.0996997945963,0.210474828805779,0.527202949808112,0.699450673489352,0.103544284746783,0.890360448491233,0.0322070885694936
"01","08","district","jammu and kashmir","kargil","pc2001__01__08",7366,789,4599,4117,1400,5880,3260,1248,TRUE,8.90463009700501,8.08948247436075,2.25950920245399,0.10711376595167,0.624355145262015,0.558919359218029,0.190062449090415,0.798262286179745,0.169427097474885
"01","09","district","jammu and kashmir","doda","pc2001__01__09",26000,3189,13846,15876,3902,22058,14518,5347,TRUE,10.1658518170036,9.58314453784479,1.79088028654085,0.122653846153846,0.532538461538462,0.610615384615385,0.150076923076923,0.848384615384615,0.205653846153846
"01","10","district","jammu and kashmir","udhampur","pc2001__01__10",38015,4668,19624,28378,5826,32036,20246,6546,TRUE,10.5457360976625,9.9157125221587,1.87765484540156,0.122793634091806,0.516217282651585,0.746494804682362,0.153255293962909,0.842719978955675,0.172195186110746
"01","11","district","jammu and kashmir","punch","pc2001__01__11",17067,2720,9292,10098,3003,14026,9210,3372,TRUE,9.74490205341876,9.12804512924935,1.85309446254072,0.159371887267827,0.544442491357591,0.591668131481807,0.175953594656354,0.821819886330345,0.197574266127615
"01","12","district","jammu and kashmir","rajauri","pc2001__01__12",24300,3466,14059,15566,3033,21164,12419,6272,TRUE,10.0982316293286,9.42698283694803,1.95667928174571,0.142633744855967,0.578559670781893,0.640576131687243,0.124814814814815,0.870946502057613,0.258106995884774
"01","13","district","jammu and kashmir","jammu","pc2001__01__13",120975,16500,67197,102373,19081,101318,53667,25008,TRUE,11.7033391916615,10.8905535664593,2.25417854547487,0.136391816491011,0.555461872287663,0.846232692705104,0.157726803058483,0.837511882620376,0.206720396776193
"01","14","district","jammu and kashmir","kathua","pc2001__01__14",35477,5011,20000,27170,5785,29617,16965,10941,TRUE,10.4766398781699,9.73890767721833,2.0911877394636,0.141246441356372,0.563745525269893,0.76584829607915,0.163063393184317,0.834822561095921,0.308396989598895
"02","01","district","himachal pradesh","chamba","pc2001__02__01",29150,5016,17125,16903,5205,23665,14733,11620,TRUE,10.2802101917786,9.59784515470735,1.97855155094007,0.172075471698113,0.587478559176672,0.579862778730703,0.178559176672384,0.811835334476844,0.398627787307033
"02","02","district","himachal pradesh","kangra","pc2001__02__02",100862,17008,51006,70192,15584,84467,55706,30668,TRUE,11.5215085249007,10.9278431400422,1.81061286037411,0.168626440086455,0.505700858598878,0.695921159604212,0.154508139834626,0.837451170906784,0.304059011322401
"02","03","district","himachal pradesh","lahul and spiti","pc2001__02__03",4568,1225,3009,2145,420,4148,1774,1045,TRUE,8.42683075133585,7.48099216286952,2.5749718151071,0.268169877408056,0.658712784588441,0.469570928196147,0.0919439579684764,0.908056042031524,0.228765323992995
"02","04","district","himachal pradesh","kullu","pc2001__02__04",36544,5450,20810,26281,6382,30061,17122,12228,TRUE,10.5062722930157,9.74811946530243,2.13433010162364,0.149135288966725,0.569450525394046,0.719160464098074,0.174638791593695,0.82259741681261,0.334610332749562
"02","05","district","himachal pradesh","mandi","pc2001__02__05",68186,11716,35307,44613,16517,51484,35371,18898,TRUE,11.1299945441666,10.4736475543472,1.92773741200418,0.171824128120142,0.517804241339864,0.65428387058927,0.242234476285454,0.755052356788784,0.277153667908368
"02","06","district","himachal pradesh","hamirpur","pc2001__02__06",36481,5895,18975,23794,7047,29309,19067,6955,TRUE,10.5045468560933,9.85571437106444,1.91330571143861,0.161590965159946,0.520133768262931,0.652229927907678,0.193169046901127,0.803404511937721,0.190647186206518
