"term","estimate","std.error","statistic","p.value","missing_var","pseudoR2","nobs","status","reason","p_adj"
"state_0708Bihar",18.734050869815,3699.56880582802,0.00506384712734704,0.995959651826301,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Chandigarh",0.370556366062513,5715.36078598368,6.4835166131815e-05,0.999948269021983,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Chhattisgarh",16.5615801817054,3699.56887275046,0.00447662437201572,0.996428182459028,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Dadra & Nagar Haveli",0.151914696387963,6018.54777275119,2.52410884027128e-05,0.999979860525268,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Daman & Diu",0.114167351015577,5996.77181862737,1.90381349280203e-05,0.999984809766075,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Delhi",0.477278907678695,4285.28138737924,0.000111376328538039,0.999911134547204,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Goa",0.0976343797120193,5807.36475529598,1.68121659007181e-05,0.999986585832395,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Gujrat",0.146484493655779,3854.71806391332,3.80013508710588e-05,0.999969679308858,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Haryana",0.166368757360413,4013.89672915394,4.14481907698408e-05,0.999966929128521,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Himachal Pradesh",-0.00910614343701562,4123.26166508065,-2.2084806099342e-06,0.999998237887418,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Jammu & Kashmir",0.21598610279301,4072.09457505888,5.30405418665619e-05,0.999957679770568,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Jharkhand",0.0203819042839803,3953.32872660321,5.15563103741512e-06,0.999995886401594,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Karnataka",0.153476009393873,3869.23753924322,3.96656984321236e-05,0.999968351351636,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Kerala",0.210104687328415,4013.06252493431,5.2355199058817e-05,0.999958226595012,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Lakshadweep",0.904279528401332,6168.36010177598,0.000146599665629277,0.999883030390595,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Madhya Pradesh",18.0153473836617,3699.56880917422,0.00486958029784095,0.996114652418189,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Maharastra",0.186842161538897,3786.14540760353,4.9348913320569e-05,0.999960625263985,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Manipur",20.2888720444821,3699.56880541502,0.00548411804499636,0.995624328815741,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Meghalaya",19.3373896517182,3699.56881203769,0.00522693065981042,0.99582953171625,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Mizoram",0.814948135802602,4202.88142220653,0.000193902243231681,0.99984528839479,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Nagaland",0.51556479788277,4238.98257912127,0.000121624655978097,0.999902957565021,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Orissa",0.0814143399038991,3864.7672186754,2.10657810153448e-05,0.999983191938568,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Pondicheri",0.437570570603659,5372.18095122217,8.1451197302673e-05,0.999935011347285,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Punjab",1.26547830746557,3912.2888220728,0.000323462393759339,0.99974191435452,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Rajasthan",0.12329198868542,3822.62514990271,3.22532249045026e-05,0.999974265649817,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Sikkim",0.489613525762324,4205.20653855523,0.000116430315912744,0.999907102048734,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Tamil Nadu",0.314034428335114,3850.07608538037,8.15657720447591e-05,0.999934919929868,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Tripura",19.2245879103757,3699.56880873036,0.00519644015405496,0.995853859289651,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Uttar Pradesh",16.2929051863376,3699.56881657827,0.00440400111313699,0.9964861268648,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708Uttaranchal",18.8074999659057,3699.56881216172,0.00508370053939237,0.995943811299245,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"state_0708West Bengal",0.113248799609097,3802.74456302143,2.97808063971344e-05,0.999976238354371,"DIST_FROM_NEAREST_PRIMARY_CLASS",0.246129391640931,127181,"estimated_with_warning","glm.fit: fitted probabilities numerically 0 or 1 occurred; fitted probabilities are numerically near 0 or 1",0.999998237887418
"(Intercept)",-20.3467392201574,830.328886267229,-0.0245044337932489,0.980450247122536,"dmean_num_ENROLLMENT_COST",0.309698731925251,127181,"estimated_with_warning","fitted probabilities are numerically near 0 or 1",NA
