"var1","var2","correlation","abs_correlation"
"SECTORRural","SECTORUrban",-1,1
"RELIGIONHindu","RELIGIONMuslim",-0.730383346752003,0.730383346752003
"RELIGIONChristian","state_0708Punjab",0.657344877127819,0.657344877127819
"RELIGIONJain","SOCIAL_GROUPScheduled Tribe",0.47874340913374,0.47874340913374
"RELIGIONHindu","RELIGIONJain",-0.438599819325384,0.438599819325384
"RELIGIONJain","state_0708Nagaland",0.410679153917942,0.410679153917942
"RELIGIONJain","state_0708Meghalaya",0.40751062441323,0.40751062441323
"RELIGIONSikh","state_0708Arunachal Pradesh",0.403425166613576,0.403425166613576
"RELIGIONJain","state_0708Mizoram",0.402909453013499,0.402909453013499
"SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Caste",-0.385475803464673,0.385475803464673
"SOCIAL_GROUPOther Backward Class","SOCIAL_GROUPScheduled Tribe",-0.327761849001667,0.327761849001667
"SOCIAL_GROUPScheduled Tribe","state_0708Meghalaya",0.276299001690817,0.276299001690817
"SOCIAL_GROUPScheduled Tribe","state_0708Mizoram",0.268672223559778,0.268672223559778
"SOCIAL_GROUPScheduled Tribe","state_0708Nagaland",0.253511532465407,0.253511532465407
"miss_dmean_num_ENROLLMENT_COST","state_0708Bihar",0.247027661323561,0.247027661323561
"RELIGIONChristian","RELIGIONHindu",-0.234582673841914,0.234582673841914
"RELIGIONHindu","state_0708Meghalaya",-0.200512246897761,0.200512246897761
"RELIGIONHindu","SOCIAL_GROUPScheduled Caste",0.195593863051862,0.195593863051862
"SOCIAL_GROUPScheduled Caste","SOCIAL_GROUPScheduled Tribe",-0.19387886257538,0.19387886257538
"RELIGIONHindu","state_0708Mizoram",-0.19087154261766,0.19087154261766
"RELIGIONMuslim","SOCIAL_GROUPScheduled Caste",-0.190363022056414,0.190363022056414
"RELIGIONHindu","SOCIAL_GROUPScheduled Tribe",-0.189449718924716,0.189449718924716
"HH_SIZE","state_0708Uttar Pradesh",0.188285513867772,0.188285513867772
"miss_dmean_num_ENROLLMENT_COST","state_0708Lakshadweep",0.184573503256835,0.184573503256835
"RELIGIONHindu","state_0708Nagaland",-0.181416298048566,0.181416298048566
"miss_dmean_num_ENROLLMENT_COST","state_0708Arunachal Pradesh",0.180665712174376,0.180665712174376
"RELIGIONJain","state_0708Manipur",0.17840727858772,0.17840727858772
"RELIGIONSikh","SOCIAL_GROUPScheduled Tribe",0.176304431238146,0.176304431238146
"RELIGIONMuslim","state_0708Jammu & Kashmir",0.173414651333824,0.173414651333824
"SOCIAL_GROUPScheduled Tribe","state_0708Arunachal Pradesh",0.173164395192814,0.173164395192814
"SOCIAL_GROUPOther Backward Class","state_0708West Bengal",-0.172621201988539,0.172621201988539
"RELIGIONJain","SOCIAL_GROUPOther Backward Class",-0.170032807211474,0.170032807211474
"SOCIAL_GROUPScheduled Tribe","state_0708Uttar Pradesh",-0.154205884460843,0.154205884460843
"RELIGIONHindu","RELIGIONSikh",-0.15154340545796,0.15154340545796
"SOCIAL_GROUPOther Backward Class","state_0708Bihar",0.149006135213767,0.149006135213767
"RELIGIONMuslim","SOCIAL_GROUPScheduled Tribe",-0.144885753159246,0.144885753159246
"HH_SIZE","RELIGIONMuslim",0.134410706241794,0.134410706241794
"SOCIAL_GROUPOther Backward Class","state_0708Uttar Pradesh",0.134294253378994,0.134294253378994
"SOCIAL_GROUPOther Backward Class","state_0708Tamil Nadu",0.133033946240103,0.133033946240103
"RELIGIONHindu","state_0708Arunachal Pradesh",-0.131060391603103,0.131060391603103
"RELIGIONHindu","state_0708Punjab",-0.131034814425902,0.131034814425902
"miss_dmean_num_ENROLLMENT_COST","state_0708Jharkhand",0.12707699368699,0.12707699368699
"state_0708Bihar","state_0708Uttar Pradesh",-0.12289118000396,0.12289118000396
"SECTORRural","state_0708Delhi",-0.121742738314522,0.121742738314522
"SECTORUrban","state_0708Delhi",0.121742738314522,0.121742738314522
"RELIGIONHindu","state_0708Jammu & Kashmir",-0.119000056674002,0.119000056674002
"SOCIAL_GROUPScheduled Tribe","state_0708Bihar",-0.114179068855839,0.114179068855839
"RELIGIONHindu","SOCIAL_GROUPOther Backward Class",0.114069492289591,0.114069492289591
"HH_SIZE","state_0708Andhra Pardesh",-0.112162629594528,0.112162629594528
"state_0708Maharastra","state_0708Uttar Pradesh",-0.111886177336049,0.111886177336049
