"term","estimate","std.error","statistic","p.value","missing_var","pseudoR2","nobs","p_adj"
"(Intercept)",-6.04439940358295,0.588168921022433,-10.2766385430155,8.98052506962558e-25,"TUTION_FEE",0.0558157820136983,89841,NA
"SECTORUrban",0.251626765222952,0.0435398198465204,5.77923303564291,7.50419254117576e-09,"TUTION_FEE",0.0558157820136983,89841,2.54687746852026e-08
"SEXFemale",-0.0818958642680776,0.0405678477254365,-2.01873820919338,0.0435144364079338,"TUTION_FEE",0.0558157820136983,89841,0.0812269479614764
"AGE",0.0950697531283269,0.00545700290560028,17.4216057372374,5.65671051851883e-68,"TUTION_FEE",0.0558157820136983,89841,1.46204210324794e-66
"HH_SIZE",-0.022333195067645,0.0089302345773791,-2.50085200720444,0.0123894939661791,"TUTION_FEE",0.0558157820136983,89841,0.0244874704272715
"RELIGIONMuslim",0.1995618320278,0.0617408700891673,3.23224845616184,0.00122820216165353,"TUTION_FEE",0.0558157820136983,89841,0.00282654744051771
"RELIGIONChristian",-0.0122538236602593,0.163481559867857,-0.0749553874465362,0.940250207649045,"TUTION_FEE",0.0558157820136983,89841,0.966881577048241
"RELIGIONSikh",0.154184526979863,0.212060955658884,0.727076450734666,0.46717912392494,"TUTION_FEE",0.0558157820136983,89841,0.603739175533768
"RELIGIONJain",0.180316541757632,0.134991201665047,1.33576514271687,0.181626049570102,"TUTION_FEE",0.0558157820136983,89841,0.272439074355153
"RELIGIONBuddhist",0.0191382991469502,0.23510380973856,0.0814036113163474,0.935120977229398,"TUTION_FEE",0.0558157820136983,89841,0.96677122568947
"RELIGIONZoroastrian",0.296080278263664,0.313837032680832,0.943420461678829,0.345465881165809,"TUTION_FEE",0.0558157820136983,89841,0.471855837689886
"RELIGIONOther",-7.44099149086647,112.388226273306,-0.0662079270899023,0.947212285719356,"TUTION_FEE",0.0558157820136983,89841,0.967365738607001
"SOCIAL_GROUPScheduled Tribe",-0.447245087916518,0.101955180606679,-4.38668329804536,1.15092178712568e-05,"TUTION_FEE",0.0558157820136983,89841,3.1959481030928e-05
"SOCIAL_GROUPScheduled Caste",0.00817434346965282,0.0618054276326865,0.132259314153337,0.894779187209832,"TUTION_FEE",0.0558157820136983,89841,0.942463344521954
"SOCIAL_GROUPOther Backward Class",-0.0723978518457832,0.0519389311376487,-1.39390338345459,0.163346782440476,"TUTION_FEE",0.0558157820136983,89841,0.249475085909091
"state_0708Andhra Pardesh",0.749325008344097,0.592453894253159,1.26478197816336,0.205949493439046,"TUTION_FEE",0.0558157820136983,89841,0.303504516647015
"state_0708Arunachal Pradesh",2.46613516041618,0.599425068501241,4.11416754154497,3.88579142425484e-05,"TUTION_FEE",0.0558157820136983,89841,0.000102002024886689
"state_0708Assam",1.80412969023681,0.591710678188594,3.04900647688124,0.00229599531557652,"TUTION_FEE",0.0558157820136983,89841,0.00507535806601126
"state_0708Bihar",1.48233261472401,0.586351777571209,2.52806023862355,0.0114694671253543,"TUTION_FEE",0.0558157820136983,89841,0.022803200911947
"state_0708Chandigarh",1.24424730024928,0.69701574596516,1.7851064447997,0.0742440528075111,"TUTION_FEE",0.0558157820136983,89841,0.127928214068327
"state_0708Chhattisgarh",0.919630978434441,0.614348520212958,1.49692063735363,0.13441390962561,"TUTION_FEE",0.0558157820136983,89841,0.216091261407679
"state_0708Dadra & Nagar Haveli",-0.085861033994966,1.15974413921604,-0.0740344625091236,0.940982963377306,"TUTION_FEE",0.0558157820136983,89841,0.966881577048241
"state_0708Daman & Diu",1.38502552766794,0.713583681395877,1.94094338726835,0.0522651445751397,"TUTION_FEE",0.0558157820136983,89841,0.0939095645842083
"state_0708Delhi",1.73022153137924,0.601676443793116,2.87566772677936,0.00403173878413938,"TUTION_FEE",0.0558157820136983,89841,0.00857382424981539
"state_0708Goa",1.37410801457159,0.69615373464325,1.97385713268602,0.0483979902649708,"TUTION_FEE",0.0558157820136983,89841,0.0888618837651923
"state_0708Gujrat",1.44635845272503,0.590348161691682,2.45000924298704,0.0142852547618761,"TUTION_FEE",0.0558157820136983,89841,0.0280692725145635
"state_0708Haryana",2.26531152616007,0.589239982701096,3.84446336410474,0.00012081653198383,"TUTION_FEE",0.0558157820136983,89841,0.000296309158734064
"state_0708Himachal Pradesh",2.43558099938033,0.588858026755146,4.13610902580611,3.5324440817446e-05,"TUTION_FEE",0.0558157820136983,89841,9.34567883044239e-05
"state_0708Jammu & Kashmir",1.62238831229665,0.594335124949589,2.72975337345956,0.00633817223892846,"TUTION_FEE",0.0558157820136983,89841,0.0133938734105658
"state_0708Jharkhand",0.252242021434062,0.633073039891235,0.398440630922142,0.690305412725297,"TUTION_FEE",0.0558157820136983,89841,0.808368062924433
"state_0708Karnataka",1.15964989708161,0.59218706379303,1.9582492897665,0.0502007679887096,"TUTION_FEE",0.0558157820136983,89841,0.0911754488876022
"state_0708Kerala",0.854469880242025,0.602411843192806,1.418414810229,0.156069694193286,"TUTION_FEE",0.0558157820136983,89841,0.241656300686379
"state_0708Lakshadweep",0.90727410157072,0.830423935601963,1.09254329346016,0.274594372042721,"TUTION_FEE",0.0558157820136983,89841,0.39094791951845
"state_0708Madhya Pradesh",1.49875606546512,0.587353503838223,2.55171043617019,0.0107195567782809,"TUTION_FEE",0.0558157820136983,89841,0.0218289156212266
"state_0708Maharastra",0.726850543036864,0.589125299947098,1.23377920300169,0.217285191033813,"TUTION_FEE",0.0558157820136983,89841,0.318811459333454
"state_0708Manipur",2.71283365196025,0.587282697471824,4.61929776517961,3.85040960736269e-06,"TUTION_FEE",0.0558157820136983,89841,1.09638782040158e-05
"state_0708Meghalaya",1.16229383274946,0.621078006340608,1.87141360808717,0.0612877741725518,"TUTION_FEE",0.0558157820136983,89841,0.107815141999882
"state_0708Mizoram",0.663811501909542,0.653292886276885,1.01610091867463,0.309581331636705,"TUTION_FEE",0.0558157820136983,89841,0.433413864291387
"state_0708Nagaland",0.78758212463951,0.64852615429074,1.21441844623961,0.224587974960693,"TUTION_FEE",0.0558157820136983,89841,0.32684468081431
"state_0708Orissa",1.50156352566648,0.591685769266179,2.53777191148057,0.0111560666531489,"TUTION_FEE",0.0558157820136983,89841,0.0224457388949582
"state_0708Pondicheri",0.124429815897091,0.82134717184085,0.151494788273529,0.879585421745976,"TUTION_FEE",0.0558157820136983,89841,0.929373275807069
"state_0708Punjab",1.76291851426929,0.596181342028944,2.95701725295472,0.00310630736293256,"TUTION_FEE",0.0558157820136983,89841,0.0067762242350481
"state_0708Rajasthan",1.88359511618079,0.586326521349092,3.21253609993077,0.00131568612594597,"TUTION_FEE",0.0558157820136983,89841,0.0030072825735908
"state_0708Sikkim",0.656848511616918,0.652417967899453,1.00679095907142,0.314035240198053,"TUTION_FEE",0.0558157820136983,89841,0.437825065172389
"state_0708Tamil Nadu",0.310324485926202,0.601175839493,0.516195870725466,0.605717614009708,"TUTION_FEE",0.0558157820136983,89841,0.740076793844589
"state_0708Tripura",0.735793561164463,0.616493799318976,1.19351331996733,0.232668398698244,"TUTION_FEE",0.0558157820136983,89841,0.335521810998326
"state_0708Uttar Pradesh",2.06854881486079,0.582914383567022,3.54863230892115,0.000387237399093202,"TUTION_FEE",0.0558157820136983,89841,0.000922778482945502
"state_0708Uttaranchal",1.86603416118713,0.595258853908748,3.13482806502395,0.0017195486256193,"TUTION_FEE",0.0558157820136983,89841,0.00387763985374553
"state_0708West Bengal",1.04878770901412,0.589105287958315,1.78030605131546,0.0750258873413513,"TUTION_FEE",0.0558157820136983,89841,0.128615806870888
"(Intercept)",0.926321247077324,0.121604423752363,7.61749629243501,2.58643336454071e-14,"EXAMINATION_FEE",0.164062605351029,89841,NA
"SECTORUrban",-0.333157597922669,0.0178706054038346,-18.6427706501304,1.44555995960074e-77,"EXAMINATION_FEE",0.164062605351029,89841,4.8570814642585e-76
"SEXFemale",-0.0733455237123051,0.015847178564603,-4.62830171398037,3.68676627346342e-06,"EXAMINATION_FEE",0.164062605351029,89841,1.05876364776385e-05
"AGE",-0.139252237361846,0.0022796522343641,-61.0848599021901,0,"EXAMINATION_FEE",0.164062605351029,89841,0
"HH_SIZE",0.00542480371310355,0.00351175115435168,1.54475743714963,0.122404946032579,"EXAMINATION_FEE",0.164062605351029,89841,0.2016081464066
"RELIGIONMuslim",0.194270108634372,0.025453491920318,7.6323558764563,2.30502081574237e-14,"EXAMINATION_FEE",0.164062605351029,89841,1.10640999155634e-13
"RELIGIONChristian",-0.0229932220109949,0.0836833958760886,-0.274764447239227,0.783497214131051,"EXAMINATION_FEE",0.164062605351029,89841,0.874601541355592
"RELIGIONSikh",-0.0277404171017335,0.0981152038739671,-0.28273311379312,0.777381430337795,"EXAMINATION_FEE",0.164062605351029,89841,0.872114549220029
"RELIGIONJain",-0.205518738655503,0.0511397115177222,-4.01877000389965,5.85027425881059e-05,"EXAMINATION_FEE",0.164062605351029,89841,0.000150052835951172
"RELIGIONBuddhist",-0.436490842695649,0.0903881149201681,-4.82907341392354,1.37169833841672e-06,"EXAMINATION_FEE",0.164062605351029,89841,4.04290036585981e-06
