"missing_var","n_sig","pseudoR2"
"dmean_num_ENROLLMENT_COST",9,0.309698731925251
"DIST_FROM_NEAREST_PRIMARY_CLASS",3,0.246129391640931
"EXAMINATION_FEE",37,0.164231942127854
"UNIFORM",33,0.161309927783688
"TRANSPORT",37,0.15100867504692
"OTHER_FEES_PAYMENTS",39,0.133806853849117
"TUTION_FEE",5,0.0563466294643082
"STATIONERY",3,0.038871498510951
"BOOKS",4,0.0267830395171487
"father_educ",11,0.0230209989667974
