"target_unit_2001","census_2011_source_district_count","census_2011_parent_reconstruction_complete","households_total_2011","no_exclusive_room_share_households_2011","one_room_share_households_2011","overcrowding_gt2_ppr_lower_bound_share_households_2011","tap_water_share_households_2011","well_water_share_households_2011","handpump_tubewell_water_share_households_2011","surface_water_share_households_2011","water_within_premises_share_households_2011","water_away_share_households_2011","bathroom_share_households_2011","flush_or_water_closet_latrine_share_households_2011","pit_latrine_share_households_2011","closed_drainage_share_households_2011","no_drainage_share_households_2011","separate_kitchen_within_house_share_households_2011","solid_cooking_fuel_share_households_2011","clean_cooking_fuel_share_households_2011","electricity_share_households_2011","kerosene_lighting_share_households_2011","solar_lighting_share_households_2011","no_lighting_share_households_2011","latrine_share_households_2011","banking_share_households_2011","radio_share_households_2011","television_share_households_2011","telephone_share_households_2011","bicycle_share_households_2011","motorcycle_share_households_2011","car_share_households_2011","permanent_structure_share_households_2011","semi_permanent_structure_share_households_2011","temporary_structure_share_households_2011","nonserviceable_temporary_structure_share_households_2011","computer_share_households","internet_computer_share_households","no_exclusive_room_share_households_2001","one_room_share_households_2001","overcrowding_gt2_ppr_lower_bound_share_households_2001","tap_water_share_households_2001","well_water_share_households_2001","handpump_tubewell_water_share_households_2001","surface_water_share_households_2001","water_within_premises_share_households_2001","water_away_share_households_2001","bathroom_share_households_2001","flush_or_water_closet_latrine_share_households_2001","pit_latrine_share_households_2001","closed_drainage_share_households_2001","no_drainage_share_households_2001","separate_kitchen_within_house_share_households_2001","solid_cooking_fuel_share_households_2001","clean_cooking_fuel_share_households_2001","electricity_share_households_2001","kerosene_lighting_share_households_2001","solar_lighting_share_households_2001","no_lighting_share_households_2001","latrine_share_households_2001","banking_share_households_2001","radio_share_households_2001","television_share_households_2001","telephone_share_households_2001","bicycle_share_households_2001","motorcycle_share_households_2001","car_share_households_2001","permanent_structure_share_households_2001","semi_permanent_structure_share_households_2001","temporary_structure_share_households_2001","nonserviceable_temporary_structure_share_households_2001","no_exclusive_room_share_households_change_2011_2001","one_room_share_households_change_2011_2001","overcrowding_gt2_ppr_lower_bound_share_households_change_2011_2001","tap_water_share_households_change_2011_2001","well_water_share_households_change_2011_2001","handpump_tubewell_water_share_households_change_2011_2001","surface_water_share_households_change_2011_2001","water_within_premises_share_households_change_2011_2001","water_away_share_households_change_2011_2001","bathroom_share_households_change_2011_2001","flush_or_water_closet_latrine_share_households_change_2011_2001","pit_latrine_share_households_change_2011_2001","closed_drainage_share_households_change_2011_2001","no_drainage_share_households_change_2011_2001","separate_kitchen_within_house_share_households_change_2011_2001","solid_cooking_fuel_share_households_change_2011_2001","clean_cooking_fuel_share_households_change_2011_2001","electricity_share_households_change_2011_2001","kerosene_lighting_share_households_change_2011_2001","solar_lighting_share_households_change_2011_2001","no_lighting_share_households_change_2011_2001","latrine_share_households_change_2011_2001","banking_share_households_change_2011_2001","radio_share_households_change_2011_2001","television_share_households_change_2011_2001","telephone_share_households_change_2011_2001","bicycle_share_households_change_2011_2001","motorcycle_share_households_change_2011_2001","car_share_households_change_2011_2001","permanent_structure_share_households_change_2011_2001","semi_permanent_structure_share_households_change_2011_2001","temporary_structure_share_households_change_2011_2001","nonserviceable_temporary_structure_share_households_change_2011_2001"
"pc2001__01__01",1,TRUE,106777,0.0267941597909662,0.206392762486303,0.49919926575948,0.471440478754788,0.154771158582841,0.0471075231557358,0.247085046405125,0.213032769229328,0.43249950832108,0.587148917838111,0.212049411390093,0.0916957771804789,0.0376485572735702,0.691469136611817,0.940230574000019,0.831096584470438,0.158123940548995,0.777985895838992,0.103880049074239,0.0277962482557105,0.0310272811560542,0.508864268522247,0.502299184281259,0.557048802644764,0.25125261058093,0.529093344072225,0.0282738792061961,0.0169324854603519,0.0279835545108029,0.550661659346114,0.360246120419191,0.0557985333920226,0.00357754947226463,0.0492240838382798,0.00713636831902001,0.0407708730021349,0.182701517511973,0.526709364722174,0.249322024118631,0.148069932490912,0.0422249148923894,0.346108129940569,0.045536899197969,0.499347989152386,0.70639893831862,0.0217067682187987,0.192095089723617,0.0294039582251457,0.831504240955513,0.945346488950436,0.924897582366857,0.0510184063239282,0.55868674629277,0.31251514626969,0.00308118400553921,0.00518146673590676,0.503040793953032,0.0994864693324101,0.539438001269402,0.128521147077491,0.0156828803877445,0.033731463850903,0.0135018175523628,0.0136979978073971,0.445363798972939,0.303352374358087,0.251260746638971,0.0109860942819226,-0.0139767132111687,0.02369124497433,-0.027510098962694,0.222118454636157,0.006701226091929,0.0048826082633464,-0.099023083535444,0.167495870031359,-0.066848480831306,-0.119250020480509,0.190342643171294,-0.100399312543138,0.0082445990484245,-0.140035104343696,-0.00511591495041708,-0.093800997896419,0.107105534225067,0.219299149546222,-0.208635097195451,0.0247150642501713,0.0258458144201474,0.00582347456921495,0.402812714948849,0.017610801375362,0.122731463503439,0.51341046368448,-0.0054575846447069,0.0034306679079891,0.0142855567034058,0.105297860373175,0.056893746061104,-0.195462213246948,-0.00740854480965797
"pc2001__01__06",2,TRUE,212190,0.0415570950563175,0.200212074084547,0.405339554173147,0.715933832885621,0.0141901126349027,0.0761911494415383,0.151845044535558,0.44659031999623,0.237758612564211,0.615259908572506,0.276704840001885,0.106178424996465,0.0828738394834818,0.481639097035676,0.931184315943258,0.827051227673312,0.16554974315472,0.767293463405438,0.180493896979122,0.00683349827984354,0.0147650690418964,0.52766388613978,0.577232668834535,0.582930392572694,0.438244026579952,0.717696404166078,0.0383995475752863,0.0417503181111268,0.0483858805787266,0.688269946745841,0.237579527781705,0.0566991846929639,0.00747443329091852,0.057278853857392,0.0167302888920307,0.0561789965155916,0.150295828161329,0.427794615234363,0.473785025235182,0.00991134606539094,0.111778308455204,0.341301895946619,0.158096366259837,0.310647923532043,0.49561771062398,0.035423768327799,0.195410410378874,0.0552968678130139,0.664028681784672,0.893319135261835,0.874309261721285,0.115621869230721,0.793550379000296,0.159136017945018,0.00378055158247588,0.00345920469796543,0.520670165777187,0.222063299035329,0.747036992697235,0.327962849779783,0.0275476191976409,0.0684909928358547,0.0283793405457856,0.0215554449394167,0.526712747389844,0.275665219555533,0.195889280245988,0.00786354729154984,-0.0146219014592741,0.049916245923218,-0.022455061061216,0.242148807650439,0.00427876656951176,-0.0355871590136657,-0.189456851411061,0.288493953736393,-0.072889310967832,0.119642197948526,0.241281071674086,-0.089231985382409,0.0275769716704679,-0.182389584748996,0.037865180681423,-0.047258034047973,0.049927873923999,-0.026256915594858,0.021357879034104,0.00305294669736766,0.011305864343931,0.00699372036259294,0.355169369799206,-0.164106600124541,0.110281176800169,0.690148784968437,-0.0300914452605684,0.0133709775653412,0.0268304356393099,0.161557199355997,-0.038085691773828,-0.139190095553024,-0.00038911400063132
"pc2001__01__07",1,TRUE,20777,0.073157818741878,0.193290657939067,0.273282957116042,0.301005920007701,0.00851903547191606,0.2883476921596,0.296962987919334,0.145882466188574,0.32651489627954,0.451653270443279,0.0810030321990663,0.720989555758772,0.0876449920585263,0.810463493285845,0.870578043028349,0.322520094335082,0.663474033787361,0.830244982432497,0.0353275256293016,0.12730423063965,0.00385041151273042,0.903884102613467,0.872936420079896,0.732059488857872,0.654425566732445,0.665928671126727,0.0293112576406603,0.0620397554988689,0.205563844635895,0.0116956249699187,0.302112913317611,0.674736487462097,0.00543870626173172,0.10347980940463,0.0276267026038408,0.0552178751819194,0.287175755500385,0.274848043831864,0.290942556287989,0.00479411009331393,0.141126615871929,0.427018234740176,0.0433182090574437,0.337471106925777,0.259224381474189,0.020289358787775,0.710898039551408,0.0313329338241589,0.830451160003424,0.928858830579574,0.395556887252804,0.511257597808407,0.615743515110008,0.20130981936478,0.170190908312644,0.0045372827668864,0.851082955226436,0.554447393202637,0.795008988956425,0.372271209656707,0.0902320006848729,0.0454156322232686,0.0672031504152042,0.0445167365807722,0.0349713209485489,0.382629911822618,0.564977313586166,0.00916017464258197,0.0179399435599586,-0.093885097561318,-0.00156508671582201,0.010063363719712,0.00372492537860213,0.147221076287671,-0.130055246820842,0.10256425713113,-0.010956210646237,0.19242888896909,0.0607136734112913,0.010091516207364,0.0563120582343674,-0.019987666717579,-0.058280787551225,-0.073036792917722,0.152216435978954,0.214501467322489,-0.165982293735478,-0.042886677672994,-0.00068687125415598,0.052801147387031,0.318489026877259,-0.062949500098553,0.282154357075738,0.575696670441854,-0.0161043745826083,-0.00516339491633529,0.161047108055123,-0.0232756959786302,-0.080516998505007,0.109759173875931,-0.00372146838085025
"pc2001__01__08",1,TRUE,18212,0.0241598945750055,0.175927959587085,0.470074676037777,0.591313419723259,0.00472216121238744,0.180595211948166,0.155831320008785,0.107786075115309,0.386064133538326,0.634581594553042,0.615692949703492,0.0935646826268395,0.138370305293213,0.669064353173732,0.874588183615199,0.7877772896991,0.182517021743905,0.868877663079288,0.0288271469360861,0.0994399297166703,0.00186690094443224,0.969086316714254,0.773006808697562,0.59823193498792,0.4397100812651,0.579947287502745,0.0267955194377334,0.0358005710520536,0.101416648363716,0.047331429826488,0.555622666373819,0.395398638260488,0.00170217439051175,0.0551833955633648,0.0129035800571052,0.0204716868191069,0.198790853585538,0.376032563150964,0.413683706452771,0.0134682150125703,0.0385490243026458,0.422842092661319,0.0347180653657369,0.331856817909733,0.454327786424039,0.0470489644439124,0.647791212737938,0.134622291392314,0.747036992697235,0.915359750987669,0.780079013528074,0.134502573925536,0.771100203519694,0.13342511672453,0.0926014605530947,0.000658446067281216,0.955943972225548,0.491799353525679,0.678798036633545,0.187537411708368,0.0536932838501137,0.0544115886507842,0.0400454926373758,0.031186400095774,0.0637495510594996,0.551298934514546,0.384891655692566,0.00293307793607087,0.0036882077558986,-0.022862893998453,0.094042112886813,0.177629713270488,-0.00874605380018286,0.14204618764552,-0.267010772652534,0.0730680097495721,0.054207315628593,0.180253808129003,0.56864398525958,-0.554226530111099,0.00374801390089902,-0.077972639523503,-0.04077156737247,0.00769827617102603,0.048014447818369,0.097777459559594,-0.104597969788444,0.0068384691635756,0.00120845487715102,0.013142344488706,0.281207455171883,-0.0805661016456249,0.252172669556732,0.526254003652631,-0.0276160692130508,-0.0042449215853222,0.070230248267942,-0.0164181212330116,0.00432373185927293,0.010506982567922,-0.00123090354555912
"pc2001__01__11",1,TRUE,88878,0.0109138369450258,0.231373343234546,0.4636467967326,0.49165147730597,0.24400864105853,0.0454105627939423,0.0186660365894822,0.192151038502217,0.43491077657013,0.184162559913589,0.169704538806004,0.00598573325232341,0.0311663178739396,0.851673079952294,0.533461599045883,0.840883008168501,0.153592565089223,0.707711694682599,0.21667904318279,0.00265532527734647,0.0515200612074979,0.186615360381647,0.689529467359752,0.420936564729179,0.18026958302392,0.409077612007471,0.00951866603658948,0.0270820675532753,0.0194761358266388,0.291073156461667,0.678806903845721,0.0267557775827539,0.00115889196426562,0.0376021062580166,0.00389297688966898,0.0389309905438938,0.244182147407954,0.558212058212058,0.346908322714774,0.0930018107437462,0.0110153577895513,0.0339514452417678,0.133844141908658,0.362903225806452,0.118368989336731,0.0569378311313795,0.0513211722889142,0.0282844879619073,0.863406210180404,0.604000402387499,0.884481255448997,0.0788679498356918,0.557491113942727,0.426044530883241,0.0060525786332238,0.00155925155925156,0.300248138957816,0.358326068003487,0.627875394004426,0.148397156461673,0.0221480785996915,0.0148045067399906,0.0217792233921266,0.0110656562269466,0.139041647106163,0.803869626450272,0.0570551941519683,0.00353765676346322,-0.028017153598868,-0.012808804173408,-0.094565261479458,0.144743154591196,0.151006830314784,0.034395205004391,-0.0152854086522856,0.058306896593559,0.072007550763678,0.065793570576858,0.112766707674625,-0.0453354390365908,0.0028818299120323,-0.01173313022811,-0.070538803341616,-0.043598247280496,0.0747246152535312,0.150220580739872,-0.209365487700451,-0.00339725335587733,0.0499608096482463,-0.113632778576169,0.331203399356265,-0.206938829275247,0.031872426562247,0.38692953340778,-0.00528584070340112,0.0053028441611487,0.0084104795996922,0.152031509355504,-0.125062722604551,-0.0302994165692144,-0.0023787647991976
"pc2001__02__01",1,TRUE,101972,0.0128368571764798,0.221276428823599,0.373788883222845,0.945857686423724,0.00374612638763582,0.0101106186011846,0.0051484721296042,0.355195543874789,0.104577727219237,0.395932216686934,0.419409249597929,0.0923782999254697,0.145177107441258,0.531842074294904,0.775026477856667,0.769985878476445,0.211489428470561,0.942239046012631,0.0543188326207194,0.00107872749382183,0.000745302632095085,0.515366963480171,0.895432079394344,0.254334523202448,0.610294982936492,0.725640371866787,0.0162495587023889,0.0870827285921626,0.0497587573059271,0.699799945082964,0.281498842819598,0.0178186168752206,0.00134350606048719,0.0501804416898756,0.0158376809320206,0.0342193183502663,0.321029886315693,0.464281234677704,0.877455843282135,0.0058381509481294,0.013455113513267,0.00866600531362957,0.198177858356424,0.109328498614579,0.168588011265807,0.0587121859998404,0.108952211541751,0.06616951162499,0.725515684329354,0.873373698673873,0.780088712528079,0.167105668251633,0.890956567349685,0.102714968243652,0.00129990079704444,0.00234894354553644,0.234700509697944,0.45027879451305,0.50694990820876,0.327050479480952,0.0838664066865073,0.0149146512502993,0.0370471727157664,0.0161803441316321,0.614510997844901,0.370483129796235,0.0148918459731582,0.00193844855699609,-0.0213824611737865,-0.099753457492094,-0.090492351454859,0.068401843141589,-0.00209202456049358,-0.0033444949120824,-0.00351753318402537,0.157017685518365,-0.004750771395342,0.227344205421127,0.360697063598089,-0.0165739116162813,0.079007595816268,-0.19367361003445,-0.098347220817206,-0.010102834051634,0.044383760218928,0.051282478662946,-0.0483961356229326,-0.00022117330322261,-0.00160364091344135,0.280666453782227,0.445153284881294,-0.252615385006312,0.28324450345554,0.64177396518028,0.0013349074520896,0.0500355558763962,0.033578413174295,0.0852889472380629,-0.088984286976637,0.0029267709020624,-0.0005949424965089
"pc2001__02__02",1,TRUE,336407,0.00820434770976823,0.196770578495691,0.301563284949481,0.894797076160722,0.0336913322255482,0.0545708026289584,0.00261885156967602,0.596313394192154,0.0895165677289712,0.596426352602651,0.562949046839097,0.0904648238591944,0.155326732202362,0.333340269376083,0.808407672848662,0.544379278671371,0.442030040992013,0.981195397242031,0.0164324761375358,0.000656942334731441,0.000969064258472624,0.654736673137004,0.939041101998472,0.222224864524222,0.81026554144236,0.815024657631976,0.114313911422771,0.20567942997619,0.0675580472463415,0.5876155965839,0.400931015109674,0.0105586387917017,0.00348982036640141,0.0676353345798393,0.0239382652560737,0.0128420921388941,0.231370348775381,0.400004400488454,0.807320945958335,0.0727657436642134,0.065189569375534,0.00840126587384533,0.3133917864883,0.159506705244282,0.262936519286974,0.0568616449759257,0.160199782175822,0.0579617670894803,0.636563658566101,0.882396946061013,0.664338074859643,0.30268026417599,0.976061342809052,0.0200588932038123,0.000729747668657888,0.00122846969346931,0.30020132234678,0.690697000700411,0.415769150375692,0.640663446975948,0.129961092347917,0.108527046502162,0.0923295819169261,0.0236306229991529,0.375170977311815,0.603600332970293,0.0212066872756209,0.00455083847640421,-0.00463774442912587,-0.03459977027969,-0.098441115538973,0.087476130202387,-0.0390744114386652,-0.0106187667465756,-0.00578241430416931,0.282921607703854,-0.0699901375153108,0.333489833315677,0.506087401863171,-0.0697349583166276,0.0973649651128817,-0.303223389190018,-0.073989273212351,-0.119958796188272,0.139349776816023,0.00513405443297899,-0.0036264170662765,-7.28053339264469e-05,-0.000259405434996686,0.354535350790224,0.248344101298061,-0.19354428585147,0.169602094466412,0.685063565284059,0.00578686492060901,0.113349848059264,0.0439274242471886,0.212444619272085,-0.202669317860619,-0.0106480484839192,-0.0010610181100028
"pc2001__02__04",1,TRUE,95545,0.012726987283479,0.262180124548642,0.348191951436496,0.91944110105186,0.0122560050238108,0.0183473755821864,0.0111047150557329,0.485153592548014,0.112952012140876,0.595384373855251,0.504285938562981,0.0782458527395468,0.258119210843058,0.396671725365011,0.842252341828458,0.535841749960752,0.42119420168507,0.955800931498247,0.0412685122193731,0.000470982259668219,0.000983829609084725,0.584342456434141,0.894897692186928,0.227641425506306,0.700298288764457,0.831587210215082,0.0256423674708253,0.0730441153383223,0.0887435239939296,0.915872102150819,0.0725208017164687,0.00870793866764352,0.0027944947406981,0.0733685697838715,0.0274530326024386,0.0124167325999847,0.361016819376739,0.465519001556877,0.877096041448661,0.0158495188994666,0.0139225645083076,0.0241826395446773,0.263341925933488,0.148783849314719,0.290038539087823,0.126107041678365,0.0806258135320691,0.101847834409535,0.65711696995993,0.894196166509277,0.677649881320028,0.239503841147495,0.914001684489931,0.0791710267731809,0.00112299328756285,0.00276919935683112,0.281577805569026,0.558714683137235,0.471618896914321,0.400372629590873,0.163446568489829,0.0246037620275133,0.0466935504453689,0.0326050892013986,0.878576350782267,0.110461703376637,0.0108981394043031,0.00140374160945356,0.000310254683494299,-0.098836694828097,-0.117327050120381,0.042345059603199,-0.0035935138756558,0.0044248110738788,-0.0130779244889444,0.221811666614526,-0.035831837173843,0.305345834767428,0.378178896884616,-0.0023799607925223,0.156271376433523,-0.260445244594919,-0.051943824680819,-0.141808131359276,0.181690360537575,0.0417992470083159,-0.0379025145538078,-0.000652011027894631,-0.0017853697477464,0.302764650865115,0.336183009049693,-0.243977471408015,0.299925659173584,0.668140641725253,0.001038605443312,0.0263505648929534,0.056138434792531,0.037295751368552,-0.0379409016601683,-0.00219020073665958,0.00139075313124454
"pc2001__02__06",1,TRUE,105068,0.00662428141774851,0.13643545132676,0.213004911105189,0.902339437316785,0.037727947614878,0.0541649217649522,0.00154185860585526,0.663341835763506,0.0547074275707161,0.781065595614269,0.769987056001827,0.122901359119808,0.162037918300529,0.293628887958275,0.819041002017741,0.657621730688697,0.333745764647657,0.990977271862032,0.00756652834354894,0.00041877641146686,0.000571058742909354,0.893307191533102,0.921679293409982,0.224882932957704,0.821601248715118,0.859310161038566,0.067518178703316,0.161371683100468,0.0634351086915141,0.617266912856436,0.370769406479613,0.0108786690524232,0.00453039936041421,0.0716202840065481,0.023993984847908,0.0128773003333486,0.153751312845335,0.299545641353486,0.845209826932737,0.0704141741632038,0.0583702452166766,0.00553678250148409,0.332846248687155,0.123727110826978,0.338154710260743,0.0552650805972875,0.266850084478743,0.0495456413534865,0.668352436184301,0.916354628065209,0.717224530800493,0.260605507100781,0.983412484588337,0.0138020000913284,0.000856203479610941,0.000639298598109503,0.383910224211151,0.760377186172885,0.46313758619115,0.679505913512032,0.197634595186995,0.0541577240969907,0.0652541211927485,0.0193844467783917,0.410646604867802,0.567993972327504,0.0213365907119047,0.00420110507329102,-0.00625301891560009,-0.017315861518575,-0.086540730248297,0.057129610384048,-0.0326862265483258,-0.0042053234517244,-0.00399492389562883,0.330495587076351,-0.0690196832562619,0.442910885353526,0.71472197540454,-0.143948725358935,0.112492276947043,-0.374723548226026,-0.097313626047468,-0.059602800111796,0.073140257546876,0.00756478727369503,-0.00623547174777946,-0.000437427068144081,-6.8239855200149e-05,0.509396967321951,0.161302107237097,-0.238254653233446,0.142095335203086,0.661675565851571,0.0133604546063253,0.0961175619077195,0.0440506619131224,0.206620307988634,-0.197224565847891,-0.0104579216594815,0.00032929428712319
"pc2001__02__09",1,TRUE,123353,0.0105469668350182,0.232300795278591,0.232527786109783,0.84281695621509,0.0373724189926471,0.0494921080152084,0.0131330409475246,0.606778919037235,0.10387262571644,0.812383971204592,0.689735961022432,0.0429499079876452,0.415449968788761,0.229787682504682,0.777711121740047,0.490121845435458,0.439843376326478,0.971731534701223,0.0250419527696935,0.000502622554781805,0.00128898364855334,0.734372086613216,0.845167932681005,0.313182492521463,0.767650563829011,0.8812027271327,0.100735288156753,0.204899759227583,0.122550728397364,0.836850340080906,0.136632266746654,0.0232908806433569,0.0115846392061806,0.117370473356951,0.0425607808484593,0.0150427836254936,0.260924288715882,0.280920431591876,0.792070565068667,0.0530557557425471,0.0524771871415666,0.0211228290989555,0.403201412925426,0.132299353424213,0.530831616236462,0.165155959764106,0.168190907337671,0.179498370872624,0.467727037424253,0.795044610684233,0.543844334595357,0.334432952019407,0.96009906718501,0.0349171225854911,0.00166465351861062,0.00130939209695592,0.428973091484891,0.588262162628528,0.530679361341467,0.598422639287853,0.237040570854353,0.120606177488606,0.107461504887382,0.0360336584821202,0.698515007257483,0.255575066738396,0.0458185730671241,0.0160476659324597,-0.0044958167904754,-0.028623493437291,-0.048392645482093,0.050746391146423,-0.0156833367499,-0.0029850791263582,-0.0079897881514309,0.203577506111809,-0.028426727707773,0.28155235496813,0.524580001258326,-0.125240999350026,0.235951597916137,-0.237939354919571,-0.0173334889441861,-0.053722489159899,0.105410424307071,0.0116324675162129,-0.0098751698157976,-0.00116203096382882,-2.040844840258e-05,0.305398995128325,0.256905770052477,-0.217496868820004,0.169227924541158,0.644162156278347,-0.019870889331853,0.097438254340201,0.0865170699152438,0.138335332823423,-0.118942799991742,-0.0225276924237672,-0.0044630267262791
