"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__02__10",1,"Sirmaur",TRUE,97090,1102,21320,30630,37628,75607,4730,8795,2407,39659,17116,66916,55995,2437,29519,41516,68599,65105,29203,91509,5148,84,123,66,160,60246,78937,26363,58902,75406,16691,17523,7459,8593,2220,83947,10156,85326,9271,2231,1600,631,262,2011,0.0113502935420744,0.219590071068081,0.38755793593573,0.778731074260995,0.0487176846225152,0.0905860541765372,0.024791430631373,0.40847667112988,0.176290040168915,0.689216191162839,0.576732928210938,0.0251004222885982,0.304037490987743,0.427603254712123,0.706550623133175,0.670563394788341,0.300782778864971,0.942517252034195,0.0530229683798537,0.000865176640230714,0.00164795550520136,0.620517046039757,0.813029148212998,0.271531568647646,0.606674219796066,0.776660830157586,0.171912658358224,0.180482026985271,0.0768256257081059,0.87883407148007,0.0954887218045113,0.0229786795756515,0.00649912452363786,0.864630754969616,0.104603975692656,0.0885055103512205,0.0228653826346689
"pc2001__02__12",1,"Kinnaur",TRUE,19535,999,5752,4766,4909,17996,294,130,272,11752,1700,12450,11951,1405,6694,5495,14505,7150,10884,17865,1442,111,20,59,38,13521,17044,6453,12925,16468,190,857,2775,2563,354,13926,4511,12830,5728,820,678,142,157,2011,0.0511389813155874,0.294445866393652,0.251292551830049,0.921218326081392,0.0150499104171999,0.00665472229331968,0.0139237266444843,0.601586895316099,0.0870232915280266,0.637317635014077,0.611773739442027,0.0719221909393396,0.342667007934477,0.281289992321474,0.742513437420015,0.366009726132583,0.557153826465319,0.914512413616586,0.0738162272843614,0.00568210903506527,0.00194522651650883,0.692142308676734,0.872485282825697,0.330330176606092,0.661632966470438,0.842999744049143,0.00972613258254415,0.0438699769644228,0.142052725876632,0.656769900179166,0.293217302277963,0.0419759406194011,0.00726900435116458,0.712874328128999,0.230918863578193,0.131200409521372,0.0181213207064244
"pc2001__03__03",1,"Kapurthala",TRUE,165336,2102,34461,49025,58124,87546,240,75439,172,145612,4941,127357,117990,19041,52548,13539,125023,46630,112433,161206,2634,158,229,291,818,137713,126450,37410,144945,145116,107044,90508,23561,23145,9732,141816,18924,151848,9767,2810,1663,1147,911,2011,0.0127135046208932,0.208430105966033,0.351550781439009,0.529503556394252,0.00145158949049209,0.45627691488847,0.00104030580151933,0.880703537039725,0.0298845986355059,0.770292011419171,0.713637683263173,0.115165481201916,0.317825518943243,0.081887792132385,0.756175303624135,0.282031741423525,0.680027338268738,0.975020564184449,0.0159311946581507,0.000955629747907292,0.00494750084676054,0.832928097933904,0.764806212803019,0.226266511830454,0.876669327914066,0.877703585426042,0.647433105917646,0.547418590022742,0.142503749939517,0.918420670634345,0.0590736439734843,0.0169956936178449,0.00693738810664344,0.857744229931775,0.114457831325301,0.139987661489331,0.0588619538394542
"pc2001__03__04",1,"Jalandhar",TRUE,454073,5602,109039,138349,167772,297183,890,151053,173,409159,9274,377591,354038,36718,203154,36980,358289,119334,303259,446200,5081,293,626,546,1327,392909,342469,132632,401189,395069,286365,238203,72374,79134,39082,378807,61615,416509,28111,6662,4706,1956,2791,2011,0.0123372233099083,0.240135396731363,0.369482440048186,0.654482869494553,0.00196003726273088,0.332662369266616,0.000380996007249936,0.901086389192927,0.0204240287354676,0.83156452817058,0.779694013958108,0.0808636496774748,0.447403831542505,0.0814406494109978,0.789055944748972,0.262807962596323,0.667863977818545,0.982661378236539,0.01118983071004,0.000645270694359717,0.00292243758162234,0.865299191980144,0.754215731831666,0.292094002506205,0.883534145390719,0.87005613634812,0.630658506451606,0.524591860780095,0.159388468374028,0.917273213778401,0.0619085477445257,0.0146716497127114,0.00430767739988944,0.834242511666626,0.135694040385577,0.174275942414546,0.0860698610135375
"pc2001__03__08",1,"Fatehgarh Sahib",TRUE,115753,1221,26154,34162,43188,44186,300,68438,109,104951,2399,91667,82145,16989,30347,10536,83603,41441,66294,113683,1368,53,114,109,426,99858,83408,13863,98080,98401,84834,63700,18239,14294,5138,101426,11510,105990,7145,1559,1139,420,1059,2011,0.0105483227216573,0.22594662773319,0.373104800739506,0.381726607517732,0.00259172548443669,0.591241695679594,0.00094166025934533,0.906680604390383,0.0207251647905454,0.791918999939526,0.709657633063506,0.14676941418365,0.262170310920667,0.0910213990134165,0.722253418917868,0.358012319335136,0.572719497550819,0.982117094157387,0.0118182682090313,0.000457871502250482,0.0036802501879001,0.862681744749596,0.720568797352984,0.119763634635819,0.847321451711835,0.850094597980182,0.732888132489007,0.55030971119539,0.157568270368803,0.915656613651482,0.0617262619543338,0.0134683334341227,0.00362841567821136,0.876227829948252,0.0994358677528876,0.12348708024846,0.0443876184634523
"pc2001__03__10",1,"Moga",TRUE,191228,2995,45719,60461,81305,91608,635,91646,408,151928,13867,134367,106165,60174,32931,34289,117737,95213,92920,183396,3839,255,302,900,2536,167596,109618,31170,152610,155841,140084,85167,26253,21662,7897,178205,9104,163813,21970,4577,3316,1261,868,2011,0.0156619323530027,0.239081096910494,0.425173091806639,0.479051184972912,0.0033206434204196,0.479249900642165,0.00213357876461606,0.794486163114188,0.0725155311983601,0.702653377120505,0.555174974376137,0.314671491622566,0.172208044846989,0.179309515342941,0.615689125023532,0.497903026753404,0.485912104921873,0.959043654694919,0.0200755119543163,0.00133348672788504,0.0132616562428096,0.876419771163219,0.573231953479616,0.162999142385006,0.798052586441316,0.814948647687577,0.732549626623716,0.445368879034451,0.137286380655553,0.856637103353065,0.114889032986801,0.0239347794256071,0.00659422260338444,0.931898048402954,0.0476080908653544,0.113278390193905,0.0412962536866986
"pc2001__03__12",1,"Muktsar",TRUE,172792,1201,44045,55697,75329,94584,555,72452,1837,125869,19488,104417,70460,62708,31309,56322,94210,92909,77362,166585,3662,197,485,515,1348,133635,92879,27409,130482,135144,109666,62205,23185,14077,4571,159581,9169,141180,23039,7572,6191,1381,1001,2011,0.00695055326635492,0.254901847307746,0.435951895921107,0.547386453076531,0.00321195425714153,0.419301819528682,0.0106312792258901,0.728442288994861,0.112782999212927,0.604293022825131,0.407773508032779,0.362910319922219,0.181194731237557,0.325952590397704,0.545222001018566,0.537692717255428,0.447717486920691,0.964078198064725,0.0211931107921663,0.00114009907866105,0.00780128709662484,0.773386499374971,0.537519098106394,0.158624241863049,0.755139126811426,0.782119542571415,0.634670586601232,0.359999305523404,0.134178665678967,0.817051715357192,0.133333719153665,0.0438214732163526,0.00799226816056299,0.923543914070096,0.0530637992499653,0.0814678920320385,0.026453771007917
"pc2001__03__13",1,"Faridkot",TRUE,118193,854,25809,36747,46014,48872,475,65489,1190,95315,11526,81609,61335,37614,16412,29860,74390,53410,63322,113549,2609,135,341,558,1001,99988,70383,16469,93053,95758,82761,51638,15528,12276,4348,109071,6142,106112,8354,2633,1939,694,1094,2011,0.00722547020551132,0.218363185637051,0.389312395827164,0.413493184875585,0.00401885052414272,0.554085267317015,0.0100682781552207,0.806435237281396,0.0975184655605662,0.690472362999501,0.518939361891144,0.31824219708443,0.13885763116259,0.252637635054529,0.629394295770477,0.451888013672553,0.535750848188979,0.960708332980803,0.0220740652999755,0.00114219962265109,0.00846919868350918,0.845972265701014,0.595492118822604,0.139339893225487,0.787297048048531,0.81018334419128,0.70021913311279,0.436895586033014,0.131378338818712,0.897785824879646,0.0706810047972384,0.022277123010669,0.00587175213422115,0.922821148460569,0.0519658524616517,0.103864019019739,0.0367872885873106
"pc2001__03__14",1,"Bathinda",TRUE,266035,3013,55676,79503,95645,151659,976,105388,2786,211601,15026,185631,100815,130895,57733,69245,171072,136133,122241,255650,6644,327,526,1039,1849,232629,155531,43415,204051,215302,176384,106010,36173,32253,11284,235988,21224,241612,17054,6175,4734,1441,1194,2011,0.0113255774616122,0.209280733738042,0.359520363861898,0.570071607119364,0.00366869020993478,0.396143364594884,0.0104723062754901,0.795387824910256,0.0564812900558197,0.6977690905332,0.378953897043622,0.492021726464563,0.217012799067792,0.260285300806285,0.643043208600372,0.511710865111733,0.459492172082621,0.960963782960889,0.0249741575356626,0.0012291615764843,0.00695021331779653,0.874430056195613,0.584626083034187,0.163192812975736,0.767008100437912,0.80929952825756,0.663010506136411,0.398481402822937,0.135970830905708,0.908196289961847,0.0641043471723645,0.023211231604864,0.00541658052511888,0.887056214407879,0.079778976450467,0.121235927603511,0.0424154716484673
"pc2001__03__15",1,"Mansa",TRUE,147127,1831,32975,49733,60445,71808,471,69458,1313,108275,15831,93911,44030,54458,14087,37328,76047,105208,41001,140099,4490,156,389,504,1489,99571,73723,13053,102314,111889,90845,48117,12805,10085,2673,140422,4905,124992,18345,3297,2721,576,493,2011,0.0124450304838677,0.224126095142292,0.410835536645211,0.488068131614184,0.00320131586996269,0.472095536509274,0.00892426271180681,0.735928823397473,0.107600916215243,0.638298884637082,0.299265260625174,0.370142801797087,0.0957472115927056,0.253712778755769,0.516879974443848,0.715082887573321,0.278677605062293,0.95223174536285,0.0305178519238481,0.00106030844100675,0.0101205081324298,0.676769049868481,0.50108409741244,0.0887192697465455,0.69541280662285,0.760492635614129,0.617459745661911,0.327043982409755,0.087033651199304,0.849551747809715,0.124688194553005,0.0224092110897388,0.003914985012948,0.954427127583652,0.0333385442508853,0.068546221971494,0.0181679773257118
