"target_unit_2001","census_2011_source_district_count","census_2011_source_districts","census_2011_parent_reconstruction_complete","households_total","rooms_no_exclusive","rooms_one","rooms_two","overcrowding_gt2_ppr_lower_bound","water_tap","water_well","water_handpump_tubewell","water_surface","water_within_premises","water_away","bathroom_available","latrine_flush_or_water_closet","latrine_pit","drainage_closed","drainage_none","separate_kitchen_within_house","cooking_solid_fuel","cooking_clean_fuel","lighting_electricity","lighting_kerosene","lighting_solar","lighting_other_oil","lighting_other","lighting_none","latrine_available","banking","radio","television","telephone","bicycle","motorcycle","car","computer","computer_internet","households_owned","households_rented","structure_permanent","structure_semi_permanent","structure_temporary","structure_temporary_serviceable","structure_temporary_nonserviceable","structure_unclassifiable","census_year","no_exclusive_room_share_households","one_room_share_households","overcrowding_gt2_ppr_lower_bound_share_households","tap_water_share_households","well_water_share_households","handpump_tubewell_water_share_households","surface_water_share_households","water_within_premises_share_households","water_away_share_households","bathroom_share_households","flush_or_water_closet_latrine_share_households","pit_latrine_share_households","closed_drainage_share_households","no_drainage_share_households","separate_kitchen_within_house_share_households","solid_cooking_fuel_share_households","clean_cooking_fuel_share_households","electricity_share_households","kerosene_lighting_share_households","solar_lighting_share_households","no_lighting_share_households","latrine_share_households","banking_share_households","radio_share_households","television_share_households","telephone_share_households","bicycle_share_households","motorcycle_share_households","car_share_households","permanent_structure_share_households","semi_permanent_structure_share_households","temporary_structure_share_households","nonserviceable_temporary_structure_share_households","owned_share_households","rented_share_households","computer_share_households","internet_computer_share_households"
"pc2001__09__66",1,"Chandauli",TRUE,294718,8167,71191,84536,142013,38260,46053,208048,735,103011,62997,67724,65083,7837,54371,125146,130118,257938,33745,99602,191560,1370,934,924,328,74557,219976,83980,109887,190317,220298,49064,7313,20762,3492,283240,9071,166250,71972,51604,42281,9323,4892,2011,0.0277112358254331,0.241556335208572,0.481860626090025,0.129819013429787,0.156261239557815,0.705922271459497,0.00249390943206726,0.34952395170977,0.213753486383594,0.229792547452141,0.220831438866985,0.0265915213865458,0.18448482956589,0.424629645966653,0.441500010179222,0.87520273617492,0.114499284061374,0.337956962248658,0.649977266403816,0.00464851145841109,0.00111292829077287,0.252977422485223,0.746394858814188,0.284950359326543,0.372854728927314,0.645759675350674,0.747487428660618,0.166477785544147,0.024813550580555,0.564098562015215,0.244206326047272,0.175096193649523,0.0316336294355961,0.961054295971064,0.030778574773173,0.0704470035763001,0.0118486146078624
"pc2001__09__67",1,"Varanasi",TRUE,541704,14331,140407,150503,270077,187518,44889,305591,746,278202,96168,241316,266233,25176,224814,220896,306681,324920,204070,336056,200330,2299,1064,819,1136,295357,403729,169964,309911,398076,412569,157861,24216,57583,19214,500257,33976,416846,74234,40626,31909,8717,9998,2011,0.0264554073811528,0.259195058555964,0.498569329375452,0.346163218288955,0.0828662886004165,0.564129118485372,0.00137713585279045,0.513568295600549,0.177528687253555,0.445475757978527,0.491473203077696,0.0464755659917593,0.415012626822028,0.40777989455496,0.5661412874928,0.599810966874898,0.37671865077607,0.62036831922969,0.369814511245994,0.00424401518172286,0.00209708623159511,0.545236882134893,0.745294478165197,0.313758067136296,0.572103953450593,0.734858889725754,0.761613353418103,0.291415607047391,0.0447033804439325,0.769508809238994,0.137037939538936,0.0749966771520978,0.0160918139795903,0.923487734999188,0.0627206001801722,0.106299750417202,0.0354695553291096
"pc2001__09__69",1,"Mirzapur",TRUE,390819,7988,111346,126357,206753,44170,68045,274880,1653,98038,102159,71569,80149,19760,73068,240160,175899,340129,45473,145997,240542,2302,647,752,579,102361,292567,110625,136132,237437,309079,63155,10205,24518,4447,381372,6470,193472,133469,56449,45935,10514,7429,2011,0.0204391291109184,0.284904265145758,0.52902494505129,0.113019070208971,0.174108730640015,0.703343491488387,0.00422957942167602,0.250852696516802,0.261397219684816,0.183125692456099,0.205079589272784,0.050560489638426,0.186961227575937,0.614504412528562,0.450077913305136,0.870298015193734,0.116353094399198,0.373566791788526,0.615481847095459,0.00589019469370732,0.00148150422574133,0.261914082989824,0.748599735427397,0.283059421368971,0.348324927907804,0.607536992827882,0.790849472517969,0.161596544692044,0.026111831819845,0.495042462111617,0.341511031961087,0.144437706457465,0.0269024791527536,0.975827684938552,0.0165549781356587,0.0627349233276785,0.0113786688978786
"pc2001__09__70",1,"Sonbhadra",TRUE,326918,4709,63603,108286,125820,47641,61458,210788,4958,71772,97142,50796,64980,12790,31100,240810,160765,278495,44397,95582,223195,6735,461,369,576,78826,269560,82293,80712,165535,203774,50700,10279,25220,5149,288821,19116,75005,183804,63990,59607,4383,4119,2011,0.0144042236891208,0.194553374240635,0.384867153231085,0.145727674829774,0.187992095877254,0.644773307067827,0.0151658825760588,0.219541291700059,0.297144849778844,0.155378412935354,0.198765439651533,0.0391229604977395,0.0951308890914541,0.736606733186915,0.491759401440116,0.851880288023296,0.135804697202357,0.292373010969112,0.682724719960357,0.0206014963997088,0.00176190971436262,0.241118567958938,0.824549275353453,0.251723673826464,0.246887598725063,0.506350216262182,0.623318385650224,0.155084761316293,0.0314421353366899,0.229430621746126,0.56223273114359,0.195737157329973,0.0134070317327281,0.883466190298485,0.0584733786454096,0.0771447274240023,0.0157501269431478
"pc2001__10__01",1,"Pashchim Champaran",TRUE,708065,15266,260298,275984,423933,19577,8016,673647,1166,368844,56971,59288,98747,10707,17570,516713,260521,664198,40021,57546,643700,3183,2196,1181,259,112382,267514,183497,69056,371137,425249,48435,10911,41143,3495,694531,7910,286206,106670,310166,13832,296334,5023,2011,0.0215601674987466,0.367618792060051,0.598720456455269,0.027648591584106,0.0113209945414616,0.951391468297402,0.00164674147147508,0.520918277276804,0.0804601272482046,0.0837324256953811,0.139460360277658,0.0151214930832621,0.0248141060495858,0.729753624314152,0.36793373489722,0.938046648259694,0.0565216470239314,0.0812721995861962,0.909097328635083,0.00449535000317767,0.000365785627025767,0.158717066935945,0.377809946826916,0.259152761399024,0.09752776934321,0.524156680530742,0.600579042884481,0.068404736853255,0.0154096022257844,0.404208653160374,0.150650010945323,0.438047354409553,0.418512424706771,0.980885935613256,0.0111712907713275,0.0581062473078037,0.00493598751527049
"pc2001__10__02",1,"Purba Champaran",TRUE,984303,16823,368761,387229,562562,20310,10869,945481,1546,470416,82938,101659,162387,14040,36781,617506,284145,921503,54666,74979,898330,4510,3723,2335,426,179522,401012,357603,96546,585210,611212,78531,19282,70258,7719,967001,9489,468023,134715,373632,28351,345281,7933,2011,0.0170912818512186,0.374641751574464,0.571533359138395,0.0206338901740623,0.0110423314771976,0.960558892942519,0.00157065456470213,0.477917876913918,0.0842606392543759,0.103280189128754,0.164976638291258,0.0142639004452897,0.0373675585668234,0.627353568972156,0.288676352708465,0.936198507979758,0.0555377764773652,0.076174714493403,0.912655960613754,0.00458192243648551,0.000432793560519474,0.182384895707927,0.407407068758299,0.363305811320295,0.0980856504551952,0.594542534158689,0.62095919650758,0.0797833593923822,0.0195894963237946,0.475486714964802,0.136863343909345,0.379590430995334,0.350787308379635,0.982422079380028,0.00964032416847251,0.071378427171308,0.00784209740293385
"pc2001__10__03",1,"Sheohar",TRUE,148889,2420,70144,56607,78692,2091,859,145016,195,57924,15128,11010,25217,4592,4250,108993,38560,142350,4466,10004,137258,848,305,443,31,30398,80938,56957,11722,83296,73447,7678,1410,6698,478,147280,830,56427,18446,73226,3100,70126,790,2011,0.0162537192136424,0.471116066331294,0.528527963785102,0.0140440193701348,0.00576939867955322,0.973987332845274,0.00130970051514887,0.389041500715298,0.101605894323959,0.0739477060091746,0.169367784053892,0.0308417680285313,0.0285447548173472,0.73204199101344,0.258984881354566,0.956081376058675,0.0299955000033582,0.0671909946335861,0.921881401581044,0.00569551813767303,0.000208208799844179,0.204165519279463,0.543613027154457,0.382546729442739,0.0787297919926925,0.559450328768411,0.493300378134046,0.0515686182323745,0.00947014218646105,0.378987030606694,0.123890952320185,0.491816050883544,0.470995170899126,0.989193291646797,0.00557462270550544,0.0449865335921391,0.00321044536533928
"pc2001__10__04",1,"Sitamarhi",TRUE,733083,13383,380068,243728,433381,10992,4660,710373,844,251811,122665,67371,136442,12987,27198,553391,175906,678275,41181,66263,659192,3050,1977,2265,336,152392,239565,252121,61089,340890,317432,38576,7292,42461,3460,720630,6856,335165,151976,241549,26789,214760,4393,2011,0.0182557773130737,0.518451525952723,0.591175896862975,0.0149942093869316,0.00635671540603179,0.969021243160733,0.00115130210358172,0.343495893370873,0.167327574094611,0.091900917085787,0.186120807602959,0.0177155929137628,0.0371008466981229,0.75488178009857,0.239953729659534,0.925236296572148,0.0561750852222736,0.0903894920493314,0.899205137753842,0.00416051115630836,0.00045833827820315,0.207878234797424,0.326791100052791,0.343918764996597,0.0833316282058103,0.465008737073428,0.433009631924352,0.0526215994641807,0.00994703191862313,0.457199253017735,0.207310768357744,0.329497478457419,0.292954549484847,0.983012837564096,0.0093522834385738,0.0579211358059047,0.00471979298387768
"pc2001__10__05",1,"Madhubani",TRUE,901539,21743,430672,307929,560882,19775,8764,859607,1804,346397,142744,63672,146677,16915,20637,748139,348815,828141,50111,113281,778444,4097,1455,3643,619,166993,342733,300530,73851,486531,416574,59254,11636,65548,5319,884913,8410,395557,141603,355313,51804,303509,9066,2011,0.0241176477113026,0.477707564509134,0.622138365617017,0.021934713861519,0.00972115460340595,0.953488423684389,0.00200102269563491,0.384228524778185,0.158333693827999,0.0706258963838503,0.162696233884502,0.0187623608074637,0.0228908566351539,0.829846518009759,0.386910605087523,0.918585884803652,0.055583840521597,0.125652911299456,0.863461259024845,0.00454445121065201,0.000686603685475614,0.185231032711841,0.380164363383059,0.333352189977361,0.0819165892989654,0.539667169140769,0.462069860538479,0.065725387365383,0.0129068182297161,0.438757502448591,0.15706808024944,0.394118279963485,0.33665653953961,0.981558202141006,0.00932849272189001,0.0727067825130139,0.0058999111519302
"pc2001__10__06",1,"Supaul",TRUE,440804,12668,228704,149312,295248,5373,2389,425676,689,273702,21374,17871,41053,5817,4427,363187,144545,415901,12965,51028,386377,1866,395,949,189,47753,184880,107152,26559,207212,192734,21885,4064,25078,1845,430158,5069,98628,127616,213327,5681,207646,1233,2011,0.0287383962033012,0.518833767388681,0.66979428498834,0.0121890908430958,0.00541964228999737,0.965680892187911,0.00156305296685148,0.620915418190398,0.0484886707017178,0.0405418281140824,0.0931320949900636,0.0131963412310233,0.0100430123138629,0.823919474414933,0.327912178655366,0.943505503579822,0.0294121650438744,0.115761199989111,0.876527889946552,0.00423317392764131,0.000428761989455631,0.108331594087168,0.419415431801889,0.24308309361984,0.0602512681373127,0.470077404016297,0.437232874474823,0.0496479160806163,0.00921951706427346,0.223745701037196,0.289507354742697,0.483949782669849,0.471061968584677,0.975848676509288,0.0114994419288391,0.0568914982622662,0.00418553370659068
"pc2001__10__08",1,"Kishanganj",TRUE,335711,16490,216742,80255,234883,4264,7961,315573,850,142448,33601,14322,27203,6661,3702,289737,79794,313780,12200,58718,274973,707,887,326,100,34858,68232,51858,28736,130592,177516,19539,2436,14073,1093,326865,4776,103946,172936,57340,3475,53865,1489,2011,0.049119629681482,0.645620786926851,0.699658337081597,0.012701400907328,0.0237138491142679,0.94001388098692,0.0025319396743032,0.42431734438252,0.100089064701484,0.0426616941357298,0.0810310058353763,0.019841470788863,0.0110273419697299,0.863054829898335,0.237686581613352,0.93467297765042,0.0363407812076459,0.174906392700865,0.819076527131968,0.00210597805850866,0.000297875255800376,0.103833356666895,0.203246244537713,0.154472150152959,0.085597433506796,0.389001254054827,0.528776239086595,0.0582018462308354,0.00725624123129716,0.309629413394259,0.515133552370938,0.170801671675936,0.160450506536872,0.973649954871899,0.014226522217026,0.0419199847487869,0.00325577654589811
"pc2001__10__09",1,"Purnia",TRUE,640713,34552,374570,170656,426974,12331,3154,606448,2226,314626,52843,36773,69240,16479,12713,505403,132068,598955,34692,86058,549898,1469,1998,907,383,87774,164976,126408,63200,258284,291919,40178,8390,33664,4170,624039,8720,136015,250946,251031,7686,243345,2721,2011,0.0539274214820052,0.584614328100101,0.666404458782637,0.0192457465355003,0.00492264087040531,0.946520516986545,0.00347425446338688,0.49105605786054,0.0824753048556842,0.0573938721393198,0.108067106489177,0.0257197840530784,0.0198419573194238,0.788813400071483,0.206126612071239,0.9348257332066,0.0541459280520295,0.134315988593957,0.858259470308859,0.00229275822404103,0.000597771545137995,0.13699425483797,0.257488142116673,0.197292703597399,0.0986401087538414,0.403119649515462,0.455615852963808,0.0627082640745544,0.0130947865893153,0.212286936584711,0.391666783723758,0.391799448426987,0.379803437732651,0.973975867510102,0.013609837790087,0.0525414655235652,0.00650837426429618
"pc2001__10__11",1,"Madhepura",TRUE,401001,12561,234844,115013,275175,6388,2771,384905,431,218811,28868,19245,42333,8952,6277,309711,83203,383864,12850,23236,374908,1197,1062,547,51,52388,122774,74766,23209,182773,169936,21254,4560,23309,1397,394241,3072,112282,105929,181307,6307,175000,1483,2011,0.0313241114111935,0.585644424826871,0.686220233864754,0.015930134837569,0.00691020720646582,0.959860449225812,0.00107481028725614,0.545661980892816,0.0719898454118568,0.0479923990214488,0.105568315290984,0.0223241338550278,0.0156533275478116,0.772344707369807,0.207488260627779,0.957264445724574,0.0320448078683096,0.0579449926558787,0.934930336832078,0.0029850299625188,0.000127181727726365,0.130643065728016,0.306168812546602,0.186448412846851,0.0578776611529647,0.455791880818252,0.423779491821716,0.0530023615901207,0.0113715427143573,0.280004289266112,0.264161436006394,0.452136029585961,0.436407889257134,0.983142186677839,0.00766082877598809,0.0581270370896831,0.00348378183595552
"pc2001__10__12",1,"Saharsa",TRUE,368212,13420,224743,95202,261546,6629,4320,349271,607,174742,34896,25506,51142,9080,11203,299113,70265,340853,22247,41342,323952,1279,852,573,214,61597,132591,60611,30518,166317,129847,20489,3824,19415,1668,359161,5426,133971,67819,165225,10522,154703,1197,2011,0.0364463950115694,0.610363051720205,0.710313623673319,0.0180032155388743,0.0117323715685529,0.94855952549075,0.00164850683845176,0.474568998294461,0.0947714903370884,0.0692698771359977,0.138892811749753,0.0246597069079769,0.0304254071024301,0.812339087264945,0.190827566727863,0.925697695892584,0.0604189977512955,0.11227770958035,0.879797507957372,0.00347354241578221,0.000581186924923685,0.167286780441702,0.360094184871759,0.16460897526425,0.0828816008169207,0.451688157909031,0.352641956264326,0.0556445743213149,0.0103853214995709,0.363842025789491,0.184184654492521,0.448722475095869,0.420146546011537,0.97541905206783,0.0147360759562426,0.0527277763896885,0.00452999902230237
"pc2001__10__14",1,"Muzaffarpur",TRUE,947863,27882,463485,310919,595769,44121,14735,874936,2025,446177,87226,113753,231495,21438,59505,566563,176545,842190,90595,180651,759131,3178,2074,1996,833,256532,449632,259307,172027,547479,548802,94249,23333,73012,10290,911967,22474,467852,150599,318635,38261,280374,10777,2011,0.0294156433999428,0.488978892519278,0.628539145425025,0.0465478660945727,0.0155454954988221,0.923061666084656,0.00213638468850456,0.470718869710074,0.0920238473281476,0.120009959245165,0.244228332575488,0.0226171925689683,0.0627780596985007,0.597726675690474,0.186255819670142,0.888514479413164,0.0955781584469486,0.19058766931508,0.800886837021806,0.0033528052049716,0.000878818985444099,0.27064248736368,0.474363911240337,0.27357012564052,0.181489308054012,0.577592964384093,0.578988735713917,0.0994331459293168,0.0246164266354948,0.493586098412956,0.158882665532888,0.336161449492173,0.295795911434458,0.962129548257501,0.0237101775256551,0.0770280093220223,0.0108559992319565
"pc2001__10__15",1,"Gopalganj",TRUE,421727,11392,132204,153700,262791,16485,2909,399026,646,255329,23320,53734,76487,5837,28228,219598,117487,387135,32087,69375,347573,2144,1342,924,369,84425,276915,154764,61380,316314,312727,51902,9508,33596,3707,412706,5453,307678,34047,74198,6507,67691,5804,2011,0.027012735727141,0.313482418721116,0.623130603447254,0.0390892686500983,0.00689782726740285,0.946171338330247,0.00153179663621253,0.605436692457443,0.0552964358459382,0.127414180263535,0.181366144448897,0.0138407073770472,0.0669342963575963,0.520711265818883,0.278585435601704,0.917975372693709,0.0760847657370764,0.16450215423722,0.82416587033792,0.00508385756662485,0.000874973620375266,0.20018874769697,0.656621463648284,0.366976740877392,0.145544392462422,0.750044460041686,0.741538957666927,0.123070137790561,0.0225453907385584,0.729566757641792,0.0807323220946252,0.175938462559903,0.160509049693285,0.978609384744159,0.0129301657233234,0.0796629098919443,0.00879004664154773
"pc2001__10__16",1,"Siwan",TRUE,544879,11186,201802,179908,350345,19043,3948,518473,672,358850,27943,72038,113020,9063,50665,240380,122050,496892,43737,52935,484677,3382,2368,1152,365,124672,402557,181860,74071,401299,382782,64065,10891,37833,3834,535085,6347,438673,53340,47982,13061,34921,4884,2011,0.0205293285298204,0.370361126048169,0.642977615213653,0.0349490437326452,0.00724564536346602,0.951537864369888,0.0012333013384623,0.658586585278566,0.0512829453878751,0.132209169375219,0.20742219832293,0.0166330506406009,0.0929839468946317,0.441162166279119,0.223994685058518,0.911930905760729,0.080269197381437,0.0971500094516397,0.889513084556388,0.00620688262898735,0.000669873494849315,0.228806762602339,0.738800724564536,0.33376217472136,0.135940272978037,0.736491955094617,0.702508263302495,0.117576562869922,0.0199879239243942,0.805083330427489,0.0978932937404451,0.088059917890027,0.0640894583935149,0.982025367099852,0.0116484577309825,0.0694337641935182,0.00703642460069116
"pc2001__10__17",1,"Saran",TRUE,641742,13311,245194,206463,414540,27833,28131,578710,839,381637,52347,73309,127164,7473,63005,255345,120027,582661,53594,94787,538801,3695,2249,1509,701,137526,393816,243581,128169,423960,431759,68604,10948,37442,4509,628222,8764,432172,102707,103133,40664,62469,3730,2011,0.0207419804220388,0.382075662805302,0.645960526192769,0.04337101202664,0.0438353730938602,0.901779842989862,0.00130737897784468,0.594689142988927,0.0815701637106501,0.114234380794774,0.198154398496592,0.0116448666286452,0.0981780840275375,0.397893546004469,0.187033106762531,0.907936522777066,0.0835133122033465,0.147702659324152,0.839591299930502,0.00575776558180702,0.00109233928899776,0.214301074263489,0.613667174658975,0.379562191659577,0.199720448404499,0.660639322344494,0.672792181281574,0.106902774011986,0.017059815315189,0.6734357420895,0.160044067553627,0.160707885723546,0.0973428574099872,0.978932343527461,0.0136565785003942,0.0583443190565679,0.00702618809428088
"pc2001__10__19",1,"Samastipur",TRUE,850353,21643,554527,194549,612839,20385,23436,797103,1632,352172,113395,63567,138719,18504,27771,588022,119512,785954,47928,88021,754639,2974,2115,2196,408,159459,377365,183813,84248,441421,458268,56464,10621,50918,5379,829443,10874,417002,186818,242272,36696,205576,4261,2011,0.0254517829654273,0.65211388682112,0.720687761435545,0.023972397345573,0.0275603190674931,0.937378947331285,0.00191920296629753,0.414148006768954,0.133350502673596,0.0747536611266145,0.16313107615308,0.0217603748090499,0.032658201946721,0.691503410936399,0.140543985850582,0.924267921674881,0.0563624753484729,0.103511130083624,0.887442038776837,0.00349737109177012,0.000479800741574381,0.187520947183111,0.443774526578962,0.216160817919147,0.0990741492062708,0.51910324300614,0.538915015293649,0.0664006594908232,0.0124901070496606,0.490386933426471,0.219694644459419,0.284907561918403,0.241753718749743,0.975410211994313,0.0127876305487251,0.0598786621555989,0.00632560830619754
"pc2001__10__20",1,"Begusarai",TRUE,596110,22050,397740,120096,419233,21384,17644,547417,869,313654,63453,69247,152467,31220,50925,382564,108760,537124,51664,120373,470680,1985,1353,1313,406,186662,258554,106532,76761,334335,295852,41377,9821,43127,4644,577162,10968,315894,141948,135119,28304,106815,3149,2011,0.0369898173155961,0.667225847578467,0.703281273590445,0.0358725738538189,0.0295985640234185,0.91831541158511,0.00145778463706363,0.526167989129523,0.106445119189411,0.116164801798326,0.255769908238412,0.052372884199225,0.0854288638003053,0.641767459026019,0.182449547902233,0.901048464209626,0.0866685678817668,0.201930851688447,0.789585814698629,0.00332992232977135,0.000681082350572881,0.313133482075456,0.433735384408918,0.178711982687759,0.12876985791213,0.560861250440355,0.496304373353911,0.0694116857626948,0.016475147204375,0.529925684856822,0.238123836204727,0.226667896864673,0.179186727281878,0.968213920249618,0.0183992887218802,0.0723473855496469,0.0077905084632031
"pc2001__10__21",1,"Khagaria",TRUE,327701,14462,230513,59922,237661,9814,2890,311073,482,142226,37245,29152,61550,14397,15088,242442,48896,309784,15869,40641,284722,1111,643,528,56,78061,106687,56603,31220,159866,99898,14047,3120,21654,1580,321312,3292,139195,67171,119713,14626,105087,1622,2011,0.0441316932203442,0.703424768310136,0.725237335253783,0.0299480318949286,0.00881901489467533,0.94925862295202,0.00147085300319499,0.434011492183423,0.113655435900409,0.088959142633071,0.187823656320853,0.0439333416742701,0.0460419711871493,0.739826854358089,0.149209187643614,0.94532515921526,0.0484252413022847,0.124018541292215,0.868846906173616,0.00339028565674197,0.00017088748584838,0.2382080005859,0.325562021476895,0.172727577883497,0.0952697733604719,0.487841050225663,0.304844965380026,0.0428652948877178,0.0095208742115526,0.42476220701188,0.204976487712885,0.365311671310127,0.320679521881227,0.980503568802048,0.0100457429180869,0.0660785289028718,0.00482146835072215
"pc2001__10__23",1,"Banka",TRUE,380013,8025,179974,130253,252877,15071,99502,253728,6262,108991,109898,22941,41703,3944,12160,252857,45713,352623,16851,62359,312859,2126,1319,1182,168,46555,141737,78757,32859,181116,159201,24398,3258,22300,1704,372571,3728,127903,101054,149601,130779,18822,1455,2011,0.0211176986050477,0.473599587382537,0.665443024317589,0.0396591695547258,0.26183841079121,0.667682421390847,0.0164783836342441,0.28680860917916,0.289195369632092,0.0603689873767476,0.109740982545334,0.0103785923113157,0.0319989053006081,0.665390394539134,0.120293253125551,0.927923518405949,0.0443432198372161,0.164097017733604,0.823284992881822,0.00559454544976093,0.00044209013902156,0.122508966798504,0.372979345443445,0.207248173088815,0.0864680945125561,0.476604747732314,0.418935667990306,0.0642030667371906,0.00857339091031096,0.336575327686158,0.265922481599314,0.393673374331931,0.0495298845039512,0.980416459436914,0.00981019070400223,0.0586822029772666,0.00448405712436153
"pc2001__10__24",1,"Munger",TRUE,263749,6445,131921,78646,169831,20237,53209,184033,1281,126411,43505,49702,87159,12592,24579,124345,63193,210119,50119,90461,170124,1015,989,794,366,102385,152376,56958,69973,149671,112707,24259,3755,17946,2653,248457,11182,151659,50151,60619,33868,26751,1320,2011,0.0244361116061104,0.500176303985987,0.643911446109748,0.0767282529981156,0.201741049255163,0.697758095765292,0.00485689045266522,0.479285229517458,0.164948492695707,0.188444316376555,0.330461916443285,0.0477423611084781,0.0931908746573447,0.471452024462652,0.239595221214109,0.796662736162033,0.190025365025081,0.342981395190124,0.645022350795643,0.00384835582315004,0.00138768298647578,0.388191045274105,0.577731100402276,0.215955321157616,0.265301479816037,0.567475137346492,0.427326738679578,0.0919775999150708,0.0142370208038703,0.575012606682869,0.190146692499308,0.229835942505943,0.101425976970529,0.942020633253586,0.0423963692753337,0.0680419641401484,0.0100588059101646
"pc2001__10__25",1,"Lakhisarai",TRUE,164430,10293,61330,50777,99792,9477,23593,127198,757,75362,30335,21235,43754,7591,11782,75240,28170,148692,13622,44491,117551,1555,246,450,137,52316,83837,28996,31048,95917,49052,9577,2415,8862,1186,158930,3444,95124,37310,30863,20218,10645,1133,2011,0.0625980660463419,0.372985464939488,0.606896551724138,0.0576354679802956,0.143483549230676,0.773569300006082,0.0046037827647023,0.458322690506599,0.184485799428328,0.129143100407468,0.266094994830627,0.0461655415678404,0.0716535911938211,0.457580733442802,0.171319102353585,0.904287538770297,0.0828437633035334,0.270577145289789,0.714899957428693,0.00945691175576233,0.000833181292951408,0.318165784832452,0.509864379979323,0.176342516572402,0.188821991120842,0.583330292525695,0.298315392568266,0.0582436295079973,0.0146871008939974,0.57850757161102,0.226905065985526,0.187696892294593,0.0647387946238521,0.966551115976403,0.0209450830140485,0.0538952745849298,0.00721279571854285
"pc2001__10__26",1,"Sheikhpura",TRUE,103748,2348,27931,32547,54906,5094,10549,85547,208,38651,22635,12052,23638,5778,9828,25548,16207,93787,7383,20065,81838,1020,478,292,55,30019,42689,20176,16279,61568,33652,6933,1728,8873,631,100345,2119,60101,21341,21000,16437,4563,1306,2011,0.0226317615761268,0.269219647607665,0.529224659752477,0.0490997416817674,0.101679068512164,0.824565292824922,0.00200485792497205,0.372546940663916,0.218172880441069,0.116166094768092,0.227840536685045,0.0556926398581177,0.0947295369549292,0.246250530130701,0.156215059567413,0.903988510621892,0.0711628175964838,0.193401318579635,0.788815206076262,0.00983151482438216,0.000530130701314724,0.289345336777576,0.411468172880441,0.194471218722289,0.156909048849134,0.593437945791726,0.32436287928442,0.066825384585727,0.0166557427613062,0.579297914176659,0.205700350850137,0.202413540501986,0.0439815707290743,0.967199367698654,0.0204244901106527,0.0855245402321009,0.00608204495508347
"pc2001__10__27",1,"Nalanda",TRUE,487322,16380,134433,140102,236605,38617,46444,390009,1195,223694,99223,57350,128217,18056,56318,109316,69207,428380,47269,101378,375684,6267,1542,1714,737,149675,233259,81505,87070,273472,121583,29239,7955,43848,4156,464186,17540,302655,93148,86348,70260,16088,5171,2011,0.0336122727888337,0.275860724531213,0.485520867106349,0.079243292935677,0.0953045419660922,0.800310677539697,0.00245217741041857,0.459027090917299,0.203608702254362,0.117683995387034,0.263105297934425,0.037051477257337,0.115566299079459,0.224319854223696,0.142014930579781,0.879049170774149,0.0969974677933687,0.208030829718338,0.77091532908426,0.0128600801933834,0.00151234707236694,0.307137785694059,0.478654770357177,0.167250811578381,0.178670365795101,0.561173105256894,0.249492122251817,0.0599993433499821,0.0163239090375563,0.621057534853752,0.19114261207169,0.17718879919232,0.0330130796475431,0.952524203709252,0.0359926291035496,0.0899774686962624,0.00852824210686158
"pc2001__10__28",1,"Patna",TRUE,957441,22501,265369,295406,475861,231255,42200,666585,1990,607942,97253,338928,465860,33740,264493,217755,343016,608598,328896,546859,400713,4188,2253,2182,1246,507581,598395,227469,453344,662665,430595,176114,49821,132582,40692,829728,104162,670302,146836,134526,94628,39898,5777,2011,0.0235011870183124,0.277164859244591,0.497013392992362,0.24153446530909,0.0440758229488814,0.69621522370569,0.00207845705375057,0.634965496568457,0.101575971783118,0.353993614227926,0.486567840733789,0.0352397693434896,0.276249920360628,0.227434379768571,0.358263329019752,0.635650656280648,0.34351568399515,0.571167309526122,0.418525005718368,0.00437415986990321,0.00130138567285086,0.530143371758678,0.624994124964358,0.23758017465306,0.473495494761557,0.692120976645036,0.449735283949612,0.183942404806145,0.0520355823491996,0.700097447257847,0.153362974846492,0.1405057857351,0.0416714972515278,0.866610057434348,0.108792082227521,0.138475373417265,0.0425007911714664
"pc2001__10__30",1,"Buxar",TRUE,262398,7954,64472,78424,131202,10728,6703,240965,513,188476,19459,37814,59980,3645,21301,62226,66981,228839,29045,46760,210396,2960,1237,707,338,64826,148905,78643,48405,174119,137996,26325,5341,19324,1784,254972,4718,171101,45504,43094,26808,16286,2699,2011,0.0303127310421573,0.245703092249179,0.500011433013971,0.0408844579608076,0.0255451642161907,0.918318737185497,0.00195504538906547,0.718282913741721,0.074158339621491,0.144109330101601,0.22858405932972,0.0138911119749388,0.0811782101997729,0.23714357578945,0.255264902933711,0.872106494714137,0.11069063026395,0.17820257776355,0.801820135824206,0.0112805737848612,0.00128811957408212,0.247052187897774,0.567477648457686,0.299708839244202,0.184471680424393,0.663568319880487,0.525903398653953,0.10032469759678,0.0203545758732917,0.652066707825517,0.173415955914298,0.164231434690813,0.0620660218446787,0.971699479416764,0.017980319971951,0.0736438539927896,0.00679883230817308
