"model","term","estimate","std.error","statistic","p.value","partial_f","partial_p","model_f","model_p","nobs","r.squared","adj.r.squared","sigma","status"
"consumption","(Intercept)","29.0118285329761","9.330403273193","3.10938634521076","0.00197611014224068","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","ling_distance_nonzero_mean","0.84723097855149","0.962084448535196","0.880620178240512","0.37892484812947","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","log_population_2001","0.686430912831174","0.71825549650626","0.955691834131604","0.339666127313732","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","urban_share_2001","0.116735139445666","0.0515854912986227","2.26294519073008","0.0240451648941867","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","adult_secondary_plus_share_2001","0.563026125852515","0.16585802509857","3.3946269739912","0.000738993423582125","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","sc_share_2001","0.0376225255253867","0.0669161700556341","0.562233694697521","0.574195863455601","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","st_share_2001","0.0440576030271302","0.0308278151934108","1.42915100375155","0.153553306920169","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","muslim_share_2001","0.056322524170782","0.0415225735670571","1.356431437946","0.175542744077448","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","agricultural_worker_share_2001","-0.0467638558479217","0.053774200334592","-0.86963368226676","0.38489652812745","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
"consumption","dependency_ratio_2001","-0.0493825041856943","0.066696008418209","-0.740411688148524","0.459379965374388","0.775491898324352","0.37892484812947","99.2002704164687","5.55026074794035e-227","573","0.894410195330594","0.885393988100759","6.89036843168734","estimated"
