"panel","model_number","specification_id","term","regressor","outcome","population","sample","estimate","std.error","p.value","partial_r_squared","n"
"national",1,"english_linear","shastry_degree","Linguistic distance from Hindi","English acquisition","Multilingual speakers","All states",2.23376672632602,1.44799710194264,0.123120570961028,0.0248411952322104,1566
"national",2,"english_distant","distance_distant","Distant-language indicator","English acquisition","Multilingual speakers","All states",16.7265665620883,4.39385566515335,0.000146338964886371,0.127859805584092,1566
"national",3,"hindi_linear","shastry_degree","Linguistic distance from Hindi","Hindi acquisition","Multilingual speakers","All states",-9.69428153735181,2.5729941076883,0.000171019121484572,0.0936540235038626,1566
"national",4,"multilingual_linear","shastry_degree","Linguistic distance from Hindi","Multilingualism","Native speakers","All states",-3.58141770358867,0.915661300753538,9.5776625670111e-05,0.139419319442726,1587
"hindi_belt",5,"english_linear_hindi_belt","shastry_degree","Linguistic distance from Hindi","English acquisition","Multilingual speakers","Hindi-belt states",-0.0372237088599906,2.94186256085145,0.98990918761647,6.59549299474435e-06,560
"hindi_belt",6,"english_distant_hindi_belt","distance_distant","Distant-language indicator","English acquisition","Multilingual speakers","Hindi-belt states",10.1647383647672,10.8071774086152,0.347350705324225,0.0455305826843526,560
"hindi_belt",7,"hindi_linear_hindi_belt","shastry_degree","Linguistic distance from Hindi","Hindi acquisition","Multilingual speakers","Hindi-belt states",-9.02389306045869,5.32143210872757,0.0905027448813848,0.121287426160881,560
