"Term","term","contrast","estimate","std.error","statistic","p.value","s.value","conf.low","conf.high","method"
"Age (years)","AGE","dY/dX",-0.0280265916047223,0.00114584376765881,-24.4593481203693,4.00245778998743e-132,436.493622337005,-0.0302724453893335,-0.025780737820111,"delta_method_analytic_probit"
"Female (ref: Male)","SEX","Female - Male",0.0436812130233096,0.00919987346261737,4.74802324192861,2.05414435574992e-06,18.8930309981809,0.0256494610365795,0.0617129650100396,"delta_method_analytic_probit"
"Household size","HH_SIZE","dY/dX",-0.00363915284470199,0.0019434010600468,-1.87256913640582,0.061127906588179,4.03202502896293,-0.00744821892239372,0.000169913232989744,"delta_method_analytic_probit"
"Religion: Muslim (ref: Hindu)","RELIGION","Muslim - Hindu",-0.124826010507191,0.0134984322950211,-9.2474450202068,2.29922778010866e-20,65.2374124995664,-0.151282937805433,-0.0983690832089501,"delta_method_analytic_probit"
"Religion: Christian","RELIGION","Christian - Hindu",-0.0421718154477865,0.0365327340678557,-1.15435694928983,0.248353857354989,2.00953094044683,-0.113775974220784,0.0294323433252107,"delta_method_analytic_probit"
"Religion: Sikh","RELIGION","Sikh - Hindu",0.0400523588289157,0.0871930422497542,0.459352693695334,0.645980913544661,0.630436555883419,-0.130846003980603,0.210950721638434,"delta_method_analytic_probit"
"Religion: Jain","RELIGION","Jain - Hindu",-0.00057543763028903,0.037450843849516,-0.0153651445772821,0.98774087074072,0.0177954878256016,-0.0739790915753404,0.0728282163147624,"delta_method_analytic_probit"
"Religion: Buddhist","RELIGION","Buddhist - Hindu",0.0466459874182587,0.0659630558478038,0.707153221128577,0.479471265200264,1.06048373802826,-0.0826416020434368,0.175933576879954,"delta_method_analytic_probit"
"Religion: Zoroastrian","RELIGION","Zoroastrian - Hindu",0.10032495686696,0.157327823286979,0.637680956685958,0.523681384357303,0.93323877360734,-0.208037576775518,0.408687490509438,"delta_method_analytic_probit"
"Religion: Other","RELIGION","Other - Hindu",0.250146094117777,13.7838999231121,0.0181477009781785,0.98552102432849,0.0210414459718103,-26.766297755182,27.2665899434175,"delta_method_analytic_probit"
"Social group: Scheduled Tribe (ref: Other)","SOCIAL_GROUP","Scheduled Tribe - Other",-0.100606512163391,0.0193804850098262,-5.19112458291842,2.09027698184942e-07,22.1898025382384,-0.13859226278265,-0.0626207615441313,"delta_method_analytic_probit"
"Social group: Scheduled Caste","SOCIAL_GROUP","Scheduled Caste - Other",-0.0738900081065918,0.0147669436210903,-5.00374417364614,5.62273660472079e-07,20.7622241983329,-0.102833217603929,-0.0449467986092547,"delta_method_analytic_probit"
"Social group: Other Backward Class","SOCIAL_GROUP","Other Backward Class - Other",-0.028531809738461,0.0123544535618533,-2.30943518429325,0.0209194444982816,5.57901164747356,-0.0527465387196934,-0.00431708075722857,"delta_method_analytic_probit"
"Urban (ref: Rural)","SECTOR","Urban - Rural",-0.00338359372054449,0.0122921814848018,-0.275263892314638,0.783113503050935,0.352706670613318,-0.0274762694307561,0.0207090819896671,"delta_method_analytic_probit"
"Distance 1–2km (ref: <1km)","DIST_FROM_NEAREST_PRIMARY_CLASS","1km <= d <2kms - d<1km",-0.0759777489921283,0.0435919016638964,-1.7429326570319,0.0813453787866036,3.61979580074259,-0.161417876253365,0.00946237826910869,"delta_method_analytic_probit"
"Distance 2–3km","DIST_FROM_NEAREST_PRIMARY_CLASS","2kms<= d <3kms - d<1km",-0.000983446081622056,0.0195549858903135,-0.0502913214634025,0.959890239489016,0.0590586473848296,-0.0393112184266365,0.0373443262633924,"delta_method_analytic_probit"
"Distance 3–5km","DIST_FROM_NEAREST_PRIMARY_CLASS","3kms <= d <5kms - d<1km",0.0042026818676788,0.183695751248895,0.0228784925024448,0.981747196401973,0.0265765219271847,-0.355840990580155,0.364246354315513,"delta_method_analytic_probit"
"Distance > 5km","DIST_FROM_NEAREST_PRIMARY_CLASS","d>=5kms - d<1km",0.0360891090185102,0.103823722457396,0.347599837150121,0.728140728598213,0.457710786180812,-0.167405386997986,0.239583605035006,"delta_method_analytic_probit"
"Male household educ.: Literate, no school (ref: Illiterate)","father_educ","Literate, no school - Illiterate",0.0975122292844569,0.0430075825525718,2.2673264456392,0.0233702911051846,5.41918048503394,0.0132173674814162,0.181807091087498,"delta_method_analytic_probit"
"Male household educ.: Literate, school < primary","father_educ","Literate, school < primary - Illiterate",0.128837441428695,0.0182472713385745,7.06064150842841,1.65735668331997e-12,39.1342530171509,0.0930727896050893,0.164602093252301,"delta_method_analytic_probit"
"Male household educ.: Primary","father_educ","Primary - Illiterate",0.143673092598007,0.0153815311221787,9.34062359961319,9.57683846886045e-21,66.5009405243641,0.113525291598537,0.173820893597478,"delta_method_analytic_probit"
"Male household educ.: Upper primary","father_educ","Upper primary - Illiterate",0.197481669195394,0.0189954204095548,10.3962778889621,2.57807708500193e-25,81.6819069709797,0.160250645192667,0.234712693198121,"delta_method_analytic_probit"
"Male household educ.: Secondary","father_educ","Secondary - Illiterate",0.214555129421552,0.026592333390871,8.0683077437352,7.12791987015663e-16,50.3173683995727,0.162434155975445,0.26667610286766,"delta_method_analytic_probit"
"Male household educ.: Higher secondary","father_educ","Higher secondary - Illiterate",0.2511803962101,0.0426505489788723,5.88926525505047,3.87916389169124e-09,27.9416071240733,0.167585320211511,0.33477547220869,"delta_method_analytic_probit"
"Male household educ.: Postsecondary+","father_educ","Postsecondary+ - Illiterate",0.249132838255909,0.044277355965821,5.62664217005691,1.8375134877773e-08,25.6976699193932,0.1623492205629,0.335916455948919,"delta_method_analytic_probit"
