"district_order","district_code","state","district","emi_exposure_all_children_0708","ling_distance_nonzero_mean","region","state_prefix"
63,"06118","Haryana","Gurgaon",12.1946672035488,1.15202932969818,"Northern","06"
64,"06119","Haryana","Faridabad",15.4336545436832,1.90538506652723,"Northern","06"
65,"06209","Haryana","Jind",9.22424062979387,1.08795183534408,"Northern","06"
66,"06210","Haryana","Fatehabad",6.03003546811752,1.02410053174365,"Northern","06"
67,"06211","Haryana","Sirsa",11.5423898995153,1.00828851494331,"Northern","06"
68,"06212","Haryana","Hisar",12.1598693011442,1.28249084617383,"Northern","06"
69,"06213","Haryana","Bhilwani",7.52483699799809,1.18236295762656,"Northern","06"
70,"06216","Haryana","Mahendragarh",4.94608787252949,1.04200366414943,"Northern","06"
71,"06217","Haryana","Rewari",10.4096814981334,1.37044653349001,"Northern","06"
72,"07101","Delhi","North West",30.8963332527416,1.98895273314531,"Northern","07"
73,"07102","Delhi","North",0,2.00406475868096,"Northern","07"
74,"07103","Delhi","North East",22.5213913942843,2.36923658947966,"Northern","07"
75,"07104","Delhi","East",51.6278913734177,2.32277108060368,"Northern","07"
76,"07107","Delhi","West",29.9163561486323,1.50310169609256,"Northern","07"
77,"07108","Delhi","South West",21.1721361881123,2.69696184071944,"Northern","07"
78,"07109","Delhi","South",30.3606938598141,2.47742671805751,"Northern","07"
79,"08115","Rajasthan","Jodhpur",7.79121767606524,1.03974175617117,"Northern","08"
80,"08116","Rajasthan","Jaisalmer",0,1.17380902362067,"Northern","08"
81,"08117","Rajasthan","Barmer",0.703584878019532,1.11013416201651,"Northern","08"
82,"08118","Rajasthan","Jalor",0.362937232143148,1.01379496832962,"Northern","08"
83,"08119","Rajasthan","Sirohi",2.72779405847419,1.02205013713031,"Northern","08"
84,"08120","Rajasthan","Pali",16.9688886759927,1.01154374195495,"Northern","08"
85,"08207","Rajasthan","Bharatpur",3.57032170055201,1.0424846670775,"Northern","08"
