"path","name","format"
"outputs/diagnostics/figures/fig_ilo_trends.png","fig_ilo_trends","png"
"outputs/diagnostics/figures/district_carveouts_shifts.png","district_carveouts_shifts","png"
"outputs/diagnostics/figures/poster_emie_expected_values.png","poster_emie_expected_values","png"
"outputs/diagnostics/figures/map_emi_exposure.png","map_emi_exposure","png"
"outputs/diagnostics/figures/map_consumption_growth.png","map_consumption_growth","png"
"outputs/diagnostics/figures/map_pucca.png","map_pucca","png"
"outputs/diagnostics/figures/map_education.png","map_education","png"
"outputs/diagnostics/figures/map_region.png","map_region","png"
"outputs/diagnostics/figures/map_linguistic_distance.png","map_linguistic_distance","png"
"outputs/diagnostics/figures/collage_main_maps.png","collage_main_maps","png"
"outputs/diagnostics/figures/collage_iv_region_maps.png","collage_iv_region_maps","png"
