"model","term","estimate","std.error","statistic","p.value","partial_f","partial_p","model_f","model_p","nobs","r.squared","adj.r.squared","sigma","status","reason"
"consumption","(Intercept)",30.458288458904,8.51212068119661,3.57822563843424,0.000377849845090887,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","ling_distance_nonzero_mean",0.514120439594863,0.591626385809462,0.868995115712164,0.385245384600704,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","log_population_2001",0.662770257682645,0.69419791061448,0.954728107861897,0.340152929604348,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","urban_share_2001",0.1163603444408,0.0510368124691593,2.27992969802169,0.0230105326819127,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","adult_secondary_plus_share_2001",0.5700477691411,0.167623092238224,3.40077110814156,0.000722933883975583,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","sc_share_2001",0.0301070005377578,0.0686622257181411,0.438479822389494,0.661218182611146,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","st_share_2001",0.0468967472445955,0.0296471795542501,1.5818282868622,0.114288710690676,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","muslim_share_2001",0.0604659304161618,0.0444877844195827,1.35915805214939,0.174677847734089,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","agricultural_worker_share_2001",-0.0454672629017075,0.0529067628343555,-0.859384707472271,0.390519042280019,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","dependency_ratio_2001",-0.0575854728567318,0.0664544613940306,-0.866540359349065,0.386588250555946,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
"consumption","electricity_access_share_2001",-0.0503186607968111,0.0425592464642655,-1.1823202941119,0.237611804655797,0.755152511131597,0.385245384600704,98.9258504479946,1.05945739970348e-226,573,0.894148294149829,0.88510972344156,6.89890845127449,"estimated",
