"specification_id","adjustment_id","construction_id","fixed_effect","tested_variable","n_excluded_instruments","excluded_instruments","estimate","std.error","p.value","standardized_effect","joint_f","joint_p","n","status","reason"
"unadjusted__distant_share","unadjusted","distant_share","none","log_population_density_2001",1,"ling_share_distance_ge3",-0.00117576584609277,0.00301110272171141,0.696329615790996,-0.0432851349380586,0.152472154900296,0.696329615790996,573,"estimated",
"unadjusted__distant_share","unadjusted","distant_share","none","literacy_share_2001",1,"ling_share_distance_ge3",0.0160481203809715,0.0378316279599284,0.671580812061319,0.0533103766856217,0.179944379687259,0.671580812061319,573,"estimated",
"unadjusted__distant_share","unadjusted","distant_share","none","worker_share_2001",1,"ling_share_distance_ge3",0.00909950574909417,0.0233658009491705,0.69709815855301,0.0555001844634065,0.151661121129739,0.69709815855301,573,"estimated",
"unadjusted__distant_share","unadjusted","distant_share","none","cultivator_share_workers_2001",1,"ling_share_distance_ge3",-0.112208294226426,0.0455826070903649,0.0141245697773621,-0.264749101868757,6.05970662552694,0.0141245697773621,573,"estimated",
"unadjusted__distant_share","unadjusted","distant_share","none","agricultural_labourer_share_workers_2001",1,"ling_share_distance_ge3",0.048852161195766,0.0393990518361861,0.215509707116619,0.140963993643318,1.53743237512509,0.215509707116619,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","log_population_2001",1,"ling_distance_top3_legacy",-0.118625533950401,0.0784195333313231,0.130908145837808,-0.212267111555857,2.28827309076997,0.130908145837808,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","urban_share_2001",1,"ling_distance_top3_legacy",0.239666862268512,1.04949092780054,0.819444352927646,0.022928390733069,0.0521505151448833,0.819444352927646,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","adult_secondary_plus_share_2001",1,"ling_distance_top3_legacy",0.319048693278738,0.477027179091396,0.503876094883783,0.0764525533417642,0.447329657350988,0.503876094883783,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","sc_share_2001",1,"ling_distance_top3_legacy",-1.56438647579853,0.659023826087594,0.0179362044006206,-0.331026857855312,5.63489558847061,0.0179362044006206,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","st_share_2001",1,"ling_distance_top3_legacy",4.44698750170459,2.14987463178083,0.039043851043349,0.314509523043666,4.27863803473478,0.039043851043349,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","muslim_share_2001",1,"ling_distance_top3_legacy",0.264260586841031,0.913998783907988,0.772590087165053,0.0326172221591279,0.0835937011759623,0.772590087165053,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","agricultural_worker_share_2001",1,"ling_distance_top3_legacy",-1.62144694898806,1.10060886199399,0.141240797149973,-0.14530356481753,2.1703984817056,0.141240797149973,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","dependency_ratio_2001",1,"ling_distance_top3_legacy",-3.47413033127277,0.922296160512205,0.00018248823953793,-0.477888627678077,14.1889877052065,0.00018248823953793,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","electricity_access_share_2001",1,"ling_distance_top3_legacy",0.883764413047922,2.44413447954375,0.71779530858182,0.0576924434907324,0.130744317969183,0.71779530858182,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","log_population_density_2001",1,"ling_distance_top3_legacy",-0.139760177435182,0.0848833891095152,0.100211871482722,-0.219791445244976,2.7109497297573,0.100211871482722,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","literacy_share_2001",1,"ling_distance_top3_legacy",1.18805250116066,0.888102125084045,0.181512740572422,0.168590312995652,1.78955663544145,0.181512740572422,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","worker_share_2001",1,"ling_distance_top3_legacy",1.00887696204635,0.531486118714183,0.0581712424558367,0.262859836842948,3.60323475242069,0.0581712424558367,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","cultivator_share_workers_2001",1,"ling_distance_top3_legacy",-1.81905180184833,1.20385284949216,0.131335262615362,-0.183342862732167,2.28319667600129,0.131335262615362,573,"estimated",
"unadjusted__top3_legacy","unadjusted","top3_legacy","none","agricultural_labourer_share_workers_2001",1,"ling_distance_top3_legacy",0.197604852860272,0.978763632181775,0.840072818296366,0.0243574279149434,0.0407605057509671,0.840072818296366,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","log_population_2001",1,"ling_distance_nonzero_mean",-0.116834165301651,0.0973100194218901,0.230390134086643,-0.15144399408266,1.44153304329367,0.230390134086643,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","urban_share_2001",1,"ling_distance_nonzero_mean",0.210171403719556,1.23251559502546,0.864659901579026,0.0142407514863401,0.0290778574730233,0.864659901579025,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","adult_secondary_plus_share_2001",1,"ling_distance_nonzero_mean",-0.0947999201507142,0.660998638186532,0.886009777757443,-0.0161009050663433,0.0205690774565923,0.886009777757443,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","sc_share_2001",1,"ling_distance_nonzero_mean",-1.26815093486855,1.02568621606566,0.216821850827351,-0.1995654763601,1.52866687205103,0.216821850827351,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","st_share_2001",1,"ling_distance_nonzero_mean",4.24941968960067,2.49466556128946,0.08903784784751,0.220308772045368,2.90158026250919,0.08903784784751,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","muslim_share_2001",1,"ling_distance_nonzero_mean",0.687668161685642,0.709549511694209,0.332875600524586,0.0602095410525567,0.939274266065116,0.332875600524586,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","agricultural_worker_share_2001",1,"ling_distance_nonzero_mean",-0.180103110371269,1.39584657661035,0.897381110516136,-0.011432947216791,0.0166481911894911,0.897381110516136,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","dependency_ratio_2001",1,"ling_distance_nonzero_mean",-1.70697221410419,1.22915227878042,0.165454392470803,-0.187157522346283,1.92859715718132,0.165454392470803,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","electricity_access_share_2001",1,"ling_distance_nonzero_mean",-3.40767054170214,2.49804879176469,0.173064119354745,-0.159760145584929,1.8608585678256,0.173064119354744,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","log_population_density_2001",1,"ling_distance_nonzero_mean",-0.0814681413745862,0.0882545173975137,0.356343334254287,-0.0946732496651044,0.852121901595222,0.356343334254287,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","literacy_share_2001",1,"ling_distance_nonzero_mean",0.0450021819876747,1.01141332724376,0.964525935608637,0.00461047460926296,0.00197974748200478,0.964525935608637,573,"estimated",
"unadjusted__nonzero_mean_hindi_urdu","unadjusted","nonzero_mean_hindi_urdu","none","worker_share_2001",1,"ling_distance_nonzero_mean",0.376556193250893,0.434091071599327,0.386055621357976,0.0752199250451921,0.752485062216055,0.386055621357976,573,"estimated",
