"vanneman_state_id","vanneman_district_id","district_label_1961","district_label_1971","district_label_1981","district_label_1991","population_1991","population_1991_available","population_1991_status","n_distinct_labels","label_changed_1981_1991","explicit_aggregate_label_1991","panel_to_1991_state_status","dist91_state_id"
"01","00","Andaman & Nicobar Islands","Andaman & Nicobar Islands","Andaman & Nicobar Islands","Andaman & Nicobar Island",280661,TRUE,"observed",2,TRUE,FALSE,"mapped_one_to_one","27"
"02","01","Srikakulam","Srikakulam","Srikakulam","Srikakulam",2321126,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","02","Visakhapatnam(pt)+Srikak.(pt)","Visakhapatnam(pt)+Srikak.(pt)","Vizianagaram","Vizianagaram",2110943,TRUE,"observed",2,FALSE,FALSE,"mapped_one_to_one","02"
"02","03","Visakhapatnam","Visakhapatnam","Vishakhapatnam","Vishakhapatnam",3285092,TRUE,"observed",2,FALSE,FALSE,"mapped_one_to_one","02"
"02","04","East Godavari","East Godavari","East Godavari","East Godavari",4541222,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","05","West Godavari","West Godavari","West Godavari","West Godavari",3517568,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","06","Krishna","Krishna","Krishna","Krishna",3698833,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","07","Guntur","Guntur","Guntur","Guntur",4106999,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","08","Chitr(pt)+Nellr(pt)+Kurnool(pt","Ongole","Prakasam (Ongole)","Prakasam (Ongole)",2759166,TRUE,"observed",3,FALSE,FALSE,"mapped_one_to_one","02"
"02","09","Nellore","Nellore","Nellore","Nellore",2392260,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","10","Chittoor","Chittoor","Chittoor","Chittoor",3261118,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","11","Cuddapah","Cuddapah","Cuddapah","Cuddapah",2267769,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","12","Anantapur","Anantapur","Anantapur","Anantapur",3183814,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","13","Kurnool","Kurnool","Kurnool","Kurnool",2973024,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","14","Mahbubnagar","Mahbubnagar","Mahbubnagar","Mahbubnagar",3077050,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","16","Hyderabad","Hyderabad","Hyderabad+Rangareddi","Hyderabad+Rangareddi",5697905,TRUE,"observed",2,FALSE,TRUE,"mapped_one_to_one","02"
"02","17","Medak","Medak","Medak","Medak",2269800,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","18","Nizamabad","Nizamabad","Nizamabad","Nizamabad",2037621,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","19","Adilabad","Adilabad","Adilabad","Adilabad",2082479,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","20","Karimnagar","Karimnagar","Karimnagar","Karimnagar",3037486,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","21","Warangal","Warangal","Warangal","Warangal",2818832,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","22","Khammam","Khammam","Khammam","Khammam",2215809,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"02","23","Nalgonda","Nalgonda","Nalgonda","Nalgonda",2852092,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02"
"03","00","NEFA","Arunachal Pradesh","Arunachal Pradesh (NEFA)","Arunachal Pradesh (NEFA)",864558,TRUE,"observed",3,FALSE,FALSE,"mapped_one_to_one","03"
"04","01","Goalpara","Goalpara","Goalpara","Goalpara",3608795,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","04"
"04","02","Kamrup","Kamrup","Kamrup","Kamrup",4402120,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","04"
