"district_1991","pop_1991","district_2001","pct_01in91","pct_91in01",".source_row","source_name_key","target_name_key","state_code_1991","district_code_1991","state_code_2001","district_code_2001","source_name_exact_unique","target_name_exact_unique","source_share_to_2001","target_share_from_1991","source_identity_key","source_unit_id","target_unit_id","source_code_identity_count","transition_status"
"Marigaon",639682,"Marigaon",100,100,33,"marigaon","marigaon",NA,NA,"18","09",FALSE,TRUE,1,1,"marigaon__639682",NA,"census2001__18__09",NA,"source_name_not_unique_exact"
"Nagaon",1893171,"Nagaon",100,100,34,"nagaon","nagaon",NA,NA,"18","10",FALSE,TRUE,1,1,"nagaon__1893171",NA,"census2001__18__10",NA,"source_name_not_unique_exact"
"Nalbari",1016390,"Nalbari",100,100,35,"nalbari","nalbari","04","06","18","07",TRUE,TRUE,1,1,"nalbari__1016390","census1991__04__06","census2001__18__07",1,"matched_exact_names"
"Sibsagar",907983,"Sibsagar",100,100,36,"sibsagar","sibsagar","04","16","18","16",TRUE,TRUE,1,1,"sibsagar__907983","census1991__04__16","census2001__18__16",1,"matched_exact_names"
"Sonitpur",1424287,"Sonitpur",100,100,37,"sonitpur","sonitpur","04","09","18","11",TRUE,TRUE,1,1,"sonitpur__1424287","census1991__04__09","census2001__18__11",1,"matched_exact_names"
"Begusarai",1814773,"Begusarai",100,100,38,"begusarai","begusarai","05","17","10","20",TRUE,TRUE,1,1,"begusarai__1814773","census1991__05__17","census2001__10__20",1,"matched_exact_names"
"Bhojpur",2880447,"Bhojpur",62.24,100,39,"bhojpur","bhojpur","05","03","10","29",TRUE,TRUE,0.6224,1,"bhojpur__2880447","census1991__05__03","census2001__10__29",1,"matched_exact_names"
"Bhojpur",2880447,"Buxar",37.76,100,40,"bhojpur","buxar","05","03","10","30",TRUE,TRUE,0.3776,1,"bhojpur__2880447","census1991__05__03","census2001__10__30",1,"matched_exact_names"
"Dhanbad",2674651,"Bokaro",27.11,49.86,41,"dhanbad","bokaro","05","32","20","13",TRUE,TRUE,0.2711,0.4986,"dhanbad__2674651","census1991__05__32","census2001__20__13",1,"matched_exact_names"
"Dhanbad",2674651,"Dhanbad",72.89,100,42,"dhanbad","dhanbad","05","32","20","12",TRUE,TRUE,0.7289,1,"dhanbad__2674651","census1991__05__32","census2001__20__12",1,"matched_exact_names"
