"predictor","sample_id","period_id","domain","tested_measures","joint_f","joint_p","n","n_states","population_1961","status","reason","predictor_id"
"emie_exposure","full_pretrend","1961_1971","demography","log_population;urban_share",1.60461788088006,0.204588599931241,161,17,181849982,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",5.74820173076904,0.00397649061264036,161,17,181849982,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1971","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",5.94944278299587,0.00075352922204335,161,17,181849982,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1971_1981","demography","log_population;urban_share",4.73557458542381,0.0102534380227705,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",0.46746313297974,0.627578348507178,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1971_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",23.2257744734563,3.23880479220602e-12,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1981_1991","demography","log_population;urban_share",7.44146459321696,0.000852876802543706,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1981_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",1.15188523763649,0.319059988606641,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1981_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",43.1874532038255,1.49061954851236e-19,150,14,168932497,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1981","demography","log_population;urban_share",12.5031738369269,1.02222220037645e-05,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",2.08586272612468,0.128098428080433,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",18.5719209132347,3.62422312710717e-10,156,16,174400113,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1991","demography","log_population;urban_share",16.0135534869888,5.3539278345675e-07,161,17,181849982,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",1.56975441628915,0.211685625692017,161,17,181849982,"estimated",NA,"eventual_emie"
"emie_exposure","full_pretrend","1961_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",41.510283330265,3.80171505476759e-19,155,15,176382366,"estimated",NA,"eventual_emie"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1971","demography","log_population;urban_share",1.57784137394037,0.210017463826644,161,17,181849982,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",0.51836574365272,0.596615379417433,161,17,181849982,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1971","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.54615633762786,0.205273267243197,161,17,181849982,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1971_1981","demography","log_population;urban_share",0.507476671149584,0.603131763367412,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",1.35144329847136,0.262270507665552,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1971_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.09798350091468,0.352290963137403,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1981_1991","demography","log_population;urban_share",4.07281050787544,0.0191177278500587,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1981_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",0.187630573700656,0.829131986466157,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1981_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.66140771111905,0.178402449403522,150,14,168932497,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1981","demography","log_population;urban_share",0.72646142645034,0.485457365569448,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",1.45602229843408,0.236721076311034,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",2.45245934511284,0.0660063783201467,156,16,174400113,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1991","demography","log_population;urban_share",1.4684072097398,0.233767386500951,161,17,181849982,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",1.22123639064807,0.297943219423932,161,17,181849982,"estimated",NA,"census_2001_ld"
"ling_distance_nonzero_mean_2001","full_pretrend","1961_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.830581210036646,0.479220745780868,155,15,176382366,"estimated",NA,"census_2001_ld"
"ling_distance_helms_lim_1991","full_pretrend","1961_1971","demography","log_population;urban_share",0.969547171383847,0.38166647615619,166,17,185992827,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",1.00713922271553,0.367768573308069,166,17,185992827,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1971","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.335901705605235,0.799395847805324,166,17,185992827,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1971_1981","demography","log_population;urban_share",0.691295018701643,0.502593028661285,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",1.29289523817676,0.27766361613655,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1971_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.18908889578883,0.90368937196241,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1981_1991","demography","log_population;urban_share",4.40668094562109,0.0138951051462595,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1981_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",0.519664641589041,0.595838708771063,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1981_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.74440495208358,0.160798043373178,155,14,173075342,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1981","demography","log_population;urban_share",0.285378733523387,0.752156603947661,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",3.19896756622299,0.0437409422811661,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.189263279256137,0.903571006916467,161,16,178542958,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1991","demography","log_population;urban_share",1.38247145937726,0.254200823926267,166,17,185992827,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",1.89021183193107,0.154692621134149,166,17,185992827,"estimated",NA,"helms_lim_ld_1991"
"ling_distance_helms_lim_1991","full_pretrend","1961_1991","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.405763618799768,0.749084357142647,160,15,180525211,"estimated",NA,"helms_lim_ld_1991"
"emie_exposure","historical_ld_support","1961_1971","demography","log_population;urban_share",0.181598562469831,0.834544145544973,59,12,68802676,"estimated",NA,"eventual_emie"
"emie_exposure","historical_ld_support","1961_1971","labor","main_worker_share;nonfarm_worker_share_main_workers",0.558165898845908,0.576168575937786,59,12,68802676,"estimated",NA,"eventual_emie"
"emie_exposure","historical_ld_support","1961_1971","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",4.60838294445614,0.00687211243996577,59,12,68802676,"estimated",NA,"eventual_emie"
"emie_exposure","historical_ld_support","1971_1981","demography","log_population;urban_share",0.128668194173821,0.879587975624799,59,12,68802676,"estimated",NA,"eventual_emie"
"emie_exposure","historical_ld_support","1971_1981","labor","main_worker_share;nonfarm_worker_share_main_workers",0.297392664328699,0.744200771698633,59,12,68802676,"estimated",NA,"eventual_emie"
"emie_exposure","historical_ld_support","1971_1981","education","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",4.87361037938372,0.00517987901730808,59,12,68802676,"estimated",NA,"eventual_emie"
"emie_exposure","historical_ld_support","1981_1991","demography","log_population;urban_share",7.40130751797473,0.00166370997043719,59,12,68802676,"estimated",NA,"eventual_emie"
"emie_exposure","historical_ld_support","1981_1991","labor","main_worker_share;nonfarm_worker_share_main_workers",2.46015830870003,0.0968370628544914,59,12,68802676,"estimated",NA,"eventual_emie"
