"mother_tongue","canonical_language","state_code_2001","speakers","n_districts","national_language_speakers","speaker_share_of_distance4"
"Others","Sindhi","29",62,7,60528,0.000786013622883848
"Kashmiri","Kashmiri","17",55,7,5320696,0.000697270149332446
"Sindhi","Sindhi","34",54,2,1585750,0.000684592510253675
"Sindhi","Sindhi","02",52,8,1585750,0.000659237232096131
"Sindhi","Sindhi","26",49,2,1585750,0.000621204314859816
"Others","Sindhi","12",48,7,60528,0.000608526675781044
"Others","Sindhi","13",44,7,60528,0.000557816119465957
"Kashmiri","Kashmiri","11",36,4,5320696,0.000456395006835783
"Others","Kashmiri","17",29,3,60528,0.000367651533284381
"Others","Kashmiri","02",28,10,60528,0.000354973894205609
"Sindhi","Sindhi","13",28,6,1585750,0.000354973894205609
"Kachchhi","Sindhi","07",27,5,800325,0.000342296255126837
"Sindhi","Sindhi","01",26,7,1585750,0.000329618616048065
"Others","Sindhi","02",23,10,60528,0.00029158569881175
"Sindhi","Sindhi","12",21,7,1585750,0.000266230420654207
"Others","Kashmiri","07",20,7,60528,0.000253552781575435
"Others","Kashmiri","04",16,2,60528,0.000202842225260348
"Others","Kashmiri","09",14,7,60528,0.000177486947102804
"Others","Sindhi","17",14,3,60528,0.000177486947102804
"Others","Kashmiri","29",14,7,60528,0.000177486947102804
"Kashmiri","Kashmiri","34",13,3,5320696,0.000164809308024033
"Others","Kashmiri","06",12,8,60528,0.000152131668945261
"Others","Sindhi","33",11,5,60528,0.000139454029866489
"Others","Sindhi","07",10,7,60528,0.000126776390787718
"Kashmiri","Kashmiri","25",9,2,5320696,0.000114098751708946
"Siraji","Kashmiri","27",9,2,87179,0.000114098751708946
"Kishtwari","Kashmiri","27",8,3,33426,0.000101421112630174
"Others","Sindhi","35",8,2,60528,0.000101421112630174
"Others","Sindhi","32",8,3,60528,0.000101421112630174
"Sindhi","Sindhi","35",8,2,1585750,0.000101421112630174
"Kachchhi","Sindhi","03",7,3,800325,8.87434735514022e-05
"Others","Kashmiri","05",7,7,60528,8.87434735514022e-05
"Kashmiri","Kashmiri","35",6,2,5320696,7.60658344726305e-05
"Others","Sindhi","14",6,6,60528,7.60658344726305e-05
"Kachchhi","Sindhi","05",5,2,800325,6.33881953938588e-05
"Kachchhi","Sindhi","34",5,2,800325,6.33881953938588e-05
"Kashmiri","Kashmiri","26",5,2,5320696,6.33881953938588e-05
"Kashmiri","Kashmiri","15",5,5,5320696,6.33881953938588e-05
"Kishtwari","Kashmiri","03",5,2,33426,6.33881953938588e-05
"Others","Sindhi","03",5,2,60528,6.33881953938588e-05
"Others","Sindhi","34",5,2,60528,6.33881953938588e-05
"Others","Sindhi","09",5,7,60528,6.33881953938588e-05
"Kachchhi","Sindhi","18",4,3,800325,5.0710556315087e-05
"Others","Sindhi","16",4,3,60528,5.0710556315087e-05
"Others","Kashmiri","22",4,13,60528,5.0710556315087e-05
"Others","Kashmiri","23",4,18,60528,5.0710556315087e-05
"Kachchhi","Sindhi","13",3,3,800325,3.80329172363152e-05
"Kishtwari","Kashmiri","29",3,4,33426,3.80329172363152e-05
"Kishtwari","Kashmiri","02",3,3,33426,3.80329172363152e-05
"Kishtwari","Kashmiri","19",3,2,33426,3.80329172363152e-05
"Others","Kashmiri","19",3,8,60528,3.80329172363152e-05
"Others","Sindhi","25",3,2,60528,3.80329172363152e-05
"Others","Sindhi","11",3,3,60528,3.80329172363152e-05
"Siraji","Kashmiri","28",3,2,87179,3.80329172363152e-05
"Kishtwari","Kashmiri","04",2,2,33426,2.53552781575435e-05
"Kishtwari","Kashmiri","07",2,2,33426,2.53552781575435e-05
"Others","Sindhi","04",2,2,60528,2.53552781575435e-05
"Sindhi","Sindhi","15",2,2,1585750,2.53552781575435e-05
"Kachchhi","Sindhi","06",1,2,800325,1.26776390787718e-05
"Kachchhi","Sindhi","01",1,2,800325,1.26776390787718e-05
"Kishtwari","Kashmiri","16",1,2,33426,1.26776390787718e-05
"Kishtwari","Kashmiri","06",1,2,33426,1.26776390787718e-05
"Kishtwari","Kashmiri","32",1,2,33426,1.26776390787718e-05
"Kishtwari","Kashmiri","18",1,2,33426,1.26776390787718e-05
"Others","Kashmiri","03",1,2,60528,1.26776390787718e-05
"Others","Kashmiri","28",1,13,60528,1.26776390787718e-05
"Others","Kashmiri","13",1,7,60528,1.26776390787718e-05
"Others","Kashmiri","33",1,5,60528,1.26776390787718e-05
"Others","Sindhi","30",1,2,60528,1.26776390787718e-05
"Others","Kashmiri","21",1,21,60528,1.26776390787718e-05
"Others","Sindhi","26",1,2,60528,1.26776390787718e-05
"Sindhi","Sindhi","11",1,2,1585750,1.26776390787718e-05
"Sindhi","Sindhi","31",1,2,1585750,1.26776390787718e-05
"Sindhi","Sindhi","16",1,2,1585750,1.26776390787718e-05
"Sindhi","Sindhi","14",1,2,1585750,1.26776390787718e-05
"Siraji","Kashmiri","03",1,2,87179,1.26776390787718e-05
"Siraji","Kashmiri","16",1,2,87179,1.26776390787718e-05
