"beta","statistic","p.value","accepted","acceptance_component","specification_id"
-0.110440329973016,11.4272850135836,0.000773171582803827,FALSE,NA,"unadjusted__nonzero_mean"
-0.109888128323151,11.4254486881128,0.000773920974002357,FALSE,NA,"unadjusted__nonzero_mean"
-0.109335926673286,11.4235905698122,0.000774680008190527,FALSE,NA,"unadjusted__nonzero_mean"
-0.108783725023421,11.4217102758085,0.000775448869307691,FALSE,NA,"unadjusted__nonzero_mean"
-0.108231523373556,11.4198074143451,0.000776227745935547,FALSE,NA,"unadjusted__nonzero_mean"
-0.107679321723691,11.4178815845261,0.000777016831443775,FALSE,NA,"unadjusted__nonzero_mean"
-0.107127120073826,11.4159323760521,0.000777816324141141,FALSE,NA,"unadjusted__nonzero_mean"
-0.106574918423961,11.4139593689456,0.000778626427432771,FALSE,NA,"unadjusted__nonzero_mean"
-0.106022716774096,11.4119621332686,0.000779447349982576,FALSE,NA,"unadjusted__nonzero_mean"
-0.105470515124231,11.4099402288289,0.000780279305882826,FALSE,NA,"unadjusted__nonzero_mean"
-0.104918313474366,11.4078932048772,0.000781122514829286,FALSE,NA,"unadjusted__nonzero_mean"
-0.104366111824501,11.4058205997919,0.000781977202304126,FALSE,NA,"unadjusted__nonzero_mean"
-0.103813910174635,11.4037219407543,0.000782843599765292,FALSE,NA,"unadjusted__nonzero_mean"
-0.10326170852477,11.4015967434124,0.000783721944843151,FALSE,NA,"unadjusted__nonzero_mean"
-0.102709506874905,11.3994445115303,0.000784612481545654,FALSE,NA,"unadjusted__nonzero_mean"
-0.10215730522504,11.3972647366275,0.000785515460470985,FALSE,NA,"unadjusted__nonzero_mean"
-0.101605103575175,11.3950568976039,0.000786431139028924,FALSE,NA,"unadjusted__nonzero_mean"
-0.10105290192531,11.3928204603512,0.000787359781671054,FALSE,NA,"unadjusted__nonzero_mean"
-0.100500700275445,11.3905548773498,0.000788301660130495,FALSE,NA,"unadjusted__nonzero_mean"
-0.0999484986255799,11.3882595872522,0.00078925705367076,FALSE,NA,"unadjusted__nonzero_mean"
-0.0993962969757148,11.3859340144482,0.000790226249345931,FALSE,NA,"unadjusted__nonzero_mean"
