"sample","predictor","domain","tested_covariates","n_tested_covariates","joint_f","joint_p","n","n_states","population_1991","status","reason","predictor_id"
"preferred_geography","ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,4.64088784235269,0.00124528493032417,283,28,478363810,"estimated",NA,"census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","rural_development","rural_primary_schools_per_100k_1991;rural_high_schools_per_100k_1991;rural_hospitals_per_100k_1991;rural_phc_per_100k_1991",4,2.17170184269227,0.0728471737369936,270,27,458384429,"estimated",NA,"census_2001_ld"
"preferred_geography","ling_distance_nonzero_mean_2001","urban_development","urban_literacy_share_7plus_1991;urban_primary_schools_per_100k_7plus_1991;urban_hospitals_per_100k_7plus_1991;urban_banks_per_100k_7plus_1991",4,2.02110057140273,0.0921143561169637,275,28,477810289,"estimated",NA,"census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.15660111495445,0.0186627362958589,64,24,72333659,"estimated",NA,"census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.03518485769553,0.852181347532691,64,24,72333659,"estimated",NA,"census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,0.900015604706631,0.474164359206749,64,24,72333659,"estimated",NA,"census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","rural_development","rural_primary_schools_per_100k_1991;rural_high_schools_per_100k_1991;rural_hospitals_per_100k_1991;rural_phc_per_100k_1991",4,0.129303862993384,0.970595440296097,54,19,58722136,"estimated",NA,"census_2001_ld"
"exact_one_to_one","ling_distance_nonzero_mean_2001","urban_development","urban_literacy_share_7plus_1991;urban_primary_schools_per_100k_7plus_1991;urban_hospitals_per_100k_7plus_1991;urban_banks_per_100k_7plus_1991",4,0.96838085579336,0.437901961730295,61,24,72116636,"estimated",NA,"census_2001_ld"
"preferred_geography","ling_distance_helms_lim_1991","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,1.32303682311703,0.254680680757987,290,28,488763640,"estimated",NA,"helms_lim_ld_1991"
"preferred_geography","ling_distance_helms_lim_1991","human_capital","literacy_share_7plus_1991",1,1.27951879472862,0.259026815915527,290,28,488763640,"estimated",NA,"helms_lim_ld_1991"
"preferred_geography","ling_distance_helms_lim_1991","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,2.56478903828125,0.0387890017784717,290,28,488763640,"estimated",NA,"helms_lim_ld_1991"
"preferred_geography","ling_distance_helms_lim_1991","rural_development","rural_primary_schools_per_100k_1991;rural_high_schools_per_100k_1991;rural_hospitals_per_100k_1991;rural_phc_per_100k_1991",4,1.56408833906819,0.184483212402349,277,27,468784259,"estimated",NA,"helms_lim_ld_1991"
"preferred_geography","ling_distance_helms_lim_1991","urban_development","urban_literacy_share_7plus_1991;urban_primary_schools_per_100k_7plus_1991;urban_hospitals_per_100k_7plus_1991;urban_banks_per_100k_7plus_1991",4,1.47073583373991,0.211580735009802,282,28,488210119,"estimated",NA,"helms_lim_ld_1991"
"exact_one_to_one","ling_distance_helms_lim_1991","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,0.738320091034759,0.599871926865333,64,24,72333659,"estimated",NA,"helms_lim_ld_1991"
"exact_one_to_one","ling_distance_helms_lim_1991","human_capital","literacy_share_7plus_1991",1,0.175621671440346,0.677462471551298,64,24,72333659,"estimated",NA,"helms_lim_ld_1991"
"exact_one_to_one","ling_distance_helms_lim_1991","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,2.15122317643885,0.0944289388734947,64,24,72333659,"estimated",NA,"helms_lim_ld_1991"
"exact_one_to_one","ling_distance_helms_lim_1991","rural_development","rural_primary_schools_per_100k_1991;rural_high_schools_per_100k_1991;rural_hospitals_per_100k_1991;rural_phc_per_100k_1991",4,1.48143918449194,0.231740850011828,54,19,58722136,"estimated",NA,"helms_lim_ld_1991"
"exact_one_to_one","ling_distance_helms_lim_1991","urban_development","urban_literacy_share_7plus_1991;urban_primary_schools_per_100k_7plus_1991;urban_hospitals_per_100k_7plus_1991;urban_banks_per_100k_7plus_1991",4,0.902021385539774,0.474016086254933,61,24,72116636,"estimated",NA,"helms_lim_ld_1991"
"preferred_geography","ling_distance_nonzero_mean_1991","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,1.03157331815162,0.406102010864082,91,17,187746748,"estimated",NA,"historical_ld_1991"
"preferred_geography","ling_distance_nonzero_mean_1991","human_capital","literacy_share_7plus_1991",1,0.617892716451519,0.434375622053404,91,17,187746748,"estimated",NA,"historical_ld_1991"
"preferred_geography","ling_distance_nonzero_mean_1991","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,1.15796928657248,0.336852517931964,91,17,187746748,"estimated",NA,"historical_ld_1991"
"preferred_geography","ling_distance_nonzero_mean_1991","rural_development","rural_primary_schools_per_100k_1991;rural_high_schools_per_100k_1991;rural_hospitals_per_100k_1991;rural_phc_per_100k_1991",4,1.5056634660158,0.211278764265288,83,16,175256093,"estimated",NA,"historical_ld_1991"
"preferred_geography","ling_distance_nonzero_mean_1991","urban_development","urban_literacy_share_7plus_1991;urban_primary_schools_per_100k_7plus_1991;urban_hospitals_per_100k_7plus_1991;urban_banks_per_100k_7plus_1991",4,0.525382581225796,0.717390630301049,91,17,187746748,"estimated",NA,"historical_ld_1991"
"exact_one_to_one","ling_distance_nonzero_mean_1991","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,60.1750457601814,1.33909666778266e-05,22,10,34941948,"estimated",NA,"historical_ld_1991"
"exact_one_to_one","ling_distance_nonzero_mean_1991","human_capital","literacy_share_7plus_1991",1,0.246021526311183,0.629651682880446,22,10,34941948,"estimated",NA,"historical_ld_1991"
"exact_one_to_one","ling_distance_nonzero_mean_1991","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,3.01104447342302,0.0863646630571968,22,10,34941948,"estimated",NA,"historical_ld_1991"
"exact_one_to_one","ling_distance_nonzero_mean_1991","rural_development","rural_primary_schools_per_100k_1991;rural_high_schools_per_100k_1991;rural_hospitals_per_100k_1991;rural_phc_per_100k_1991",4,NA,NA,17,7,28819151,"not_estimable","clustered_joint_inference_unavailable","historical_ld_1991"
"exact_one_to_one","ling_distance_nonzero_mean_1991","urban_development","urban_literacy_share_7plus_1991;urban_primary_schools_per_100k_7plus_1991;urban_hospitals_per_100k_7plus_1991;urban_banks_per_100k_7plus_1991",4,0.940142226920488,0.487976806987656,22,10,34941948,"estimated",NA,"historical_ld_1991"
