"geography_spec_id","source_coverage_threshold","predictor","domain","tested_covariates","n_tested_covariates","joint_f","joint_p","n","n_states","population_1991","status","reason","predictor_id"
"G2_population_interpolated",0.9,"emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,5.24812972619572,0.000104247122947121,537,32,781143441.600941,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","human_capital","literacy_share_7plus_1991",1,26.9414603961163,3.04628571360185e-07,537,32,781143441.600941,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,11.265435310883,9.25087674716989e-09,537,32,781143441.600941,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.9,"ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.30411865022585,0.00603245639195236,537,32,781143441.600941,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.9,"ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.00684636430111215,0.934088934934847,537,32,781143441.600941,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.9,"ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,6.7493729270459,2.69287998233644e-05,537,32,781143441.600941,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.95,"emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,5.28255757676003,9.69428177952985e-05,536,32,779934459.444497,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.95,"emie_exposure","human_capital","literacy_share_7plus_1991",1,26.960570577948,3.02000068331949e-07,536,32,779934459.444497,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.95,"emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,11.4316137009602,6.92045483624064e-09,536,32,779934459.444497,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.95,"ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,3.26163927088555,0.00657684201822786,536,32,779934459.444497,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.95,"ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.0141926927496682,0.905217480160502,536,32,779934459.444497,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.95,"ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,6.79856135740012,2.47011730047693e-05,536,32,779934459.444497,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.99,"emie_exposure","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,4.96046570998704,0.000193492571678542,519,32,761754414.948835,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.99,"emie_exposure","human_capital","literacy_share_7plus_1991",1,25.5559204839023,6.09753127888361e-07,519,32,761754414.948835,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.99,"emie_exposure","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,10.7070568510959,2.53963130792935e-08,519,32,761754414.948835,"estimated",NA,"eventual_emie"
"G2_population_interpolated",0.99,"ling_distance_nonzero_mean_2001","demography","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991",5,2.98741242421869,0.011457907412236,519,32,761754414.948835,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.99,"ling_distance_nonzero_mean_2001","human_capital","literacy_share_7plus_1991",1,0.0499544563747398,0.823236457596924,519,32,761754414.948835,"estimated",NA,"census_2001_ld"
"G2_population_interpolated",0.99,"ling_distance_nonzero_mean_2001","economic_structure","main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",4,6.73190437224848,2.80745752329258e-05,519,32,761754414.948835,"estimated",NA,"census_2001_ld"
