"specification_id","term","estimate","std.error","statistic","p.value"
"unadjusted__nonzero_mean","ling_distance_nonzero_mean",5.62175335368272,1.64135558301184,3.42506731135429,0.000658788597301679
"unadjusted__distant_share","ling_share_distance_ge3",0.104540583118475,0.0517333880535934,2.02075655687148,0.0437712048283569
"unadjusted__top3_legacy","ling_distance_top3_legacy",4.83387926718825,1.19744896524935,4.03681443424327,6.15732634627497e-05
"unadjusted__nonzero_mean_hindi_urdu","ling_distance_nonzero_mean",4.81582449541676,1.56278068381457,3.08157411036197,0.00215850101385981
"unadjusted__nonzero_mean_shastry","ling_distance_nonzero_mean",4.931058457416,1.58776188022152,3.10566623297949,0.00199303644836543
"unadjusted__nonzero_mean_sensitivity_low","ling_distance_nonzero_mean_sensitivity_low",4.95022535661434,1.58310251639934,3.12691395872032,0.00185674293391904
"unadjusted__nonzero_mean_sensitivity_high","ling_distance_nonzero_mean_sensitivity_high",4.03659547204138,1.3563086687487,2.97616284924688,0.00304284134260556
"unadjusted__nonzero_mean_hindi_urdu_separate","ling_distance_nonzero_mean",5.10233294863358,1.57667277514795,3.23613943809919,0.00128198351668701
"unadjusted__distance_shares_all","ling_share_distance_1",-0.0138388201045263,0.0700864658855116,-0.197453530145641,0.843543406286697
"unadjusted__distance_shares_all","ling_share_distance_2",-0.0432046755033527,0.0593960510389542,-0.727399797589531,0.467281315706312
"unadjusted__distance_shares_all","ling_share_distance_3",-0.0952174848740165,0.0456456397620701,-2.08601490460736,0.0374236605877108
"unadjusted__distance_shares_all","ling_share_distance_4",0.560498628968029,0.0548195962259039,10.2244209654207,1.23295826573342e-22
"unadjusted__distance_shares_all","ling_share_distance_5",0.201278355620808,0.0678797399991196,2.96521989659091,0.00315192128265784
"unadjusted__distance_shares_all_unmapped","ling_share_distance_1",0.0371899206697832,0.058019212163721,0.640993203507128,0.521787004501746
"unadjusted__distance_shares_all_unmapped","ling_share_distance_2",-0.00536554829950523,0.0276516621358352,-0.194040715279525,0.846213744639417
