"harmonized_component_id","source_vintage","target_vintage","n_source_units","n_target_units","component_class","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0077",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0078",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0079",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0080",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0081",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0082",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0083",1991,2001,2,3,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0084",1991,2001,1,3,"split",FALSE,FALSE,FALSE
"geo_component_0085",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0086",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0087",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0088",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0089",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0090",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0091",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0092",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0093",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0094",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0095",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0096",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0097",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0098",1991,2001,6,9,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0099",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0100",1991,2001,5,7,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0101",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0102",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0103",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0104",1991,2001,1,1,"one_to_one",TRUE,TRUE,TRUE
"geo_component_0105",1991,2001,1,2,"split",FALSE,FALSE,FALSE
"geo_component_0106",1991,2001,11,13,"many_to_many",FALSE,FALSE,FALSE
"geo_component_0107",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0108",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0109",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0110",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0111",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0112",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0113",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0114",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0115",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0116",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0117",1991,2001,1,1,"one_to_one",TRUE,FALSE,FALSE
"geo_component_0118",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0119",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0120",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0121",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0122",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0123",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0124",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
"geo_component_0125",1991,2001,1,1,"one_to_one",FALSE,FALSE,FALSE
