"specification_id","specification","sequence","treatment","instrument","fixed_effect","control_blocks","n_controls","estimate","std.error","statistic","p.value","excluded_instrument_f","partial_r_squared","residual_instrument_sd","residual_treatment_sd","residual_correlation","instrument_variance_remaining","n","n_states","n_regions","status","reason","sample","instrument_vintage","min_accepted_coverage","max_distance_bound_width"
"state_fe_1991_pca_controls","1991 state FE + PCA91 predetermined controls",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state_1991","predetermined_1991_pca",10,-0.539616401966002,0.725592010803764,-0.743691212046628,0.459918336918358,0.553076618875383,0.00261023626862958,0.493837020266749,5.21589542419833,-0.0510904714073924,0.101789715589311,89,17,6,"estimated",NA,"preferred_geography","historical_1991",0.99,0.5
"state_fe_1991_pca_controls","1991 state FE + PCA91 predetermined controls",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state_1991","predetermined_1991_pca",10,-1.64606673388444,1.58584462020624,-1.03797478826795,0.303378855415733,1.0773916610799,0.0100481792241876,0.317632639582684,5.21589542419833,-0.100240606663106,0.0383214289366798,89,17,6,"estimated",NA,"preferred_geography","census_2001",0.99,0.5
"state_fe_1991_all_controls","1991 state FE + all selected 1991 predetermined controls",2,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state_1991","predetermined_1991_all",18,-0.45901497289611,1.44923546669458,-0.316729050209509,0.752882173976015,0.100317291246618,0.00190065854328432,0.419905749200466,4.42106217032775,-0.0435965427905049,0.0797624464905815,81,16,6,"estimated",NA,"preferred_geography","historical_1991",0.99,0.5
"state_fe_1991_all_controls","1991 state FE + all selected 1991 predetermined controls",2,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state_1991","predetermined_1991_all",18,-2.95800387554693,2.19438193326013,-1.34798953213779,0.184262805827755,1.81707577875305,0.0295086815794575,0.256745468117908,4.42106217032775,-0.171780911568945,0.0261216918855388,81,16,6,"estimated",NA,"preferred_geography","census_2001",0.99,0.5
"state_fe_1991_pca_controls","1991 state FE + PCA91 predetermined controls",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state_1991","predetermined_1991_pca",10,-43.4401615565166,2.41409002857572,-17.9944248318468,0.0353423699564379,323.799325028984,0.962081682627736,0.0368948937930936,1.63399876228462,-0.980857626074109,0.000684589590961554,22,10,5,"estimated",NA,"exact_one_to_one","historical_1991",0.99,0.5
"state_fe_1991_pca_controls","1991 state FE + PCA91 predetermined controls",1,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state_1991","predetermined_1991_pca",10,-169.391043316487,18.2255018621087,-9.29417716988387,0.0682341287533297,86.3817292651906,0.874347226023063,0.00901993169009833,1.63399876228462,-0.935065359225259,2.68536345919405e-05,22,10,5,"estimated",NA,"exact_one_to_one","census_2001",0.99,0.5
"state_fe_1991_all_controls","1991 state FE + all selected 1991 predetermined controls",2,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_1991","state_1991","predetermined_1991_all",18,7.29082707512448,NA,NA,NA,NA,NA,0,0,NA,0,17,7,5,"not_estimable","no_residual_degrees_of_freedom","exact_one_to_one","historical_1991",0.99,0.5
"state_fe_1991_all_controls","1991 state FE + all selected 1991 predetermined controls",2,"emi_exposure_all_children_0708","ling_distance_nonzero_mean_2001","state_1991","predetermined_1991_all",18,6.64564483541531,NA,NA,NA,NA,NA,0,0,NA,0,17,7,5,"not_estimable","no_residual_degrees_of_freedom","exact_one_to_one","census_2001",0.99,0.5
