"sample","predictor","fixed_effect","variable","domain","source","label","estimate","std.error","p.value","standardized_effect","n","n_states","population_1991","status","predictor_id"
"preferred_geography","emie_exposure","state","rural_high_schools_per_100k_1991","rural_development","VD91","Rural high schools per 100,000 district residents",-0.077212680154246,0.041622971217502,0.064771067420254,-0.251233165798657,278,28,469521527,"estimated","eventual_emie"
"preferred_geography","emie_exposure","state","rural_hospitals_per_100k_1991","rural_development","VD91","Rural hospitals per 100,000 district residents",0.00382333253068352,0.00619179564829449,0.537482315892225,0.0383922203622285,276,27,469238959,"estimated","eventual_emie"
"preferred_geography","emie_exposure","state","rural_phc_per_100k_1991","rural_development","VD91","Rural primary health centres per 100,000 district residents",-0.0428352051280476,0.0112929570230167,0.000188000702679553,-0.420384583813057,270,27,458384429,"estimated","eventual_emie"
"preferred_geography","emie_exposure","state","urban_literacy_share_7plus_1991","urban_development","TD91","Urban literacy share, age 7+",0.253636737361606,0.0563971080546048,1.06102916383097e-05,0.346059865519494,275,28,477810289,"estimated","eventual_emie"
"preferred_geography","emie_exposure","state","urban_primary_schools_per_100k_7plus_1991","urban_development","TD91","Urban primary schools per 100,000 urban residents age 7+",-0.400055592320015,0.0789876066866066,8.02533179394348e-07,-0.325482429612938,275,28,477810289,"estimated","eventual_emie"
"preferred_geography","emie_exposure","state","urban_hospitals_per_100k_7plus_1991","urban_development","TD91","Urban hospitals per 100,000 urban residents age 7+",-0.0179019839328259,0.0264080140616284,0.498472416995729,-0.0690299318131231,275,28,477810289,"estimated","eventual_emie"
"preferred_geography","emie_exposure","state","urban_banks_per_100k_7plus_1991","urban_development","TD91","Urban banks per 100,000 urban residents age 7+",-0.195386629478795,0.0605021210704946,0.00140939830940708,-0.282377530955431,275,28,477810289,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","log_population_1991","demography","PCA91","Log population",0.00434511473001297,0.00465995148496715,0.354727338460743,0.128433807845275,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","female_share_1991","demography","PCA91","Female population share",0.0264426329221832,0.019235046861553,0.174169269945766,0.235643798493921,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.117666353157514,0.0315019178195,0.000410352083066433,-0.635795271229136,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0974502528905905,0.0368902308019369,0.0104294061159892,-0.33580904442136,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.079008734480826,0.0761857811830703,0.303738731931551,-0.116480939251334,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.74880452745781,0.183580426816885,0.000131361589490489,0.706998164589859,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",-0.0686874545723238,0.0377391701902757,0.0735780467923066,-0.278444506200457,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.0571510080654829,0.0256870513423937,0.029736378900952,-0.42573902731964,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.723423154736534,0.142160455702057,3.59356548366361e-06,-0.647419116875668,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.090087330408667,0.132731256491402,0.499841148229774,-0.134251699624462,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","rural_primary_schools_per_100k_1991","rural_development","VD91","Rural primary schools per 100,000 district residents",-0.492260137766692,0.279806621280476,0.0838952496098809,-0.276828322001113,59,21,63491376,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","rural_high_schools_per_100k_1991","rural_development","VD91","Rural high schools per 100,000 district residents",0.0172169552504682,0.0254375815618529,0.501250520718242,0.0900159784067625,59,21,63491376,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","rural_hospitals_per_100k_1991","rural_development","VD91","Rural hospitals per 100,000 district residents",-0.00482956051983487,0.0097544555828084,0.622492455676268,-0.0852608926326195,57,20,63208808,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","rural_phc_per_100k_1991","rural_development","VD91","Rural primary health centres per 100,000 district residents",0.0108004188074385,0.0183211464219806,0.558074882262596,0.123759993545425,54,19,58722136,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","urban_literacy_share_7plus_1991","urban_development","TD91","Urban literacy share, age 7+",0.41588901382034,0.121298523959682,0.00111216278811754,0.652131758071778,61,24,72116636,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","urban_primary_schools_per_100k_7plus_1991","urban_development","TD91","Urban primary schools per 100,000 urban residents age 7+",0.00676536051659262,0.14469993847206,0.962866863466132,0.00793159319317252,61,24,72116636,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","urban_hospitals_per_100k_7plus_1991","urban_development","TD91","Urban hospitals per 100,000 urban residents age 7+",-0.00978318944875704,0.0378907609216733,0.7971552797254,-0.0395502378137373,61,24,72116636,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","none","urban_banks_per_100k_7plus_1991","urban_development","TD91","Urban banks per 100,000 urban residents age 7+",-0.0175684204933375,0.112536772784662,0.876477117196694,-0.0311555215790506,61,24,72116636,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","log_population_1991","demography","PCA91","Log population",-0.0008454107933186,0.0012792059695822,0.512570013731573,-0.0249888286330884,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","female_share_1991","demography","PCA91","Female population share",-0.0247464659073868,0.00477385494007644,7.00262753149964e-06,-0.220528388488307,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.131335482541606,0.0226549598722983,9.9070827107513e-07,-0.709654684655427,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0239924233673522,0.0143659549404465,0.102909956962054,-0.0826767763587938,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.0632035929504901,0.050576377676807,0.218869164615486,-0.0931797467622863,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.28808684869313,0.0970727114422827,0.00510520552308375,0.272002726746327,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.0664645715576115,0.0502206121541982,0.19339144252984,0.269433405596617,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.0138103563928734,0.0135183209241627,0.31326444243716,-0.102878460007262,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.0744520822387136,0.113542784362602,0.515855244475462,-0.06663002285308,64,24,72333659,"estimated","eventual_emie"
"exact_one_to_one","emie_exposure","state","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.298512951999159,0.073883614806587,0.00024271214716328,-0.444855796969501,64,24,72333659,"estimated","eventual_emie"
