"vanneman_state_id","vanneman_district_id","district_label_1961","district_label_1971","district_label_1981","district_label_1991","population_1991","population_1991_available","population_1991_status","n_distinct_labels","label_changed_1981_1991","explicit_aggregate_label_1991","panel_to_1991_state_status","dist91_state_id","panel_unit_id","panel_label_key","documented_combined_panel_unit","dist91_district_id","dist91_district_label","mapping_class","mapping_basis","preferred_pretrend_eligible","review_source_id","review_evidence","project_1991_mapping_class","project_1991_population_coverage","project_1991_preferred_single_target","project_1991_n_target_2001_districts","n_transition_targets","state_code_2001","district_code_2001","pretrend_geography_status","preferred_vanneman_pretrend_eligible"
"01","00","Andaman & Nicobar Islands","Andaman & Nicobar Islands","Andaman & Nicobar Islands","Andaman & Nicobar Island",280661,TRUE,"observed",2,TRUE,FALSE,"mapped_one_to_one","27","0100","andaman and nicobar island",FALSE,NA,NA,"label_review_required","no_unique_exact_normalized_label",FALSE,NA,NA,NA,NA,NA,NA,0,NA,NA,"panel_to_1991_not_preferred",FALSE
"02","01","Srikakulam","Srikakulam","Srikakulam","Srikakulam",2321126,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02","0201","srikakulam",FALSE,"01","Srikakulam","deterministic_one_to_one","exact_normalized_label_within_state",TRUE,NA,NA,"high_population_coverage_single_target",0.999971174356708,TRUE,1,1,"28","11","preferred_single_target",TRUE
"02","02","Visakhapatnam(pt)+Srikak.(pt)","Visakhapatnam(pt)+Srikak.(pt)","Vizianagaram","Vizianagaram",2110943,TRUE,"observed",2,FALSE,FALSE,"mapped_one_to_one","02","0202","vizianagaram",FALSE,"02","Vizianagaram","deterministic_one_to_one","exact_normalized_label_within_state",TRUE,NA,NA,"high_population_coverage_single_target",0.999481828897245,TRUE,1,1,"28","12","preferred_single_target",TRUE
"02","03","Visakhapatnam","Visakhapatnam","Vishakhapatnam","Vishakhapatnam",3285092,TRUE,"observed",2,FALSE,FALSE,"mapped_one_to_one","02","0203","vishakhapatnam",FALSE,"03","Visakhapatanam","reviewed_one_to_one","reviewed_liu_direct_alias",TRUE,"maggieliuDataCodeClimate2023","verified_direct_alias","high_population_coverage_single_target",0.999451470622245,TRUE,1,1,"28","13","preferred_single_target",TRUE
"02","04","East Godavari","East Godavari","East Godavari","East Godavari",4541222,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02","0204","east godavari",FALSE,"04","East Godavari","deterministic_one_to_one","exact_normalized_label_within_state",TRUE,NA,NA,"high_population_coverage_single_target",0.999959988867621,TRUE,1,1,"28","14","preferred_single_target",TRUE
"02","05","West Godavari","West Godavari","West Godavari","West Godavari",3517568,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02","0205","west godavari",FALSE,"05","West Godavari","deterministic_one_to_one","exact_normalized_label_within_state",TRUE,NA,NA,"high_population_coverage_single_target",0.999969191330557,TRUE,1,1,"28","15","preferred_single_target",TRUE
"02","06","Krishna","Krishna","Krishna","Krishna",3698833,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02","0206","krishna",FALSE,"06","Krishna","deterministic_one_to_one","exact_normalized_label_within_state",TRUE,NA,NA,"high_population_coverage_single_target",0.999122581097709,TRUE,1,1,"28","16","preferred_single_target",TRUE
"02","07","Guntur","Guntur","Guntur","Guntur",4106999,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02","0207","guntur",FALSE,"07","Guntur","deterministic_one_to_one","exact_normalized_label_within_state",TRUE,NA,NA,"high_population_coverage_single_target",0.999862096718785,TRUE,1,1,"28","17","preferred_single_target",TRUE
"02","08","Chitr(pt)+Nellr(pt)+Kurnool(pt","Ongole","Prakasam (Ongole)","Prakasam (Ongole)",2759166,TRUE,"observed",3,FALSE,FALSE,"mapped_one_to_one","02","0208","prakasam ongole",FALSE,"08","Prakasam","reviewed_one_to_one","reviewed_liu_direct_alias",TRUE,"maggieliuDataCodeClimate2023","verified_direct_alias","high_population_coverage_single_target",0.999387534643818,TRUE,1,1,"28","18","preferred_single_target",TRUE
"02","09","Nellore","Nellore","Nellore","Nellore",2392260,TRUE,"observed",1,FALSE,FALSE,"mapped_one_to_one","02","0209","nellore",FALSE,"09","Nellore","deterministic_one_to_one","exact_normalized_label_within_state",TRUE,NA,NA,"high_population_coverage_single_target",0.999299630687433,TRUE,1,1,"28","19","preferred_single_target",TRUE
