"harmonized_region_id","component_class","n_source_1991_districts","n_vanneman_panel_units","n_target_2001_districts","harmonized_state_code_2001","vanneman_amalgamation_status","vanneman_amalgamation_eligible","nontrivial_boundary_change","analysis_ready"
"geo_component_0148","many_to_many",2,2,2,"32","deterministic_amalgamation",TRUE,TRUE,TRUE
"geo_component_0104","one_to_one",1,1,1,"24","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0143","one_to_one",1,1,1,"32","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0144","one_to_one",1,1,1,"32","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0145","one_to_one",1,1,1,"32","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0149","one_to_one",1,1,1,"32","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0356","one_to_one",1,1,1,"19","deterministic_amalgamation",TRUE,FALSE,FALSE
"geo_component_0015","one_to_one",1,0,1,"28","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0086","one_to_one",1,0,1,"20","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0141","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0142","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0150","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0151","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0152","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0153","one_to_one",1,0,1,"32","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0364","one_to_one",1,0,1,"04","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0365","one_to_one",1,0,1,"26","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0366","one_to_one",1,0,1,"25","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0367","one_to_one",1,0,1,"25","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0368","one_to_one",1,0,1,"31","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0369","one_to_one",1,0,1,"34","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0371","one_to_one",1,0,1,"34","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
"geo_component_0372","one_to_one",1,0,1,"34","incomplete_vanneman_1991_membership",FALSE,FALSE,FALSE
