"specification_id","adjustment_id","construction_id","estimate_2sls","std_error_clustered","p_value_clustered","reduced_form_joint_f","reduced_form_joint_p","anderson_rubin_f_beta0","anderson_rubin_p_beta0","ar_95_lower","ar_95_upper","ar_95_empty","ar_95_n_components","ar_95_disconnected","ar_95_contains_zero","ar_95_grid_accepted_min","ar_95_grid_accepted_max","ar_95_left_truncated","ar_95_right_truncated","ar_95_components","n","status","reason"
"state_expanded__nonzero_mean_hindi_urdu_separate","state_expanded","nonzero_mean_hindi_urdu_separate",0.0407266602598859,0.0443754284152755,0.359160501720759,5.49983114374355,0.0193918820665948,5.49983114374354,0.0193918820665949,NA,NA,FALSE,2,TRUE,FALSE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0369299] U [0.00496073, 0.110238 <=grid]",573,"estimated",NA
"state_expanded__distance_shares_all","state_expanded","distance_shares_all",-0.00276149626284321,0.00601543468837099,0.646375381259638,1.57522782966677,0.165300948180397,1.57522782966677,0.165300948180396,-0.0804740119268793,0.00385834303759011,FALSE,1,FALSE,TRUE,-0.0804740119268793,0.00385834303759011,FALSE,FALSE,"[-0.080474, 0.00385834]",573,"estimated",NA
"state_expanded__distance_shares_all_unmapped","state_expanded","distance_shares_all_unmapped",-0.0039699500893852,0.00630627916411625,0.529281897819986,1.25739086086956,0.281083717967597,1.25739086086955,0.281083717967597,-0.0231500582255406,0.00496072676261584,FALSE,1,FALSE,TRUE,-0.0231500582255406,0.00496072676261584,FALSE,FALSE,"[-0.0231501, 0.00496073]",573,"estimated",NA
"state_expanded__distance_shares_mapped","state_expanded","distance_shares_mapped",0.00366072638405957,0.00989911587128067,0.711678414223674,1.73583063367724,0.124660927882283,1.73583063367723,0.124660927882284,NA,NA,FALSE,2,TRUE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, -0.0446465] U [-0.0104726, 0.110238 <=grid]",573,"estimated",NA
"state_expanded__glottolog_mean","state_expanded","glottolog_mean",-0.0658442218725598,0.125697837127986,0.600618683305082,1.14009355350017,0.28612422363942,1.14009355350017,0.28612422363942,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"state_expanded__glottolog_mean_shastry","state_expanded","glottolog_mean_shastry",-0.0995090032676631,0.276941184287777,0.719505074954498,1.12632641287344,0.289051049411507,1.12632641287344,0.289051049411506,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"state_expanded__dyen_noncognate","state_expanded","dyen_noncognate",0.0547196292131654,0.179154923226945,0.760158517616004,1.23214268774696,0.267499866864443,1.23214268774695,0.267499866864445,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"state_expanded__dyen_noncognate_shastry","state_expanded","dyen_noncognate_shastry",0.0577868929116402,0.194515031877301,0.766522170971926,1.25682677706419,0.262768069569601,1.25682677706418,0.262768069569603,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
"absorption__region_fe","region_fe","nonzero_mean",-0.00398982107238267,0.00270725829059285,0.141104926265864,1.97811664142755,0.160137744355421,1.97811664142755,0.16013774435542,-0.0380322385133881,0.00330715117507724,FALSE,1,FALSE,TRUE,-0.0380322385133881,0.00330715117507724,FALSE,FALSE,"[-0.0380322, 0.00330715]",573,"estimated",NA
"absorption__state_fe","state_fe","nonzero_mean",0.0543008792381302,0.159664884349939,0.733919622975073,2.50258925088198,0.114248056012683,2.50258925088198,0.114248056012683,NA,NA,FALSE,1,FALSE,TRUE,-0.110238372502574,0.110238372502574,TRUE,TRUE,"[grid<= -0.110238, 0.110238 <=grid]",573,"estimated",NA
