"harmonized_region_id","geography_variant","harmonized_component_id","component_class","vintage","state_code","district_code","unit_id","side","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0001","deterministic_amalgamation","geo_component_0001","one_to_one",1991,"02","01","census1991__02__01","source",TRUE,TRUE,TRUE
"geo_component_0001","deterministic_amalgamation","geo_component_0001","one_to_one",2001,"28","11","census2001__28__11","target",TRUE,TRUE,TRUE
"geo_component_0002","deterministic_amalgamation","geo_component_0002","one_to_one",1991,"02","02","census1991__02__02","source",TRUE,TRUE,TRUE
"geo_component_0002","deterministic_amalgamation","geo_component_0002","one_to_one",2001,"28","12","census2001__28__12","target",TRUE,TRUE,TRUE
"geo_component_0003","deterministic_amalgamation","geo_component_0003","one_to_one",1991,"02","07","census1991__02__07","source",TRUE,TRUE,TRUE
"geo_component_0003","deterministic_amalgamation","geo_component_0003","one_to_one",2001,"28","17","census2001__28__17","target",TRUE,TRUE,TRUE
"geo_component_0004","deterministic_amalgamation","geo_component_0004","one_to_one",1991,"02","08","census1991__02__08","source",TRUE,TRUE,TRUE
"geo_component_0004","deterministic_amalgamation","geo_component_0004","one_to_one",2001,"28","18","census2001__28__18","target",TRUE,TRUE,TRUE
"geo_component_0005","deterministic_amalgamation","geo_component_0005","one_to_one",1991,"02","09","census1991__02__09","source",TRUE,TRUE,TRUE
"geo_component_0005","deterministic_amalgamation","geo_component_0005","one_to_one",2001,"28","19","census2001__28__19","target",TRUE,TRUE,TRUE
"geo_component_0006","deterministic_amalgamation","geo_component_0006","one_to_one",1991,"02","10","census1991__02__10","source",TRUE,TRUE,TRUE
"geo_component_0006","deterministic_amalgamation","geo_component_0006","one_to_one",2001,"28","23","census2001__28__23","target",TRUE,TRUE,TRUE
"geo_component_0007","deterministic_amalgamation","geo_component_0007","many_to_many",1991,"02","11","census1991__02__11","source",TRUE,TRUE,TRUE
"geo_component_0007","deterministic_amalgamation","geo_component_0007","many_to_many",1991,"02","12","census1991__02__12","source",TRUE,TRUE,TRUE
"geo_component_0007","deterministic_amalgamation","geo_component_0007","many_to_many",2001,"28","20","census2001__28__20","target",TRUE,TRUE,TRUE
"geo_component_0007","deterministic_amalgamation","geo_component_0007","many_to_many",2001,"28","22","census2001__28__22","target",TRUE,TRUE,TRUE
"geo_component_0008","deterministic_amalgamation","geo_component_0008","one_to_one",1991,"02","13","census1991__02__13","source",TRUE,TRUE,TRUE
"geo_component_0008","deterministic_amalgamation","geo_component_0008","one_to_one",2001,"28","21","census2001__28__21","target",TRUE,TRUE,TRUE
"geo_component_0009","deterministic_amalgamation","geo_component_0009","one_to_one",1991,"02","16","census1991__02__16","source",TRUE,TRUE,TRUE
"geo_component_0009","deterministic_amalgamation","geo_component_0009","one_to_one",2001,"28","05","census2001__28__05","target",TRUE,TRUE,TRUE
"geo_component_0010","deterministic_amalgamation","geo_component_0010","one_to_one",1991,"02","17","census1991__02__17","source",TRUE,TRUE,TRUE
"geo_component_0010","deterministic_amalgamation","geo_component_0010","one_to_one",2001,"28","04","census2001__28__04","target",TRUE,TRUE,TRUE
"geo_component_0011","deterministic_amalgamation","geo_component_0011","one_to_one",1991,"02","18","census1991__02__18","source",TRUE,TRUE,TRUE
"geo_component_0011","deterministic_amalgamation","geo_component_0011","one_to_one",2001,"28","02","census2001__28__02","target",TRUE,TRUE,TRUE
"geo_component_0012","deterministic_amalgamation","geo_component_0012","one_to_one",1991,"02","23","census1991__02__23","source",TRUE,TRUE,TRUE
"geo_component_0012","deterministic_amalgamation","geo_component_0012","one_to_one",2001,"28","08","census2001__28__08","target",TRUE,TRUE,TRUE
"geo_component_0013","deterministic_amalgamation","geo_component_0013","split",1991,"03","04","census1991__03__04","source",TRUE,TRUE,TRUE
"geo_component_0013","deterministic_amalgamation","geo_component_0013","split",2001,"12","04","census2001__12__04","target",TRUE,TRUE,TRUE
"geo_component_0013","deterministic_amalgamation","geo_component_0013","split",2001,"12","05","census2001__12__05","target",TRUE,TRUE,TRUE
"geo_component_0014","deterministic_amalgamation","geo_component_0014","one_to_one",1991,"03","05","census1991__03__05","source",TRUE,TRUE,TRUE
"geo_component_0014","deterministic_amalgamation","geo_component_0014","one_to_one",2001,"12","06","census2001__12__06","target",TRUE,TRUE,TRUE
"geo_component_0015","deterministic_amalgamation","geo_component_0015","one_to_one",1991,"03","06","census1991__03__06","source",TRUE,TRUE,TRUE
"geo_component_0015","deterministic_amalgamation","geo_component_0015","one_to_one",2001,"12","07","census2001__12__07","target",TRUE,TRUE,TRUE
"geo_component_0016","deterministic_amalgamation","geo_component_0016","split",1991,"03","07","census1991__03__07","source",TRUE,TRUE,TRUE
"geo_component_0016","deterministic_amalgamation","geo_component_0016","split",2001,"12","08","census2001__12__08","target",TRUE,TRUE,TRUE
"geo_component_0016","deterministic_amalgamation","geo_component_0016","split",2001,"12","09","census2001__12__09","target",TRUE,TRUE,TRUE
"geo_component_0017","deterministic_amalgamation","geo_component_0017","many_to_many",1991,"04","01","census1991__04__01","source",TRUE,TRUE,TRUE
"geo_component_0017","deterministic_amalgamation","geo_component_0017","many_to_many",1991,"04","02","census1991__04__02","source",TRUE,TRUE,TRUE
"geo_component_0017","deterministic_amalgamation","geo_component_0017","many_to_many",2001,"18","01","census2001__18__01","target",TRUE,TRUE,TRUE
"geo_component_0017","deterministic_amalgamation","geo_component_0017","many_to_many",2001,"18","02","census2001__18__02","target",TRUE,TRUE,TRUE
"geo_component_0018","deterministic_amalgamation","geo_component_0018","one_to_one",1991,"04","03","census1991__04__03","source",TRUE,TRUE,TRUE
