"geography_variant","source_coverage_threshold","predictor_id","predictor","fixed_effect","variable","domain","source","label","estimate","std.error","p.value","standardized_effect","n","n_states","population_1991","status"
"preferred_historical_geography",NA,"eventual_emie","emie_exposure","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",-0.100569763246758,0.0549275146563812,0.0682788245575614,-0.223755921322688,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"eventual_emie","emie_exposure","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.0719169925919286,0.013682770943698,3.12140780806269e-07,-0.399349351530769,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"eventual_emie","emie_exposure","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.766200549731852,0.153289151524754,1.07784124527698e-06,-0.598707945138441,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"eventual_emie","emie_exposure","state","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.493868144870611,0.10130496902642,1.91863007205662e-06,-0.511074625332169,283,28,478363810,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","log_population_1991","demography","PCA91","Log population",0.00434511473001297,0.00465995148496715,0.354727338460743,0.128433807845275,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","female_share_1991","demography","PCA91","Female population share",0.0264426329221832,0.019235046861553,0.174169269945766,0.235643798493921,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.117666353157514,0.0315019178195,0.000410352083066433,-0.635795271229136,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0974502528905905,0.0368902308019369,0.0104294061159892,-0.33580904442136,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.079008734480826,0.0761857811830703,0.303738731931551,-0.116480939251334,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.74880452745781,0.183580426816885,0.000131361589490489,0.706998164589859,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",-0.0686874545723238,0.0377391701902757,0.0735780467923066,-0.278444506200457,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.0571510080654829,0.0256870513423937,0.029736378900952,-0.42573902731964,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.723423154736534,0.142160455702057,3.59356548366361e-06,-0.647419116875668,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.090087330408667,0.132731256491402,0.499841148229774,-0.134251699624462,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","log_population_1991","demography","PCA91","Log population",-0.0008454107933186,0.0012792059695822,0.512570013731573,-0.0249888286330884,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","female_share_1991","demography","PCA91","Female population share",-0.0247464659073868,0.00477385494007644,7.00262753149964e-06,-0.220528388488307,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.131335482541606,0.0226549598722983,9.9070827107513e-07,-0.709654684655427,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0239924233673522,0.0143659549404465,0.102909956962054,-0.0826767763587938,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.0632035929504901,0.050576377676807,0.218869164615486,-0.0931797467622863,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.28808684869313,0.0970727114422827,0.00510520552308375,0.272002726746327,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.0664645715576115,0.0502206121541982,0.19339144252984,0.269433405596617,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.0138103563928734,0.0135183209241627,0.31326444243716,-0.102878460007262,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.0744520822387136,0.113542784362602,0.515855244475462,-0.06663002285308,64,24,72333659,"estimated"
"G0_exact_only",NA,"eventual_emie","emie_exposure","state","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.298512951999159,0.073883614806587,0.00024271214716328,-0.444855796969501,64,24,72333659,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","log_population_1991","demography","PCA91","Log population",0.0787113596083578,0.0430443909720078,0.0685181227392585,0.174650106492362,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","female_share_1991","demography","PCA91","Female population share",0.617925420609939,0.180926796973834,0.000731027931573041,0.527570421939297,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-1.01809931551449,0.258601680948977,0.000104123387096153,-0.48577472266365,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.688542749632205,0.685316446450067,0.315901969474652,-0.121469062431297,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.230274426695412,0.959726975947672,0.810553696446001,-0.023676398762923,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",2.76095771346351,3.07112357881671,0.369419314890634,0.225695767966605,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",1.45048315474496,1.13472727979105,0.202210529898347,0.307583418074615,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.351378042140118,0.307635023013042,0.254346827552457,-0.185968421324768,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-5.85800588439711,1.5818824648135,0.000256260769461981,-0.436280182265662,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",3.82865415447307,1.47278068107534,0.00982620179625687,0.377626586117275,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","log_population_1991","demography","PCA91","Log population",-0.0490642125932995,0.0647761265909234,0.449486701650148,-0.108867004674047,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","female_share_1991","demography","PCA91","Female population share",0.671872640090238,0.326326326729408,0.0405237399507774,0.573629309297548,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.12118133098032,0.261619245545568,0.643619570488841,-0.0578203192477631,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-1.05423850123554,1.08687847859882,0.332984641135948,-0.185983168644881,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","st_share_1991","demography","PCA91","Scheduled Tribe share",4.95622366668501,4.46540612230229,0.268085094936966,0.509589925267237,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",2.81367501423133,0.818692239708973,0.000687581728789253,0.230005168151875,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.822830327401548,0.782956225676405,0.294290653714981,0.174485973015057,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",0.791277620630909,0.665869415927126,0.235810360283996,0.418787266962087,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.898645524588244,2.06646091228196,0.664024747696612,-0.0669274222314869,283,28,478363810,"estimated"
"preferred_historical_geography",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",0.253864221370769,2.5181799595104,0.919778769169535,0.0250390542957667,283,28,478363810,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","log_population_1991","demography","PCA91","Log population",0.0988564602939467,0.0461164857785002,0.0359931984902658,0.233029882150646,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","female_share_1991","demography","PCA91","Female population share",0.69205154341764,0.251280462643823,0.00771334546859397,0.491833616627658,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-1.25343702013294,0.308229366053632,0.00013695325619242,-0.540127098232507,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.997814104938559,0.538591033929155,0.0686954524251778,-0.274212662908482,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.0391321621857373,0.868464199289452,0.964205065916189,-0.00460089214192284,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",9.46544342275481,2.10401913067262,3.06492129641814e-05,0.712720478950015,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",-1.03795378434292,0.626677635277481,0.102718091433535,-0.33555807687581,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.688950850198598,0.38638900841235,0.0794733774240113,-0.409294829085508,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-8.37846794331434,1.89130650814693,3.90680822405679e-05,-0.597979334155326,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",2.44489728774612,1.01452323772865,0.0189380576448831,0.290566232873594,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","log_population_1991","demography","PCA91","Log population",-0.55658331850895,0.259865540268822,0.0385114010600252,-1.3120087926828,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","female_share_1991","demography","PCA91","Female population share",2.06420927348404,0.37691210387022,2.75834919328321e-06,1.46701141282091,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.665582802386878,0.799014234349291,0.409914465681227,-0.286810826481379,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-9.9589434978037,2.04623105099363,1.90404066431831e-05,-2.73685088512155,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","st_share_1991","demography","PCA91","Scheduled Tribe share",63.0566364124124,8.36563033750167,3.9618494598693e-09,7.41376828576301,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",1.64260194744986,7.40482299388697,0.825604770357399,0.123683169865693,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",4.16428586495756,1.63954131629033,0.0151847337238923,1.34626394497023,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",6.74339068477505,1.01797371838457,7.05591929849414e-08,4.00614200125625,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",37.72160619477,3.58352055024262,5.86720892929005e-13,2.69222739864002,64,24,72333659,"estimated"
"G0_exact_only",NA,"census_2001_ld","ling_distance_nonzero_mean_2001","state","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-31.6033806023831,8.23372314000416,0.000442681784283793,-3.75593498088023,64,24,72333659,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","log_population_1991","demography","PCA91","Log population",0.00284405014388866,0.0057376265025517,0.620320865225588,0.0561390023061325,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","female_share_1991","demography","PCA91","Female population share",0.0214342628611403,0.0170726960948347,0.209856142952359,0.176765108810227,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.131998428667948,0.0222011311227256,4.97497823268465e-09,-0.593849409114083,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0823609288226669,0.0709426125138267,0.246179384855234,-0.141351011646176,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.0869088933332716,0.115333895428691,0.45145598263617,-0.0763223113770694,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.686928571295751,0.172511536692096,7.78098949145956e-05,0.56649262234949,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.065499397335823,0.0687850463535113,0.3414087824466,0.133783250760459,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.054176897280961,0.0202556415798613,0.00770945559243401,-0.264925352362732,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.738807344969197,0.140201815728832,1.98584392700408e-07,-0.540844868652693,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.112851364627822,0.120923201486914,0.351112800662132,-0.111118872538294,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","log_population_1991","demography","PCA91","Log population",0.0170516427062516,0.00403287847711579,2.79823802847109e-05,0.336584153154467,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","female_share_1991","demography","PCA91","Female population share",-0.03855949388655,0.00968406642887326,7.84780287430055e-05,-0.317994286842515,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.090084023373604,0.018803378327246,2.18770598448987e-06,-0.405280158187397,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0658736323717691,0.0405230177934746,0.104662947916997,-0.113054875772543,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.100710301799522,0.0613459598617441,0.101280590081165,-0.0884425369834862,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.615783263081887,0.0803520523133971,9.35364767811653e-14,0.507820885720585,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",-0.114191104031459,0.0420500042004743,0.00684264557151448,-0.233236605627501,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.0812111123852891,0.0122186152612004,7.81124470994493e-11,-0.397122826227315,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.768923274108888,0.144651802616419,1.59907070570661e-07,-0.562891273376226,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"eventual_emie","emie_exposure","state","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.480616156594145,0.0910562329880519,1.94176282742958e-07,-0.473237746132342,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","log_population_1991","demography","PCA91","Log population",0.0603698131268919,0.044100603002289,0.171601464239523,0.127977115014769,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","female_share_1991","demography","PCA91","Female population share",0.563150704372405,0.15071847835983,0.0002067088962246,0.498766949371335,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.854764561154173,0.331982573835308,0.010299561153594,-0.41298960300718,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.320782118784483,0.820366407716445,0.695935918008985,-0.0591252350392815,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.135201982301037,1.03905364401955,0.89652015004984,-0.0127513274036966,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",1.86410949366441,2.20356847897092,0.397958648493771,0.165096983939859,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",1.71356433364332,0.816888471274542,0.0364026669519422,0.37588058825062,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.335459724055578,0.275727572338494,0.224279700600673,-0.176171162436648,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-4.57454677136249,1.60571620317855,0.00455578361916449,-0.35964549512962,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",3.79077345369319,1.05204992791171,0.000343623007148493,0.400861073381834,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","log_population_1991","demography","PCA91","Log population",-0.110063464607039,0.047100819301672,0.0198423199896274,-0.233321985597874,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","female_share_1991","demography","PCA91","Female population share",0.553634045785051,0.296198164638223,0.0621839100120186,0.490338308982591,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",0.128339885621304,0.1421904592864,0.367173949574855,0.0620089330109335,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.951496390404105,0.691620231222196,0.169510171666895,-0.175375884213382,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","st_share_1991","demography","PCA91","Scheduled Tribe share",4.72190513134584,2.47178346150236,0.0566588309042066,0.445337836577891,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.0959731500410817,1.12939522475254,0.932313045783703,0.00849997152251114,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.820901610111569,0.456959377660776,0.073022745230863,0.180069679349923,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",0.757184064837477,0.473567789202537,0.110471129935454,0.397645342541403,537,32,781143441.600941,"estimated"
"G2_population_interpolated",0.9,"census_2001_ld","ling_distance_nonzero_mean_2001","state","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",0.333475464933785,1.54898307587131,0.829630882995263,0.0262174494423128,537,32,781143441.600941,"estimated"
