"bridge_status","n_shrid","population","area"
"crosses_district_boundary",92,24972104.2375488,3967.195284621
"deterministic_one_district_each_year",566183,794632545.348409,2577719.87346292
"missing_census_locality_key",33485,1793590,16639.0017338419
