"mother_tongue_code","mother_tongue","canonical_language","language_glottocode","glottolog_name","family_id","iso639P3code","glottolog_level","match_basis","review_status","notes","glottolog_edge_distance_from_hindi"
"008004","Kishtwari","Kashmiri","kash1277","Kashmiri","indo1319","kas","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"008009","Siraji","Kashmiri","","","","","","","unresolved","",NA
"008999","Others","Kashmiri","","","","","","","unresolved","",NA
"009010","Konkani","Konkani","goan1235","Goan Konkani","indo1319","gom","language","manual_disambiguation","accepted_manual","Goan Konkani (ISO gom), the Indian Konkani language; rejects Konkan Marathi alias.",10
"009011","Kudubi/Kudumbi","Konkani","","","","","","","unresolved","",NA
"009013","Malwani","Konkani","","","","","","","unresolved","",NA
"009999","Others","Konkani","","","","","","","unresolved","",NA
"010006","Maithili","Maithili","mait1250","Maithili","indo1319","mai","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"010999","Others","Maithili","","","","","","","unresolved","",NA
"011013","Malayalam","Malayalam","mala1464","Malayalam","drav1251","mal","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",23
"011022","Yerava","Malayalam","","","","","","","unresolved","",NA
"011999","Others","Malayalam","","","","","","","unresolved","",NA
"012002","Manipuri","Manipuri","mani1292","Manipuri","sino1245","mni","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",15
"012999","Others","Manipuri","","","","","","","unresolved","",NA
"013048","Marathi","Marathi","mara1378","Marathi","indo1319","mar","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"013999","Others","Marathi","","","","","","","unresolved","",NA
"014009","Nepali","Nepali","nepa1254","Nepali","indo1319","npi","language","manual_exact_primary_country_context","accepted_manual","Exact Glottolog primary name; Census language is Nepali although the Glottolog country list is Nepal-only.",8
"014999","Others","Nepali","","","","","","","unresolved","",NA
"015006","Bhatri","Oriya","bhat1265","Bhatri","indo1319","bgw","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",9
"015031","Oriya","Oriya","oriy1255","Odia","indo1319","ory","language","manual_modern_name","accepted_manual","Glottolog primary name Odia (ISO ory); Census 2001 uses Oriya.",10
"015039","Proja","Oriya","","","","","","","unresolved","",NA
"015040","Relli","Oriya","","","","","","","unresolved","",NA
"015042","Sambalpuri","Oriya","samb1325","Sambalpuri","indo1319","spv","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"015999","Others","Oriya","","","","","","","unresolved","",NA
"016001","Bagri","Punjabi","bagr1243","Bagri","indo1319","bgq","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"016004","Bilaspuri  Kahluri","Punjabi","","","","","","","unresolved","",NA
"016018","Punjabi","Punjabi","panj1256","Eastern Panjabi","indo1319","pan","language","manual_alias_iso","accepted_manual","Eastern Panjabi (ISO pan); Punjabi is a documented alternate name in Glottolog.",11
"016999","Others","Punjabi","","","","","","","unresolved","",NA
"017002","Sanskrit","Sanskrit","sans1269","Sanskrit","indo1319","san","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",9
"017999","Others","Sanskrit","","","","","","","unresolved","",NA
"018009","Karmali","Santali","sant1410","Santali","aust1305","sat","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",18
"018013","Santali","Santali","sant1410","Santali","aust1305","sat","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",18
"018999","Others","Santali","","","","","","","unresolved","",NA
"019008","Kachchhi","Sindhi","","","","","","","unresolved","",NA
"019013","Sindhi","Sindhi","sind1272","Sindhi","indo1319","snd","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",11
"019999","Others","Sindhi","","","","","","","unresolved","",NA
"020007","Kaikadi","Tamil","kaik1244","Kaikadi","drav1251","kep","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",24
"020020","Tamil","Tamil","tami1289","Tamil","drav1251","tam","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",24
"020022","Yerukala/Yerukula","Tamil","yeru1240","Yerukula","drav1251","yeu","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",24
"020999","Others","Tamil","","","","","","","unresolved","",NA
"021035","Telugu","Telugu","telu1262","Telugu","drav1251","tel","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",17
"021037","Vadari","Telugu","telu1262","Telugu","drav1251","tel","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",17
"021999","Others","Telugu","","","","","","","unresolved","",NA
"022014","Urdu","Urdu","urdu1245","Urdu","indo1319","urd","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",2
"022999","Others","Urdu","","","","","","","unresolved","",NA
"023002","Adi","Adi","","","","","","","unresolved","",NA
"023005","Adi Gallong/Gallong","Adi","","","","","","","unresolved","",NA
"023009","Adi Miniyong/Miniyong","Adi","","","","","","","unresolved","",NA
"023999","Others","Adi","","","","","","","unresolved","",NA
"024001","Afghani/Kabuli/Pashto","Afghani/Kabuli/Pashto","","","","","","","unresolved","",NA
"025001","Anal","Anal","anal1239","Anal","sino1245","anm","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",19
"025999","Others","Anal","","","","","","","unresolved","",NA
"026002","Angami","Angami","","","","","","","unresolved","",NA
"026999","Others","Angami","","","","","","","unresolved","",NA
"027001","Ao","Ao","","","","","","","unresolved","",NA
"027999","Others","Ao","","","","","","","unresolved","",NA
"028001","Arabic/Arbi","Arabic/Arbi","","","","","","","unresolved","",NA
"028999","Others","Arabic/Arbi","","","","","","","unresolved","",NA
"029002","Balti","Balti","balt1258","Balti","sino1245","bft","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",19
"029999","Others","Balti","","","","","","","unresolved","",NA
"030002","Baori","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030003","Barel","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030006","Bhilali","Bhili/Bhilodi","bhil1253","Bhilali","indo1319","bhi","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",8
"030007","Bhili/Bhilodi","Bhili/Bhilodi","bhil1251","Bhili","indo1319","bhb","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"030010","Chodhari","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030013","Dhodia","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030018","Gamti/Gavit","Bhili/Bhilodi","mawc1242","Mawchi","indo1319","mke","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"030019","Garasia","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030027","Kokna/Kokni/Kukna","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030032","Mawchi","Bhili/Bhilodi","mawc1242","Mawchi","indo1319","mke","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",7
"030044","Paradhi","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030046","Pawri","Bhili/Bhilodi","","","","","","","unresolved","",NA
"030048","Rathi","Bhili/Bhilodi","garh1243","Garhwali","indo1319","gbm","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",8
"030050","Tadavi","Bhili/Bhilodi","","","","","","","unresolved","",NA
