"mother_tongue_code","mother_tongue","canonical_language","language_glottocode","glottolog_name","family_id","iso639P3code","glottolog_level","match_basis","review_status","notes","glottolog_edge_distance_from_hindi"
"055009","War","Khasi","","","","","","","unresolved","",NA
"055999","Others","Khasi","","","","","","","unresolved","",NA
"056001","Khezha","Khezha","","","","","","","unresolved","",NA
"056999","Others","Khezha","","","","","","","unresolved","",NA
"057001","Khiemnungan","Khiemnungan","","","","","","","unresolved","",NA
"058001","Khond/Kondh","Khond/Kondh","","","","","","","unresolved","",NA
"058999","Others","Khond/Kondh","","","","","","","unresolved","",NA
"059003","Kinnauri","Kinnauri","kinn1249","Kinnauri","sino1245","kfk","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",18
"059999","Others","Kinnauri","","","","","","","unresolved","",NA
"060001","Kisan","Kisan","sadr1248","Sadri","indo1319","sck","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",10
"061002","Koch","Koch","koch1250","Koch","sino1245","kdq","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",17
"061999","Others","Koch","","","","","","","unresolved","",NA
"062003","Koda/Kora","Koda/Kora","","","","","","","unresolved","",NA
"062999","Others","Koda/Kora","","","","","","","unresolved","",NA
"063001","Kolami","Kolami","","","","","","","unresolved","",NA
"064001","Kom","Kom","","","","","","","unresolved","",NA
"065002","Kodu","Konda","","","","","","","unresolved","",NA
"065999","Others","Konda","","","","","","","unresolved","",NA
"066001","Konyak","Konyak","","","","","","","unresolved","",NA
"067001","Korku","Korku","kork1243","Korku","aust1305","kfq","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",16
"067004","Muwasi","Korku","","","","","","","unresolved","",NA
"067999","Others","Korku","","","","","","","unresolved","",NA
"068003","Koraku","Korwa","","","","","","","unresolved","",NA
"068999","Others","Korwa","","","","","","","unresolved","",NA
"069001","Koya","Koya","koya1251","Koya","drav1251","kff","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",19
"070001","Kui","Kui","","","","","","","unresolved","",NA
"070999","Others","Kui","","","","","","","unresolved","",NA
"071007","Kuki","Kuki","","","","","","","unresolved","",NA
"071999","Others","Kuki","","","","","","","unresolved","",NA
"072009","Kurukh/Oraon","Kurukh/Oraon","kuru1301","Kurukh","drav1251","kru","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",16
"072999","Others","Kurukh/Oraon","","","","","","","unresolved","",NA
"073002","Ladakhi","Ladakhi","","","","","","","unresolved","",NA
"073999","Others","Ladakhi","","","","","","","unresolved","",NA
"074002","Lahauli","Lahauli","","","","","","","unresolved","",NA
"074999","Others","Lahauli","","","","","","","unresolved","",NA
"075001","Bahawal Puri","Lahnda","","","","","","","unresolved","",NA
"075012","Multani","Lahnda","sera1259","Saraiki","indo1319","skr","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",12
"075015","Punchhi","Lahnda","paha1251","Pahari Potwari","indo1319","phr","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",11
"075999","Others","Lahnda","","","","","","","unresolved","",NA
"076001","Lakher","Lakher","","","","","","","unresolved","",NA
"077001","Lalung","Lalung","","","","","","","unresolved","",NA
"078001","Lepcha","Lepcha","lepc1244","Lepcha","sino1245","lep","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",15
"079002","Liangmei","Liangmei","","","","","","","unresolved","",NA
"079999","Others","Liangmei","","","","","","","unresolved","",NA
"080002","Limbu","Limbu","limb1266","Limbu","sino1245","lif","language","deterministic_exact_primary","accepted_deterministic","Unique strongest-tier Glottolog primary-name match for an India language; accepted by deterministic review rule.",19
"080999","Others","Limbu","","","","","","","unresolved","",NA
"081001","Lotha","Lotha","","","","","","","unresolved","",NA
