"omitted_distance4_language","joint_excluded_f","joint_excluded_p","partial_r_squared","n"
"Kachchhi",4.06979948084765,0.00124057277194459,0.033154794531642,573
"Kashmiri",0.415173210915677,0.838291545639793,0.0104263060343596,573
"Kishtwari",3.69987539681583,0.00267254016762825,0.0303703080559866,573
"Others",3.68955091671916,0.00273007639946734,0.0292520409924742,573
"Sindhi",3.83512072703824,0.00202057057588204,0.0337366865151948,573
"Siraji",4.31709651214698,0.000739672140744821,0.0310117791660105,573
