"panel_unit_id","dist91_state_id","dist91_district_id","decision","source_id","evidence","dist91_district_label","liu_harmonized_name","liu_pca1991_label","liu_alias_source_line","evidence_status"
"0203","02","03","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Visakhapatanam","Vishakhapatnam","visakhapatanam",46,"verified_direct_alias"
"0208","02","08","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Prakasam","Prakasam (Ongole)","prakasam",44,"verified_direct_alias"
"0218","02","18","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Nnizamabad","Nizamabad","nnizamabad",43,"verified_direct_alias"
"1006","07","06","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Junagadh","Janagadh","junagadh",148,"verified_direct_alias"
"1013","07","13","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Kheda","Kheda (Kaira)","kheda",54,"verified_direct_alias"
"1015","07","15","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Vadodara","Vadodara (Baroda)","vadodara",56,"verified_direct_alias"
"1016","07","16","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Bharuch","Bharuch (Broach)","bharuch",53,"verified_direct_alias"
"1406","12","07","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Thrissur","Trichur","thrissur",154,"verified_direct_alias"
"1703","14","03","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Raigarh","Raigarh (Kolaba)","raigarh",158,"verified_direct_alias"
"1709","14","10","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Pune","Pune (Poona)","pune",157,"verified_direct_alias"
"1712","14","13","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Solapur","Salapur (Sholapur)","solapur",159,"verified_direct_alias"
"1716","14","18","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Bid","Bid (Bhir)","bid",114,"verified_direct_alias"
"2006","11","07","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Chikmagalur","Chikmangalur","chikmagalur",150,"verified_direct_alias"
"2008","11","09","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Dakshin Kannad","Dakshin Kannad (South Kanara","dakshin kannad",60,"verified_direct_alias"
"2012","11","13","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Kodagu","Kodagu (Coorg)","kodagu",62,"verified_direct_alias"
"2205","19","05","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Baleshwar","Baleshwar (Balasore)","baleshwar",161,"verified_direct_alias"
"2402","20","02","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Amritsar","Amristar","amritsar",165,"verified_direct_alias"
"2405","20","05","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Jalandhar","Jalandhar (Jullundur)","jalandhar",167,"verified_direct_alias"
"2408","20","08","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Rupnagar","Rupnagar (Ropar)","rupnagar",173,"verified_direct_alias"
"2801","25","01","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Uttarkashi","Uttar Kashi","uttarkashi",438,"verified_direct_alias"
"2844","25","48","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Barabanki","Bara Banki","barabanki",201,"verified_direct_alias"
"2915","26","16","accepted_one_to_one","maggieliuDataCodeClimate2023","published_direct_alias_and_raw_1991_code","Barddhaman","Barddhaman (Burdwan)","barddhaman",219,"verified_direct_alias"
