"harmonized_region_id","geography_variant","harmonized_component_id","component_class","vintage","state_code","district_code","unit_id","side","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0001","deterministic_amalgamation","geo_component_0001","one_to_one",1991,"02","16","census1991__02__16","source",TRUE,TRUE,TRUE
"geo_component_0001","deterministic_amalgamation","geo_component_0001","one_to_one",2001,"28","05","census2001__28__05","target",TRUE,TRUE,TRUE
"geo_component_0002","deterministic_amalgamation","geo_component_0002","one_to_one",1991,"12","02","census1991__12__02","source",TRUE,TRUE,TRUE
"geo_component_0002","deterministic_amalgamation","geo_component_0002","one_to_one",2001,"32","02","census2001__32__02","target",TRUE,TRUE,TRUE
"geo_component_0003","deterministic_amalgamation","geo_component_0003","one_to_one",1991,"12","03","census1991__12__03","source",TRUE,TRUE,TRUE
"geo_component_0003","deterministic_amalgamation","geo_component_0003","one_to_one",2001,"32","03","census2001__32__03","target",TRUE,TRUE,TRUE
"geo_component_0004","deterministic_amalgamation","geo_component_0004","one_to_one",1991,"12","04","census1991__12__04","source",TRUE,TRUE,TRUE
"geo_component_0004","deterministic_amalgamation","geo_component_0004","one_to_one",2001,"32","04","census2001__32__04","target",TRUE,TRUE,TRUE
"geo_component_0005","deterministic_amalgamation","geo_component_0005","many_to_many",1991,"12","08","census1991__12__08","source",TRUE,TRUE,TRUE
"geo_component_0005","deterministic_amalgamation","geo_component_0005","many_to_many",1991,"12","09","census1991__12__09","source",TRUE,TRUE,TRUE
"geo_component_0005","deterministic_amalgamation","geo_component_0005","many_to_many",2001,"32","08","census2001__32__08","target",TRUE,TRUE,TRUE
"geo_component_0005","deterministic_amalgamation","geo_component_0005","many_to_many",2001,"32","09","census2001__32__09","target",TRUE,TRUE,TRUE
"geo_component_0006","deterministic_amalgamation","geo_component_0006","one_to_one",1991,"12","10","census1991__12__10","source",TRUE,TRUE,TRUE
"geo_component_0006","deterministic_amalgamation","geo_component_0006","one_to_one",2001,"32","10","census2001__32__10","target",TRUE,TRUE,TRUE
"geo_component_0007","deterministic_amalgamation","geo_component_0007","one_to_one",1991,"12","12","census1991__12__12","source",TRUE,TRUE,TRUE
"geo_component_0007","deterministic_amalgamation","geo_component_0007","one_to_one",2001,"32","12","census2001__32__12","target",TRUE,TRUE,TRUE
"geo_component_0008","deterministic_amalgamation","geo_component_0008","one_to_one",1991,"12","13","census1991__12__13","source",TRUE,TRUE,TRUE
"geo_component_0008","deterministic_amalgamation","geo_component_0008","one_to_one",2001,"32","13","census2001__32__13","target",TRUE,TRUE,TRUE
"geo_component_0009","deterministic_amalgamation","geo_component_0009","one_to_one",1991,"26","10","census1991__26__10","source",TRUE,TRUE,TRUE
"geo_component_0009","deterministic_amalgamation","geo_component_0009","one_to_one",2001,"19","17","census2001__19__17","target",TRUE,TRUE,TRUE
"geo_component_0010","deterministic_amalgamation","geo_component_0010","one_to_one",1991,"28","01","census1991__28__01","source",TRUE,TRUE,TRUE
"geo_component_0010","deterministic_amalgamation","geo_component_0010","one_to_one",2001,"04","01","census2001__04__01","target",TRUE,TRUE,TRUE
