"geography_variant","source_coverage_threshold","target_unit_id","state_code_2001","district_code_2001","population_1991","n_source_units"
"preferred_historical_geography",NA,"census2001__02__01","02","01",393286,1
"preferred_historical_geography",NA,"census2001__02__02","02","02",1174072,1
"preferred_historical_geography",NA,"census2001__02__03","02","03",31294,1
"preferred_historical_geography",NA,"census2001__02__04","02","04",302432,1
"preferred_historical_geography",NA,"census2001__02__05","02","05",776372,1
"preferred_historical_geography",NA,"census2001__02__06","02","06",368785,1
"preferred_historical_geography",NA,"census2001__02__07","02","07",378269,1
"preferred_historical_geography",NA,"census2001__02__08","02","08",295387,1
"preferred_historical_geography",NA,"census2001__02__09","02","09",382268,1
"preferred_historical_geography",NA,"census2001__02__10","02","10",379695,1
"preferred_historical_geography",NA,"census2001__02__11","02","11",617404,1
"preferred_historical_geography",NA,"census2001__02__12","02","12",71270,1
"preferred_historical_geography",NA,"census2001__03__01","03","01",1756732,1
"preferred_historical_geography",NA,"census2001__03__02","03","02",2504560,1
"preferred_historical_geography",NA,"census2001__03__03","03","03",646647,1
"preferred_historical_geography",NA,"census2001__03__09","03","09",1242781,1
"preferred_historical_geography",NA,"census2001__04__01","04","01",642015,1
"preferred_historical_geography",NA,"census2001__05__01","05","01",239709,1
"preferred_historical_geography",NA,"census2001__05__05","05","05",1025441,1
"preferred_historical_geography",NA,"census2001__05__13","05","13",1124488,1
"preferred_historical_geography",NA,"census2001__06__08","06","08",754866,1
"preferred_historical_geography",NA,"census2001__06__11","06","11",903536,1
"preferred_historical_geography",NA,"census2001__06__13","06","13",1139718,1
"preferred_historical_geography",NA,"census2001__06__16","06","16",681869,1
"preferred_historical_geography",NA,"census2001__06__18","06","18",1146090,1
"preferred_historical_geography",NA,"census2001__06__19","06","19",1477240,1
"preferred_historical_geography",NA,"census2001__08__03","08","03",1211140,1
"preferred_historical_geography",NA,"census2001__08__04","08","04",1543211,1
"preferred_historical_geography",NA,"census2001__08__05","08","05",1582421,1
"preferred_historical_geography",NA,"census2001__08__06","08","06",2296580,1
"preferred_historical_geography",NA,"census2001__08__07","08","07",1651584,1
"preferred_historical_geography",NA,"census2001__08__08","08","08",749479,1
"preferred_historical_geography",NA,"census2001__08__13","08","13",1842914,1
"preferred_historical_geography",NA,"census2001__08__14","08","14",2144810,1
"preferred_historical_geography",NA,"census2001__08__15","08","15",2153483,1
"preferred_historical_geography",NA,"census2001__08__16","08","16",344517,1
"preferred_historical_geography",NA,"census2001__08__17","08","17",1435222,1
"preferred_historical_geography",NA,"census2001__08__18","08","18",1142563,1
"preferred_historical_geography",NA,"census2001__08__19","08","19",654029,1
"preferred_historical_geography",NA,"census2001__08__20","08","20",1486432,1
"preferred_historical_geography",NA,"census2001__08__21","08","21",1726534,1
"preferred_historical_geography",NA,"census2001__08__22","08","22",974338,1
"preferred_historical_geography",NA,"census2001__08__23","08","23",770248,1
"preferred_historical_geography",NA,"census2001__08__24","08","24",1593128,1
"preferred_historical_geography",NA,"census2001__08__27","08","27",874549,1
"preferred_historical_geography",NA,"census2001__08__28","08","28",1155600,1
"preferred_historical_geography",NA,"census2001__08__32","08","32",956971,1
"preferred_historical_geography",NA,"census2001__09__01","09","01",2309029,1
"preferred_historical_geography",NA,"census2001__09__02","09","02",2842543,1
"preferred_historical_geography",NA,"census2001__09__03","09","03",2454521,1
"preferred_historical_geography",NA,"census2001__09__05","09","05",1502141,1
"preferred_historical_geography",NA,"census2001__09__15","09","15",2751021,1
"preferred_historical_geography",NA,"census2001__09__16","09","16",1533054,1
"preferred_historical_geography",NA,"census2001__09__17","09","17",2244998,1
"preferred_historical_geography",NA,"census2001__09__19","09","19",2447094,1
"preferred_historical_geography",NA,"census2001__09__20","09","20",2834616,1
"preferred_historical_geography",NA,"census2001__09__21","09","21",1283103,1
"preferred_historical_geography",NA,"census2001__09__22","09","22",1987395,1
"preferred_historical_geography",NA,"census2001__09__23","09","23",2377605,1
"preferred_historical_geography",NA,"census2001__09__24","09","24",2679890,1
"preferred_historical_geography",NA,"census2001__09__25","09","25",2747082,1
"preferred_historical_geography",NA,"census2001__09__26","09","26",2200397,1
"preferred_historical_geography",NA,"census2001__09__27","09","27",2762801,1
"preferred_historical_geography",NA,"census2001__09__34","09","34",2418487,1
"preferred_historical_geography",NA,"census2001__09__35","09","35",1219377,1
"preferred_historical_geography",NA,"census2001__09__36","09","36",1429698,1
"preferred_historical_geography",NA,"census2001__09__37","09","37",752043,1
"preferred_historical_geography",NA,"census2001__09__42","09","42",1899241,1
"preferred_historical_geography",NA,"census2001__09__43","09","43",2210700,1
"preferred_historical_geography",NA,"census2001__09__49","09","49",2552179,1
"preferred_historical_geography",NA,"census2001__09__57","09","57",1676378,1
"preferred_historical_geography",NA,"census2001__09__58","09","58",3066002,1
"preferred_historical_geography",NA,"census2001__09__62","09","62",1445782,1
"preferred_historical_geography",NA,"census2001__09__63","09","63",2262273,1
"preferred_historical_geography",NA,"census2001__09__64","09","64",3210962,1
"preferred_historical_geography",NA,"census2001__09__65","09","65",2416617,1
"preferred_historical_geography",NA,"census2001__09__69","09","69",1657139,1
"preferred_historical_geography",NA,"census2001__10__01","10","01",2333666,1
"preferred_historical_geography",NA,"census2001__10__02","10","02",3043061,1
"preferred_historical_geography",NA,"census2001__10__05","10","05",2832024,1
"preferred_historical_geography",NA,"census2001__10__07","10","07",1611638,1
"preferred_historical_geography",NA,"census2001__10__08","10","08",984107,1
"preferred_historical_geography",NA,"census2001__10__09","10","09",1878885,1
"preferred_historical_geography",NA,"census2001__10__11","10","11",1177706,1
"preferred_historical_geography",NA,"census2001__10__13","10","13",2510959,1
"preferred_historical_geography",NA,"census2001__10__14","10","14",2953903,1
"preferred_historical_geography",NA,"census2001__10__15","10","15",1704310,1
"preferred_historical_geography",NA,"census2001__10__16","10","16",2170971,1
"preferred_historical_geography",NA,"census2001__10__17","10","17",2572980,1
"preferred_historical_geography",NA,"census2001__10__18","10","18",2146065,1
"preferred_historical_geography",NA,"census2001__10__19","10","19",2716929,1
"preferred_historical_geography",NA,"census2001__10__21","10","21",987227,1
"preferred_historical_geography",NA,"census2001__10__28","10","28",3618211,1
"preferred_historical_geography",NA,"census2001__10__33","10","33",1174900,1
"preferred_historical_geography",NA,"census2001__10__34","10","34",1539988,1
"preferred_historical_geography",NA,"census2001__10__35","10","35",2664803,1
"preferred_historical_geography",NA,"census2001__10__36","10","36",1359694,1
"preferred_historical_geography",NA,"census2001__11__01","11","01",31206,1
"preferred_historical_geography",NA,"census2001__11__02","11","02",98161,1
"preferred_historical_geography",NA,"census2001__11__03","11","03",97203,1
"preferred_historical_geography",NA,"census2001__11__04","11","04",178452,1
"preferred_historical_geography",NA,"census2001__12__01","12","01",18542,1
"preferred_historical_geography",NA,"census2001__12__02","12","02",41378,1
"preferred_historical_geography",NA,"census2001__12__07","12","07",35036,1
"preferred_historical_geography",NA,"census2001__12__10","12","10",21672,1
"preferred_historical_geography",NA,"census2001__12__12","12","12",21470,1
"preferred_historical_geography",NA,"census2001__12__13","12","13",85508,1
"preferred_historical_geography",NA,"census2001__13__01","13","01",149699,1
"preferred_historical_geography",NA,"census2001__13__02","13","02",232906,1
"preferred_historical_geography",NA,"census2001__13__03","13","03",158374,1
"preferred_historical_geography",NA,"census2001__13__04","13","04",96218,1
"preferred_historical_geography",NA,"census2001__13__05","13","05",82612,1
"preferred_historical_geography",NA,"census2001__13__08","13","08",102156,1
"preferred_historical_geography",NA,"census2001__14__02","14","02",86278,1
"preferred_historical_geography",NA,"census2001__14__03","14","03",176184,1
"preferred_historical_geography",NA,"census2001__14__04","14","04",180773,1
"preferred_historical_geography",NA,"census2001__14__05","14","05",293958,1
"preferred_historical_geography",NA,"census2001__14__08","14","08",109275,1
"preferred_historical_geography",NA,"census2001__16__01","16","01",1293861,1
"preferred_historical_geography",NA,"census2001__18__01","18","01",800659,1
"preferred_historical_geography",NA,"census2001__18__02","18","02",1232966,1
"preferred_historical_geography",NA,"census2001__18__05","18","05",1385659,1
"preferred_historical_geography",NA,"census2001__18__06","18","06",2000071,1
"preferred_historical_geography",NA,"census2001__18__07","18","07",1016390,1
"preferred_historical_geography",NA,"census2001__18__08","18","08",1298860,1
"preferred_historical_geography",NA,"census2001__18__09","18","09",639682,1
"preferred_historical_geography",NA,"census2001__18__10","18","10",1893171,1
"preferred_historical_geography",NA,"census2001__18__11","18","11",1424287,1
"preferred_historical_geography",NA,"census2001__18__12","18","12",751517,1
"preferred_historical_geography",NA,"census2001__18__14","18","14",959347,1
"preferred_historical_geography",NA,"census2001__18__15","18","15",1042457,1
"preferred_historical_geography",NA,"census2001__18__16","18","16",907983,1
"preferred_historical_geography",NA,"census2001__18__17","18","17",871206,1
"preferred_historical_geography",NA,"census2001__18__18","18","18",828096,1
"preferred_historical_geography",NA,"census2001__18__21","18","21",1215385,1
"preferred_historical_geography",NA,"census2001__18__22","18","22",827063,1
"preferred_historical_geography",NA,"census2001__18__23","18","23",449048,1
"preferred_historical_geography",NA,"census2001__19__02","19","02",2757348,1
"preferred_historical_geography",NA,"census2001__19__03","19","03",2171145,1
"preferred_historical_geography",NA,"census2001__19__06","19","06",2607951,1
"preferred_historical_geography",NA,"census2001__19__07","19","07",4740149,1
"preferred_historical_geography",NA,"census2001__19__08","19","08",2525503,1
"preferred_historical_geography",NA,"census2001__19__09","19","09",6026313,1
"preferred_historical_geography",NA,"census2001__19__10","19","10",3852097,1
"preferred_historical_geography",NA,"census2001__19__12","19","12",4355230,1
"preferred_historical_geography",NA,"census2001__19__13","19","13",2805065,1
"preferred_historical_geography",NA,"census2001__19__14","19","14",2222545,1
