"state_code_2001","district_code_2001","state_code_1991","district_code_1991","state_name_1991","atlas_population_1991","pca91_population","n_atlas_language_columns","complete_atlas_alignment_1991","n_accepted_languages","n_unresolved_aligned_languages","n_unaligned_atlas_languages","n_unresolved_languages","accepted_speaker_coverage_1991","shastry_mapped_accepted_speaker_share_1991","shastry_mapped_population_share_1991","accepted_nonzero_mapped_speakers_1991","distance_resolved_speakers_1991","distance_resolved_speaker_share_1991","distance_unresolved_mass_upper_bound_1991","distance_unresolved_mass_upper_bound_share_1991","ling_distance_nonzero_mean_accepted_1991","ling_distance_nonzero_lower_bound_1991","ling_distance_nonzero_upper_bound_1991","ling_distance_nonzero_bound_width_1991","distant_speakers_ge3_accepted_1991","ling_share_distance_ge3_accepted_1991","ling_share_distance_ge3_lower_bound_1991","ling_share_distance_ge3_upper_bound_1991","ling_share_distance_ge3_bound_width_1991","atlas_source_status","ling_distance_nonzero_mean_sensitivity_low_accepted_1991","ling_distance_nonzero_mean_sensitivity_high_accepted_1991","min_accepted_coverage","max_distance_bound_width","historical_language_status","ling_distance_nonzero_mean_1991","ling_distance_nonzero_mean_sensitivity_low_1991","ling_distance_nonzero_mean_sensitivity_high_1991","ling_share_distance_ge3_1991","n_shrid_total","n_shrid_deterministic","shrid_coverage","population_1991_total","population_1991_deterministic","population_coverage","n_target_2001_districts","mapping_class","exact_language_persistence","preferred_language_persistence","preferred_population_coverage_threshold","n_transition_targets","ling_distance_nonzero_mean_2001","ling_share_distance_ge3_2001","persistence_status","ling_distance_change_1991_2001","ling_share_distance_ge3_change_1991_2001","rank_percentile_1991","rank_percentile_2001","quintile_1991","quintile_2001","same_quintile","absolute_quintile_change"
"11","01","22","01","SIKKIM",31240,31206,99,FALSE,89,10,15,25,0.448335467349552,0.999143224332429,0.447951344430218,13926,13994,0.447951344430218,17246,0.552048655569782,4.9641677437886,2.77098036699602,4.98399204414218,2.21301167714616,13873,44.4078104993598,44.4078104993598,99.612676056338,55.2048655569782,"candidate",4.9641677437886,4.96075477112929,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,53,53,1,31206,31206,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,4.86397995068515,59.5695712851651,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"16","01","24","01","TRIPURA",1293861,1293861,41,FALSE,35,6,73,79,0.743641704943576,1,0.743641704943576,940014,962169,0.743641704943576,331692,0.256358295056424,3.03677072894659,2.50553115264063,3.54882889598697,1.04329774334634,940014,72.6518536380647,72.6518536380647,98.2876831437071,25.6358295056424,"candidate",3.03677072894659,3.03677072894659,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,263,263,1,1261234,1261234,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,3.51971218946995,98.1684564890708,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"05","01","25","01","UTTAR PRADESH",239709,239709,11,FALSE,5,6,103,109,0.96623405879629,1,0.96623405879629,9507,231615,0.96623405879629,8094,0.0337659412037095,2.99873777216788,2.07959775012783,3.91903869098347,1.83944094085563,9501,3.96355581142135,3.96355581142135,7.3401499317923,3.37659412037095,"candidate",2.99873777216788,2.99873777216788,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,665,663,0.996992481203008,236521,236353,0.999289703662677,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,3.35201640464798,1.99271473307232,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"19","03","26","01","WEST BENGAL",2171145,2171145,26,FALSE,23,3,88,91,0.997060076595529,0.999310778736877,0.996372881590129,2122958,2163270,0.996372881590129,7875,0.00362711840987129,3.00007913486748,2.99268736686545,3.00747031794608,0.0147829510806337,2122229,97.7469952490506,97.7469952490506,98.1097070900377,0.362711840987131,"candidate",3.00007913486748,2.99867448045376,0.99,0.5,"eligible",3.00007913486748,3.00007913486748,2.99867448045376,97.7469952490506,1147,1144,0.997384481255449,2156422,2155838,0.99972918102301,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,3.014491849617,98.1987063642023,"eligible",0.0144127147495201,0.451711115151696,0.422222222222222,0.544444444444444,3,3,TRUE,0
"35","01","27","01","ANDAMAN AND NICOBAR ISLANDS",241453,241453,84,FALSE,69,15,30,45,0.813296997759398,0.998283878129886,0.811901280994645,149697,196036,0.811901280994645,45417,0.188098719005355,4.09695585081865,3.37607244995234,4.30715889172484,0.931086441772502,148338,61.4355588872369,61.4355588872369,80.2454307877724,18.8098719005355,"candidate",4.09695585081865,4.08999960009065,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,291,275,0.945017182130584,217712,217020,0.996821488939516,1,"high_population_coverage_single_target",FALSE,TRUE,0.99,1,4.1423631101797,82.8303602703233,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"04","01","28","01","CHANDIGARH U.T.",642015,642015,11,FALSE,7,4,103,107,0.62218483991807,1,0.62218483991807,7398,399452,0.62218483991807,242563,0.37781516008193,3.29170045958367,1.06782658094663,4.94944011265757,3.88161353171095,5832,0.908389990888063,0.908389990888063,38.689905999081,37.781516008193,"candidate",3.29170045958367,3.29170045958367,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,1,1,1,642015,642015,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,1.29894867208878,3.40690205545608,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"26","01","29","01","DADRA AND NAGAR HAVELI",138477,138477,11,FALSE,8,3,103,106,0.435371939022365,0.918127684983994,0.399727030481596,48361,55353,0.399727030481596,83124,0.600272969518404,1.42532205702942,1.1564360953721,3.68521124082595,2.52877514545385,948,0.684590220758682,0.684590220758682,60.7118871725991,60.0272969518404,"candidate",1.42532205702942,1.38593166594743,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,71,71,1,125594,125594,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,1.66896856581532,5.7974841450145,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"25","02","30","01","DAMAN AND DIU",62101,62101,69,FALSE,54,15,45,60,0.955701196438061,0.980488626790227,0.937054153717331,54668,58192,0.937054153717331,3909,0.0629458462826686,1.04723055535231,1.04407873397409,1.31100944056541,0.266930706591324,727,1.17067358013559,1.17067358013559,7.46525820840244,6.29458462826686,"candidate",1.04723055535231,1.04725396768531,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,22,22,1,61908,61908,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,1.38540210521285,9.26847641852081,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"31","01","32","01","LAKSHADWEEP U.T.",51707,51707,69,FALSE,57,12,45,57,0.0118165818941343,0.932896890343699,0.0110236525035295,533,570,0.0110236525035295,51137,0.98897634749647,4.96622889305816,1.04091348945229,4.99965163537836,3.95873814592607,531,1.02694025953933,1.02694025953933,99.9245750091864,98.897634749647,"candidate",4.96622889305816,4.68292682926829,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,11,11,1,51707,51707,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,4.96879878164858,98.8152423626801,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
"34","02","33","01","PONDICHERRY U.T.",608338,608338,99,FALSE,85,14,15,29,0.0838694936038847,0.990023715724898,0.0830327876936834,41964,50512,0.0830327876936834,557826,0.916967212306317,4.84927556953579,1.26931259274079,4.98945464245819,3.7201420497174,40900,6.7232360957231,6.7232360957231,98.4199573263548,91.6967212306317,"candidate",4.84927556953579,4.80328679396322,0.99,0.5,"below_coverage_threshold",NA,NA,NA,NA,66,66,1,489674,489674,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99,1,4.98336160033589,98.2628877908006,"historical_language_ineligible",NA,NA,NA,NA,NA,NA,NA,NA
