"list_number","list_name","percent_cognates_with_hindi"
73,"Ossetic",15.6424581005587
74,"Afghan",15.2631578947368
59,"Gujarati",64.5502645502645
58,"Marathi",56.4102564102564
79,"Wakhi",15.2941176470588
40,"Lithuanian ST",18.7817258883249
39,"Lithuanian O",19.8979591836735
41,"Latvian",15.2284263959391
92,"SERBOCROATIAN P",21.3903743315508
54,"Serbocroatian",19.4871794871795
46,"Slovak",20.1030927835052
89,"SLOVAK P",21.505376344086
42,"Slovenian",20
91,"SLOVENIAN P",21.9251336898396
86,"UKRAINIAN P",20.4301075268817
85,"RUSSIAN P",21.3903743315508
51,"Russian",20
88,"POLISH P",21.505376344086
50,"Polish",20.1030927835052
94,"BULGARIAN P",21.2765957446809
47,"Czech E",19.1709844559585
93,"MACEDONIAN P",20.6349206349206
53,"Bulgarian",19.8979591836735
45,"Czech",20.3125
90,"CZECH P",21.0810810810811
43,"Lusatian L",21.9251336898396
44,"Lusatian U",21.9251336898396
87,"BYELORUSSIAN P",20.855614973262
52,"Macedonian",20.7446808510638
48,"Ukrainian",19.4871794871795
49,"Byelorussian",19.1709844559585
17,"Sardinian N",17.4358974358974
9,"Vlach",17.2222222222222
18,"Sardinian L",17.6767676767677
15,"French Creole C",14.070351758794
13,"French",17.5879396984925
16,"French Creole D",14.2857142857143
14,"Walloon",17.5
12,"Provencal",17.5
20,"Spanish",18.0904522613065
23,"Catalan",17.8571428571429
10,"Italian",18.1818181818182
19,"Sardinian C",16.8367346938776
11,"Ladin",18.8775510204082
8,"Rumanian List",17.258883248731
83,"Albanian K",10.6598984771574
21,"Portuguese ST",18.6868686868687
22,"Brazilian",18.8775510204082
38,"Takitaki",11.4583333333333
30,"Swedish Up",15.6565656565657
31,"Swedish VL",14.2131979695431
24,"German ST",14.7208121827411
35,"Icelandic ST",14.5077720207254
34,"Riksmal",14.7959183673469
32,"Swedish List",15.2284263959391
33,"Danish",15.6565656565657
36,"Faroese",13.8461538461538
29,"Frisian",13.2275132275132
28,"Flemish",14.2857142857143
25,"Penn. Dutch",15.3439153439153
26,"Dutch List",14.2857142857143
27,"Afrikaans",14.2131979695431
37,"English ST",14.6464646464646
4,"Welsh C",12.8865979381443
3,"Welsh N",12.4352331606218
68,"Greek Mod",12.6262626262626
66,"Greek ML",11.6751269035533
70,"Greek K",13.265306122449
67,"Greek MD",12.3711340206186
69,"Greek D",11.7948717948718
1,"Irish A",11.8556701030928
2,"Irish B",12.1693121693122
7,"Breton ST",14.0625
6,"Breton SE",13.9896373056995
5,"Breton List",13.4715025906736
71,"Armenian Mod",12.4352331606218
72,"Armenian List",11.7021276595745
95,"ALBANIAN",10.5263157894737
82,"Albanian G",10.8108108108108
84,"Albanian C",11.2299465240642
80,"Albanian T",10.8247422680412
81,"Albanian Top",11.2244897959184
76,"Persian List",18.5185185185185
77,"Tadzik",21.1640211640212
75,"Waziri",15.4285714285714
56,"Singhalese",25.8883248730964
63,"Bengali",64.0625
65,"Khaskura",53.3707865168539
64,"Nepali List",64.2487046632124
61,"Lahnda",71.4285714285714
62,"Hindi",100
60,"Panjabi ST",74.4791666666667
55,"Gypsy Gk",30.5084745762712
57,"Kashmiri",42.3913043478261
78,"Baluchi",24.0437158469945
