"mother_tongue_code","mother_tongue","canonical_language","national_speakers","n_districts","match_term","term_source","language_glottocode","glottolog_name","family_id","countries","iso639P3code","alias_basis","provider","is_india_language","candidate_count","candidate_status","review_status","reviewed_glottocode"
"006187","Malvi","Hindi",5565167,150,"Malvi","mother_tongue","malv1243","Malvi","indo1319","IN","mup","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","malv1243"
"008002","Kashmiri","Kashmiri",5362349,395,"Kashmiri","mother_tongue","kash1277","Kashmiri","indo1319","IN;PK","kas","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","kash1277"
"006195","Mewari","Hindi",5091697,308,"Mewari","mother_tongue","mewa1249","Mewari","indo1319","IN","mtr","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","mewa1249"
"006153","Khortha/Khotta","Hindi",4725927,139,"Khotta","mother_tongue_component","mait1250","Maithili","indo1319","IN;NP","mai","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
"030007","Bhili/Bhilodi","Bhili/Bhilodi",3313481,155,"Bhili","mother_tongue_component","bhil1251","Bhili","indo1319","IN","bhb","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bhil1251"
"006060","Bundeli/Bundelkhandi","Hindi",3072147,317,"Bundeli","mother_tongue_component","bund1253","Bundeli","indo1319","IN","bns","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bund1253"
"014009","Nepali","Nepali",2867922,588,"Nepali","mother_tongue","nepa1254","Nepali","indo1319","NP","npi","primary_name","glottolog",FALSE,1,"exact_unique","accepted_manual","nepa1254"
"006016","Bagheli/Baghel Khandi","Hindi",2865011,146,"Bagheli","mother_tongue_component","bagh1251","Bagheli","indo1319","IN;NP","bfy","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","bagh1251"
"006213","Pahari","Hindi",2832825,367,"Pahari","mother_tongue","paha1251","Pahari Potwari","indo1319","IN;PK","phr","primary_name","glottolog",TRUE,1,"exact_unique","unresolved",""
"006171","Lamani/Lambadi","Hindi",2707562,125,"Lambadi","mother_tongue_component","lamb1269","Lambadi","indo1319","IN","lmn","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","lamb1269"
"006008","Awadhi","Hindi",2529308,338,"Awadhi","mother_tongue","awad1243","Awadhi","indo1319","IN;NP","awa","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","awad1243"
"030055","Wagdi","Bhili/Bhilodi",2510811,79,"Wagdi","mother_tongue","wagd1238","Wagdi","indo1319","IN","wbr","primary_name","glottolog",TRUE,1,"exact_unique","accepted_deterministic","wagd1238"
"044006","Gondi","Gondi",2505247,158,"Gondi","mother_tongue","nort2702","Northern Gondi","drav1251","IN","gno","alternate_name","multitree",TRUE,1,"exact_unique","unresolved",""
