"specification_id","label","fixed_effect","controls","sequence"
"state_fe_1991_pca_controls","1991 state FE + PCA91 predetermined controls","state_1991","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991;literacy_share_7plus_1991;main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991",1
"state_fe_1991_all_controls","1991 state FE + all selected 1991 predetermined controls","state_1991","log_population_1991;female_share_1991;child_share_0_6_1991;sc_share_1991;st_share_1991;literacy_share_7plus_1991;main_worker_share_1991;marginal_worker_share_1991;cultivator_share_main_workers_1991;agricultural_labourer_share_main_workers_1991;rural_primary_schools_per_100k_1991;rural_high_schools_per_100k_1991;rural_hospitals_per_100k_1991;rural_phc_per_100k_1991;urban_literacy_share_7plus_1991;urban_primary_schools_per_100k_7plus_1991;urban_hospitals_per_100k_7plus_1991;urban_banks_per_100k_7plus_1991",2
