"source_unit_id","target_set_reference","n_targets_reference","target_set_candidate","n_targets_candidate","source_status"
"census1991__05__01","census2001__10__28",1,"census2001__10__28",1,"exact_target_set_agreement"
"census1991__05__02","census2001__10__26|census2001__10__27",2,"census2001__10__26|census2001__10__27",2,"exact_target_set_agreement"
"census1991__05__03","census2001__10__29|census2001__10__30",2,"census2001__10__29|census2001__10__30",2,"exact_target_set_agreement"
"census1991__05__04","census2001__10__19|census2001__10__31|census2001__10__32",3,"census2001__10__31|census2001__10__32",2,"target_set_conflict"
"census1991__05__09","census2001__10__17",1,"census2001__10__17",1,"exact_target_set_agreement"
"census1991__05__10","census2001__10__16",1,"census2001__10__16",1,"exact_target_set_agreement"
"census1991__05__11","census2001__10__15",1,"census2001__10__15",1,"exact_target_set_agreement"
"census1991__05__17","census2001__10__20|census2001__10__24",2,"census2001__10__20",1,"target_set_conflict"
"census1991__05__21","census2001__10__06|census2001__10__12",2,"census2001__10__06|census2001__10__12",2,"exact_target_set_agreement"
"census1991__05__22","census2001__10__11",1,"census2001__10__11",1,"exact_target_set_agreement"
