"state_code_1991","district_code_1991","state_code_2001","district_code_2001","n_shrid_mapped","population_1991_mapped","area_1991_mapped","n_shrid_total","population_1991_total","area_1991_total","population_share_to_2001","area_share_to_2001","n_target_2001_districts","shrid_coverage","mapping_class"
"03","09","12","05",1,5,2.0924394,460,103611,7525.13907583,4.82574244047447e-05,0.000278059897486906,2,0.954347826086957,"non_nested_or_incomplete"
"03","10","12","12",43,8168,451.97420846,43,8168,451.97420846,1,1,1,1,"deterministic_containment"
"03","11","12","13",149,84777,1974.6551021,149,84777,1974.6551021,1,1,1,1,"deterministic_containment"
"04","01","18","02",1162,1204842,2289.688986716,1200,1211151,2351.985486586,0.994790905510543,0.973513229471315,1,0.968333333333333,"non_nested_or_incomplete"
"04","02","18","01",898,782346,1659.22590491,916,789123,1680.94840481,0.991411985203828,0.9870772357808,1,0.980349344978166,"non_nested_or_incomplete"
"04","03","18","04",851,798673,1613.07310937,863,807523,1626.88210837,0.989040559835447,0.99151198545429,1,0.986095017381228,"non_nested_or_incomplete"
"04","04","18","03",721,660836,1672.372338604,746,668053,1688.379038624,0.989196964911467,0.990519486647355,1,0.966487935656836,"non_nested_or_incomplete"
"04","05","18","05",1039,1375235,3011.71984153,1049,1378609,3023.47885983,0.997552605561113,0.996110765497245,1,0.990467111534795,"non_nested_or_incomplete"
"04","06","18","07",788,1009666,1968.44964364,804,1015867,1998.17024354,0.993895854477013,0.985126092235591,1,0.980099502487562,"non_nested_or_incomplete"
"04","07","18","06",1295,1997518,3029.797184179,1304,1999737,3035.471484149,0.998890354081562,0.998130669321181,1,0.993098159509202,"non_nested_or_incomplete"
"04","08","18","08",1313,1280538,3904.43203700601,1328,1293444,3914.39003680601,0.99002198780929,0.997456053253159,1,0.988704819277108,"non_nested_or_incomplete"
"04","09","18","11",1577,1363756,2959.824048462,1615,1375247,2980.579829102,0.991644410058702,0.993036327885822,1,0.976470588235294,"non_nested_or_incomplete"
"04","10","18","12",1107,740005,2026.979918756,1115,743152,2030.789918756,0.995765334682541,0.99812388274887,1,0.992825112107623,"non_nested_or_incomplete"
"04","11","18","13",1058,449953,1621.082375833,1095,461711,1656.240876113,0.974533853427794,0.978772109306641,1,0.9662100456621,"non_nested_or_incomplete"
"04","12","18","09",562,634302,1320.50470797,570,638840,1327.44390817,0.99289649990608,0.994772509665161,1,0.985964912280702,"non_nested_or_incomplete"
"04","13","18","10",1348,1869039,3032.208172236,1367,1873039,3041.660934106,0.997864433148482,0.996892236815745,1,0.986100950987564,"non_nested_or_incomplete"
"04","14","18","18",1035,809658,2353.070602656,1052,815223,2358.407002686,0.993173646965309,0.997737286217382,1,0.98384030418251,"non_nested_or_incomplete"
"04","15","18","17",771,856702,2098.70769016,798,860020,2111.94439016,0.996141950187205,0.99373245807907,1,0.966165413533835,"non_nested_or_incomplete"
"04","16","18","16",859,901286,2366.21779038,865,901993,2368.54169038,0.999216180169913,0.999018847753688,1,0.993063583815029,"non_nested_or_incomplete"
"04","17","18","15",1277,1008236,2267.999064666,1292,1010357,2271.066567422,0.997900742014951,0.998649311825552,1,0.988390092879257,"non_nested_or_incomplete"
"04","18","18","14",1084,928652,2196.58937552,1116,935921,2241.77646744,0.992233318837808,0.979843176794696,1,0.971326164874552,"non_nested_or_incomplete"
"04","19","18","19",2219,618985,1671.414869617,2487,655651,1744.810726767,0.944076955575451,0.957934774228494,1,0.892239646160032,"non_nested_or_incomplete"
"04","20","18","20",538,141147,2329.04827959,564,144422,2361.64297129,0.977323399482073,0.986198298347275,1,0.953900709219858,"non_nested_or_incomplete"
"04","21","18","22",884,821954,1322.575384448,894,825212,1328.203340448,0.996051923626898,0.995762730126773,1,0.988814317673378,"non_nested_or_incomplete"
"04","22","18","23",326,448333,808.91645847,328,448667,810.706991700001,0.999255572618445,0.997791392885059,1,0.99390243902439,"non_nested_or_incomplete"
"04","23","18","21",1003,1178787,2356.99616902599,1014,1179325,2360.92627566599,0.999543806838658,0.998335353932688,1,0.989151873767258,"non_nested_or_incomplete"
"05","01","10","28",1259,3587691,2992.49723591001,1263,3589504,3036.71253351001,0.99949491628927,0.985439748704533,1,0.996832937450515,"non_nested_or_incomplete"
"05","02","10","27",994,1986421,2299.26279584,998,1997995,2324.42169684,0.994207192710692,0.98917627509922,2,0.997995991983968,"non_nested_or_incomplete"
"05","02","10","26",2,1738,11.7398,998,1997995,2324.42169684,0.000869872046726844,0.00505063260077119,2,0.997995991983968,"non_nested_or_incomplete"
"05","03","10","29",997,1791184,2240.13590675,1814,2880447,3708.27029515002,0.62184237377046,0.604091861825669,2,0.99393605292172,"non_nested_or_incomplete"
"05","03","10","30",806,1086574,1459.46618842,1814,2880447,3708.27029515002,0.377224090566499,0.393570606309041,2,0.99393605292172,"non_nested_or_incomplete"
"05","04","10","32",1692,1933361,3508.37025263001,2990,2908427,6472.27348642006,0.66474455092048,0.542061496627294,3,0.992642140468227,"non_nested_or_incomplete"
"05","04","10","31",1275,973142,2932.62563388001,2990,2908427,6472.27348642006,0.334593923106889,0.453105951105614,3,0.992642140468227,"non_nested_or_incomplete"
"05","04","10","19",1,789,1.1209999,2990,2908427,6472.27348642006,0.000271280661333429,0.000173200329428608,3,0.992642140468227,"non_nested_or_incomplete"
"05","05","10","34",1736,1539030,3247.93930073002,1742,1539608,3251.17670081002,0.99962457976316,0.999004237426039,1,0.996555683122847,"non_nested_or_incomplete"
"05","06","10","33",838,1174900,1553.275216973,838,1174900,1553.275216973,1,1,1,1,"deterministic_containment"
"05","07","10","35",2642,2648217,4752.02953423103,2646,2648467,4755.07273422103,0.999905605771188,0.999360009791628,1,0.99848828420257,"non_nested_or_incomplete"
"05","08","10","36",952,1358685,2296.04969985,954,1358690,2303.05469985,0.999996319984691,0.996958387484042,1,0.9979035639413,"non_nested_or_incomplete"
"05","09","10","17",1563,2572744,2420.85385173401,1564,2572745,2423.07145163401,0.999999611310099,0.999084797974693,1,0.999360613810742,"non_nested_or_incomplete"
"05","10","10","16",1432,2169976,2182.163656024,1433,2170036,2182.345756024,0.999972350689113,0.999916557676758,1,0.999302163293789,"non_nested_or_incomplete"
"05","11","10","15",1369,1700975,1902.790126254,1381,1704310,1923.158505239,0.998043196366858,0.989408892231445,1,0.991310644460536,"non_nested_or_incomplete"
"05","12","10","01",1345,2327091,4271.62535138002,1361,2333271,4304.56645152002,0.997351357814845,0.992347405827974,1,0.988243938280676,"non_nested_or_incomplete"
"05","13","10","02",1252,3026219,3908.09394680002,1254,3026452,3909.84624675002,0.999923012160774,0.999551823821344,1,0.998405103668262,"non_nested_or_incomplete"
"05","14","10","04",798,2013136,2159.84345336,990,2391495,2597.156353,0.841789759125568,0.831618570389551,2,0.996969696969697,"non_nested_or_incomplete"
