"source_vintage","target_vintage","source_state_code","source_district_code","source_unit_id","target_state_code","target_district_code","target_unit_id","population_weight","area_weight","source_coverage","target_coverage","mapping_class","evidence_source","source_degree","target_degree","topology"
1991,2001,"05","33","census1991__05__33","20","06","census2001__20__06",0.6723,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","11","census1991__05__11","10","15","census2001__10__15",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","25","census1991__05__25","10","21","census2001__10__21",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","22","census1991__05__22","10","11","census2001__10__11",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","26","census1991__05__26","10","37","census2001__10__37",0.3436,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,1,"split"
1991,2001,"05","26","census1991__05__26","10","25","census2001__10__25",0.2112,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,1,"split"
1991,2001,"05","26","census1991__05__26","10","24","census2001__10__24",0.3084,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,1,"split"
1991,2001,"05","26","census1991__05__26","10","26","census2001__10__26",0.1368,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,2,"many_to_many"
1991,2001,"05","02","census1991__05__02","10","27","census2001__10__27",0.9991,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","02","census1991__05__02","10","26","census2001__10__26",9e-04,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"05","01","census1991__05__01","10","28","census2001__10__28",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","04","census1991__05__04","10","31","census2001__10__31",0.339,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","04","census1991__05__04","10","32","census2001__10__32",0.661,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","21","census1991__05__21","10","12","census2001__10__12",0.4575,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","21","census1991__05__21","10","06","census2001__10__06",0.5425,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"05","09","census1991__05__09","10","17","census2001__10__17",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"05","10","census1991__05__10","10","16","census2001__10__16",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"28","01","census1991__28__01","04","01","census2001__04__01",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"07","05","census1991__07__05","24","13","census2001__24__13",0.8676,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"07","05","census1991__07__05","24","12","census2001__24__12",0.1324,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"07","16","census1991__07__16","24","21","census2001__24__21",0.7427,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"07","16","census1991__07__16","24","20","census2001__24__20",0.2573,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"07","04","census1991__07__04","24","13","census2001__24__13",0.0969,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"07","04","census1991__07__04","24","14","census2001__24__14",0.9031,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"07","11","census1991__07__11","24","06","census2001__24__06",1,NA,1,0.3903,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,2,"merger"
1991,2001,"07","06","census1991__07__06","24","12","census2001__24__12",0.804,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"07","06","census1991__07__06","24","11","census2001__24__11",0.196,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"07","13","census1991__07__13","24","15","census2001__24__15",0.4774,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,1,"split"
1991,2001,"07","13","census1991__07__13","24","06","census2001__24__06",0.0033,NA,1,0.3903,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,2,"many_to_many"
1991,2001,"07","13","census1991__07__13","24","16","census2001__24__16",0.5193,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,1,"split"
1991,2001,"07","03","census1991__07__03","24","08","census2001__24__08",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"07","15","census1991__07__15","24","20","census2001__24__20",0.0167,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"07","15","census1991__07__15","24","19","census2001__24__19",0.9833,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"08","01","census1991__08__01","06","02","census2001__06__02",0.7221,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"08","01","census1991__08__01","06","01","census2001__06__01",0.2779,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"08","09","census1991__08__09","06","19","census2001__06__19",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"08","10","census1991__08__10","06","18","census2001__06__18",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"08","15","census1991__08__15","06","10","census2001__06__10",0.3503,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"08","15","census1991__08__15","06","12","census2001__06__12",0.6497,NA,1,0.9982,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"08","14","census1991__08__14","06","09","census2001__06__09",0.9808,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,3,"many_to_many"
1991,2001,"08","14","census1991__08__14","06","05","census2001__06__05",0.0105,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,3,"many_to_many"
1991,2001,"08","14","census1991__08__14","06","06","census2001__06__06",0.0087,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,4,"many_to_many"
1991,2001,"08","04","census1991__08__04","06","09","census2001__06__09",0.0382,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,3,"many_to_many"
1991,2001,"08","04","census1991__08__04","06","05","census2001__06__05",0.9356,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,3,"many_to_many"
1991,2001,"08","04","census1991__08__04","06","06","census2001__06__06",0.0096,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,4,"many_to_many"
1991,2001,"08","04","census1991__08__04","06","04","census2001__06__04",0.0166,NA,1,0.9766,"kumar_somanathan_exact_names","kumar_somanathan_2016",4,3,"many_to_many"
1991,2001,"08","05","census1991__08__05","06","06","census2001__06__06",0.9785,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,4,"many_to_many"
1991,2001,"08","05","census1991__08__05","06","04","census2001__06__04",0.0024,NA,1,0.9766,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,3,"many_to_many"
1991,2001,"08","05","census1991__08__05","06","07","census2001__06__07",0.0191,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,2,"many_to_many"
1991,2001,"08","03","census1991__08__03","06","05","census2001__06__05",0.0061,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,3,"many_to_many"
1991,2001,"08","03","census1991__08__03","06","04","census2001__06__04",0.9939,NA,1,0.9766,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,3,"many_to_many"
1991,2001,"08","12","census1991__08__12","06","16","census2001__06__16",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"08","06","census1991__08__06","06","06","census2001__06__06",0.1828,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,4,"many_to_many"
1991,2001,"08","06","census1991__08__06","06","07","census2001__06__07",0.8172,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"08","11","census1991__08__11","06","15","census2001__06__15",0.0204,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"08","11","census1991__08__11","06","17","census2001__06__17",0.9796,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"08","08","census1991__08__08","06","13","census2001__06__13",0.0143,NA,1,0.0222,"kumar_somanathan_exact_names","kumar_somanathan_2016",6,1,"split"
1991,2001,"08","08","census1991__08__08","06","12","census2001__06__12",0.0047,NA,1,0.9982,"kumar_somanathan_exact_names","kumar_somanathan_2016",6,2,"many_to_many"
1991,2001,"08","08","census1991__08__08","06","15","census2001__06__15",0.3884,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",6,2,"many_to_many"
1991,2001,"08","08","census1991__08__08","06","09","census2001__06__09",0.0025,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",6,3,"many_to_many"
1991,2001,"08","08","census1991__08__08","06","14","census2001__06__14",0.4296,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",6,1,"split"
1991,2001,"08","08","census1991__08__08","06","08","census2001__06__08",0.1605,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",6,2,"many_to_many"
1991,2001,"08","16","census1991__08__16","06","11","census2001__06__11",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"08","07","census1991__08__07","06","08","census2001__06__08",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,2,"merger"
1991,2001,"09","01","census1991__09__01","02","01","census2001__02__01",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"09","02","census1991__09__02","02","02","census2001__02__02",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"09","09","census1991__09__09","02","11","census2001__02__11",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"09","10","census1991__09__10","02","09","census2001__02__09",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"09","04","census1991__09__04","02","07","census2001__02__07",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","01","census1991__10__01","01","06","census2001__01__06",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","04","census1991__10__04","01","04","census2001__01__04",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","09","census1991__10__09","01","09","census2001__01__09",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","12","census1991__10__12","01","13","census2001__01__13",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","11","census1991__10__11","01","14","census2001__01__14",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","06","census1991__10__06","01","01","census2001__01__01",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","02","census1991__10__02","01","05","census2001__01__05",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","03","census1991__10__03","01","03","census2001__01__03",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"10","10","census1991__10__10","01","10","census2001__01__10",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"11","03","census1991__11__03","29","01","census2001__29__01",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"11","04","census1991__11__04","29","12","census2001__29__12",0.8761,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"11","04","census1991__11__04","29","14","census2001__29__14",0.1239,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,3,"many_to_many"
1991,2001,"11","08","census1991__11__08","29","13","census2001__29__13",0.602,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"11","08","census1991__11__08","29","14","census2001__29__14",0.398,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,3,"many_to_many"
1991,2001,"11","10","census1991__11__10","29","09","census2001__29__09",0.3925,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,1,"split"
1991,2001,"11","10","census1991__11__10","29","08","census2001__29__08",0.2452,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,1,"split"
1991,2001,"11","10","census1991__11__10","29","11","census2001__29__11",0.3623,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",3,1,"split"
1991,2001,"11","17","census1991__11__17","29","07","census2001__29__07",0.4148,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"11","17","census1991__11__17","29","06","census2001__29__06",0.5852,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"11","18","census1991__11__18","29","14","census2001__29__14",0.2395,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,3,"many_to_many"
1991,2001,"11","18","census1991__11__18","29","15","census2001__29__15",0.7605,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"11","20","census1991__11__20","29","10","census2001__29__10",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"12","08","census1991__12__08","32","08","census2001__32__08",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,2,"merger"
1991,2001,"12","09","census1991__12__09","32","08","census2001__32__08",0.0214,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"12","09","census1991__12__09","32","09","census2001__32__09",0.9786,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"12","02","census1991__12__02","32","02","census2001__32__02",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"12","13","census1991__12__13","32","13","census2001__32__13",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"12","10","census1991__12__10","32","10","census2001__32__10",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"12","04","census1991__12__04","32","04","census2001__32__04",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"12","06","census1991__12__06","32","06","census2001__32__06",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"12","12","census1991__12__12","32","12","census2001__32__12",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"12","03","census1991__12__03","32","03","census2001__32__03",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"13","28","census1991__13__28","23","32","census2001__23__32",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"13","04","census1991__13__04","23","05","census2001__23__05",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,2,"merger"
1991,2001,"13","43","census1991__13__43","22","10","census2001__22__10",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"13","03","census1991__13__03","23","05","census2001__23__05",0.0843,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,2,"many_to_many"
1991,2001,"13","03","census1991__13__03","23","04","census2001__23__04",0.9157,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"13","32","census1991__13__32","23","36","census2001__23__36",0.3005,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"13","32","census1991__13__32","23","37","census2001__23__37",0.6995,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"13","29","census1991__13__29","23","33","census2001__23__33",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","28","census1991__14__28","27","10","census2001__27__10",0.4846,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"14","28","census1991__14__28","27","11","census2001__27__11",0.5154,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"14","18","census1991__14__18","27","27","census2001__27__27",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","16","census1991__14__16","27","18","census2001__27__18",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","14","census1991__14__14","27","34","census2001__27__34",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","21","census1991__14__21","27","28","census2001__27__28",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","27","census1991__14__27","27","09","census2001__27__09",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","20","census1991__14__20","27","29","census2001__27__29",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","17","census1991__14__17","27","16","census2001__27__16",0.3892,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"14","17","census1991__14__17","27","17","census2001__27__17",0.6108,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
1991,2001,"14","04","census1991__14__04","27","32","census2001__27__32",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","12","census1991__14__12","27","35","census2001__27__35",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","05","census1991__14__05","27","33","census2001__27__33",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"14","13","census1991__14__13","27","30","census2001__27__30",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"15","06","census1991__15__06","14","04","census2001__14__04",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"15","04","census1991__15__04","14","09","census2001__14__09",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"15","03","census1991__15__03","14","03","census2001__14__03",1,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",1,1,"one_to_one"
1991,2001,"15","07","census1991__15__07","14","07","census2001__14__07",0.4646,NA,1,1,"kumar_somanathan_exact_names","kumar_somanathan_2016",2,1,"split"
