"state_code_2001","district_code_2001","leverage","cooks_distance","studentized_residual","instrument_dfbeta"
"01","01",0.124317367019829,0.0265139400932627,-3.04897384094197,-0.0820015858577844
"01","02",0.122881622153162,0.0149435255354467,-2.2954731273159,-0.116993630393465
"01","03",0.147501874800978,0.00105640646466372,0.546601382699259,0.0173546682325797
"01","04",0.133935399823872,0.00077300872213396,-0.494543404802289,-0.0309173006956656
"01","05",0.140473832502644,0.0296815396851692,3.00592250172441,0.164345444452289
"01","06",0.119127838708915,0.0233838439325388,2.93177562158128,0.119326128200949
"01","09",0.120574705727383,0.065935060488407,4.9625435870545,0.0921114611245535
"01","10",0.156276923773901,0.0611125297111104,4.08043180529287,-0.28107232847427
"01","12",0.135593568070074,0.0904166128184042,-5.4585636255821,0.471293339579895
"01","13",0.200899542792867,0.0190889232493775,-1.93389305489157,0.125902917047676
"01","14",0.183934651554748,0.02606289978931,-2.3910359970257,0.166170899247327
"02","01",0.0995333552711013,0.000113969272794967,0.224567839118624,-0.00315250824855511
"02","02",0.104634149887893,0.00151623822699804,0.797065697206451,-0.00223855926201983
"02","03",0.205696842043342,0.00389703482613203,-0.858490518563043,-0.0264100493667402
"02","04",0.116938740111966,0.00584128572075895,-1.47180821950549,-0.140490406339731
"02","05",0.0953855410652606,0.000438073379911988,-0.450849445494745,0.00186171017208895
"02","06",0.106932402756298,4.95146295845515e-05,-0.142215164788442,0.00526550936426119
"02","07",0.104802724669229,0.000116219503094084,-0.220351492221955,0.013032673556734
"02","08",0.102092043150173,7.52121152971332e-05,0.179870746674949,-0.00987010216711702
"02","09",0.0947264004134465,0.000660601090201636,-0.555821735701327,0.0100446799293453
"02","10",0.100516408573824,0.00148589045609433,0.806909717661909,-0.0110981010972003
"02","11",0.100581087114341,0.0161340858929163,2.67440894277267,-0.0155741144088331
"02","12",0.155500156219132,0.0042484459292655,-1.06341229122074,-0.0940359257729871
"03","01",0.0768340198616331,1.73805430531508e-05,0.101060692642201,-0.0003698189075671
"03","02",0.072282334350978,0.000501875561675368,-0.561440749281805,-0.00125196939717807
"03","03",0.0694550387272168,0.00337325559370384,1.48985607047105,-0.0064067053789727
