"mother_tongue_code","mother_tongue","asjp_list_name","anchor","shastry_degree","mean_ldnd","n_list_pairs","min_shared_meanings"
"006008","Awadhi","AWADHI","Hindi",0,0.608663454909321,2,36
"006008","Awadhi","AWADHI","Punjabi",1,0.642365858404576,1,37
"006008","Awadhi","AWADHI","Rajasthani",1,NA,0,NA
"006008","Awadhi","AWADHI","Gujarati",1,0.6584997025562,1,37
"006008","Awadhi","AWADHI","Marathi",2,0.692163419223098,2,32
"006008","Awadhi","AWADHI","Bengali",3,0.70092230503024,2,37
"006008","Awadhi","AWADHI","Assamese",3,0.631082761904648,1,34
"006008","Awadhi","AWADHI","Oriya",3,NA,0,NA
"006008","Awadhi","AWADHI","Kashmiri",4,0.891206683018043,1,37
"006008","Awadhi","AWADHI","Sindhi",4,0.698427330400715,1,37
"006008","Awadhi","AWADHI","Sinhalese",4,0.847189329239036,1,27
"006016","Bagheli/Baghel Khandi","BAGHELI","Hindi",0,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Punjabi",1,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Rajasthani",1,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Gujarati",1,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Marathi",2,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Bengali",3,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Assamese",3,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Oriya",3,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Kashmiri",4,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Sindhi",4,NA,0,NA
"006016","Bagheli/Baghel Khandi","BAGHELI","Sinhalese",4,NA,0,NA
"006017","Bagri Rajasthani","BAGRI","Hindi",0,0.60173319950151,2,34
"006017","Bagri Rajasthani","BAGRI","Punjabi",1,0.571951685500917,1,35
"006017","Bagri Rajasthani","BAGRI","Rajasthani",1,NA,0,NA
"006017","Bagri Rajasthani","BAGRI","Gujarati",1,0.648744545740053,1,35
"006017","Bagri Rajasthani","BAGRI","Marathi",2,0.60944721959753,2,33
"006017","Bagri Rajasthani","BAGRI","Bengali",3,0.669855593230453,2,35
"006017","Bagri Rajasthani","BAGRI","Assamese",3,0.62484346273747,1,34
"006017","Bagri Rajasthani","BAGRI","Oriya",3,NA,0,NA
"006017","Bagri Rajasthani","BAGRI","Kashmiri",4,0.839910014883729,1,35
"006017","Bagri Rajasthani","BAGRI","Sindhi",4,0.659933851451593,1,34
"006017","Bagri Rajasthani","BAGRI","Sinhalese",4,0.831597469919627,1,29
"006038","Bhadrawahi","BHADRAWAHI","Hindi",0,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Punjabi",1,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Rajasthani",1,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Gujarati",1,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Marathi",2,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Bengali",3,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Assamese",3,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Oriya",3,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Kashmiri",4,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Sindhi",4,NA,0,NA
"006038","Bhadrawahi","BHADRAWAHI","Sinhalese",4,NA,0,NA
"006064","Chambeali","CHAMBEALI","Hindi",0,NA,0,NA
"006064","Chambeali","CHAMBEALI","Punjabi",1,NA,0,NA
"006064","Chambeali","CHAMBEALI","Rajasthani",1,NA,0,NA
"006064","Chambeali","CHAMBEALI","Gujarati",1,NA,0,NA
"006064","Chambeali","CHAMBEALI","Marathi",2,NA,0,NA
