"geography_spec_id","source_coverage_threshold","predictor","fixed_effect","variable","domain","source","label","estimate","std.error","p.value","standardized_effect","n","n_states","population_1991","status","predictor_id"
"G2_population_interpolated",0.9,"emie_exposure","none","log_population_1991","demography","PCA91","Log population",0.00284405014388866,0.0057376265025517,0.620320865225588,0.0561390023061325,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","female_share_1991","demography","PCA91","Female population share",0.0214342628611403,0.0170726960948347,0.209856142952359,0.176765108810227,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.131998428667948,0.0222011311227256,4.97497823268465e-09,-0.593849409114083,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0823609288226669,0.0709426125138267,0.246179384855234,-0.141351011646176,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.0869088933332716,0.115333895428691,0.45145598263617,-0.0763223113770694,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.686928571295751,0.172511536692096,7.78098949145956e-05,0.56649262234949,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","main_worker_share_1991","economic_structure","PCA91","Main-worker share",0.065499397335823,0.0687850463535113,0.3414087824466,0.133783250760459,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","marginal_worker_share_1991","economic_structure","PCA91","Marginal-worker share",-0.054176897280961,0.0202556415798613,0.00770945559243401,-0.264925352362732,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","cultivator_share_main_workers_1991","economic_structure","PCA91","Cultivator share of main workers",-0.738807344969197,0.140201815728832,1.98584392700408e-07,-0.540844868652693,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","none","agricultural_labourer_share_main_workers_1991","economic_structure","PCA91","Agricultural-labourer share of main workers",-0.112851364627822,0.120923201486914,0.351112800662132,-0.111118872538294,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","state","log_population_1991","demography","PCA91","Log population",0.0170516427062516,0.00403287847711579,2.79823802847109e-05,0.336584153154467,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","state","female_share_1991","demography","PCA91","Female population share",-0.03855949388655,0.00968406642887326,7.84780287430055e-05,-0.317994286842515,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","state","child_share_0_6_1991","demography","PCA91","Population age 0-6 share",-0.090084023373604,0.018803378327246,2.18770598448987e-06,-0.405280158187397,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","state","sc_share_1991","demography","PCA91","Scheduled Caste share",-0.0658736323717691,0.0405230177934746,0.104662947916997,-0.113054875772543,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","state","st_share_1991","demography","PCA91","Scheduled Tribe share",-0.100710301799522,0.0613459598617441,0.101280590081165,-0.0884425369834862,537,32,781143441.600941,"estimated","eventual_emie"
"G2_population_interpolated",0.9,"emie_exposure","state","literacy_share_7plus_1991","human_capital","PCA91","Literacy share, age 7+",0.615783263081887,0.0803520523133971,9.35364767811653e-14,0.507820885720585,537,32,781143441.600941,"estimated","eventual_emie"
