"specification_id","instrument","estimate","std.error","p.value","first_stage_estimate","first_stage_std.error","first_stage_f","first_stage_p.value","n","status","reason"
"region_main__distance_shares_all","ling_share_distance_1",-0.0115686444260875,0.00903875416776264,0.201120161519576,0.050616015887048,0.0329886046609106,2.35422530163714,0.125516872562192,573,"estimated",NA
"region_main__distance_shares_all","ling_share_distance_2",-0.0197697175839556,0.00723256646383942,0.00646889463244407,0.113964004304158,0.0497702952101775,5.24318241427419,0.0224093791650236,573,"estimated",NA
"region_main__distance_shares_all","ling_share_distance_3",-0.0061085669275272,0.00474498360305508,0.198503587676399,-0.233737496587933,0.105885351127249,4.87287212095789,0.0276926445937897,573,"estimated",NA
"region_main__distance_shares_all","ling_share_distance_4",-0.0042978905142929,0.0019057607764837,0.0245110397530051,0.684493089837966,0.0706862641143371,93.7708986651133,1.37660144974938e-20,573,"estimated",NA
"region_main__distance_shares_all","ling_share_distance_5",0.555738023848132,17.713149829779,0.974982361506056,0.00292739549644298,0.093201087072797,0.000986553961856349,0.974954352784009,573,"estimated",NA
"region_main__distance_shares_all_unmapped","ling_share_distance_1",-0.00274957537224711,0.0063162132440491,0.663500781933565,0.0622419999330638,0.0354254418678216,3.08699926135859,0.0794766138566645,573,"estimated",NA
"region_main__distance_shares_all_unmapped","ling_share_distance_2",-0.013356873067716,0.00577994411170158,0.0212073178718226,0.126290022369768,0.0487499151448809,6.71104810966248,0.0098358911514453,573,"estimated",NA
"region_main__distance_shares_all_unmapped","ling_share_distance_3",-0.0114621374742223,0.00628907879077116,0.0689149481527162,-0.204321893207521,0.0981986847779597,4.32930781959441,0.0379236848295445,573,"estimated",NA
"region_main__distance_shares_all_unmapped","ling_share_distance_4",-0.0035476847272875,0.00192751515335055,0.0662263020001856,0.69155574982889,0.075760296239862,83.3241831250463,1.31677546443535e-18,573,"estimated",NA
"region_main__distance_shares_all_unmapped","ling_share_distance_5",0.0650365494562333,0.146624643250009,0.657536531979474,0.0422632077461421,0.0933145344587165,0.205128651837099,0.650791217831436,573,"estimated",NA
"region_main__distance_shares_mapped","ling_mapped_share_distance_1",-0.00633076317312854,0.00572611321758001,0.269383405219326,0.0671343758055008,0.0354249077493804,3.59147175045346,0.0585989997438505,573,"estimated",NA
"region_main__distance_shares_mapped","ling_mapped_share_distance_2",-0.0156878753979799,0.00625669168957323,0.0124492026894356,0.120584679505271,0.0486342512344773,6.14751785809111,0.0134570712047805,573,"estimated",NA
"region_main__distance_shares_mapped","ling_mapped_share_distance_3",-0.0121685597825738,0.0097981625514806,0.214792512570827,-0.128719390692071,0.0702710116939679,3.35533230592317,0.0675263787390954,573,"estimated",NA
"region_main__distance_shares_mapped","ling_mapped_share_distance_4",-0.00320227822425073,0.00172310895542757,0.0636399936807551,0.595536471948898,0.074399175697025,64.0737997947566,7.116872043344e-15,573,"estimated",NA
"region_main__distance_shares_mapped","ling_mapped_share_distance_5",0.00755282244330234,0.00936421680034237,0.420266168266288,0.176917996283665,0.103845704017716,2.9024647511544,0.0890070476064599,573,"estimated",NA
"state_main__distance_shares_all","ling_share_distance_1",-0.0108672693107394,0.0178480568814355,0.542870416391458,0.0383952718244962,0.0169404516063562,5.13695221235625,0.0238293860068663,573,"estimated",NA
"state_main__distance_shares_all","ling_share_distance_2",-0.13245649890278,0.360846884267018,0.713714383157421,-0.0195174438720244,0.047027642036842,0.172242162976128,0.678296959761943,573,"estimated",NA
"state_main__distance_shares_all","ling_share_distance_3",-0.0269715301209705,0.0935456609796773,0.77321238649412,-0.0120390966413577,0.0125937828214706,0.91385102233215,0.33953634428845,573,"estimated",NA
"state_main__distance_shares_all","ling_share_distance_4",-0.00552131815672099,0.00620306996740115,0.373824421741104,0.284086163244188,0.0701719325764385,16.3897861853423,5.93639204865739e-05,573,"estimated",NA
"state_main__distance_shares_all","ling_share_distance_5",0.109479817760353,0.315958441796788,0.729105826856728,0.0183149318468226,0.0521593317736827,0.123295315432147,0.72562897913921,573,"estimated",NA
"state_main__distance_shares_all_unmapped","ling_share_distance_1",-0.00870081852260542,0.0167715760824282,0.604131933611681,0.0373184223679229,0.016141389883273,5.34520906209054,0.0211683507750306,573,"estimated",NA
"state_main__distance_shares_all_unmapped","ling_share_distance_2",-0.136935241548919,0.447964486171287,0.759967922721791,-0.0185749826400363,0.0545589548118922,0.115911025779848,0.733649567081196,573,"estimated",NA
"state_main__distance_shares_all_unmapped","ling_share_distance_3",-0.0363892264609965,0.100392238411072,0.717147439696938,-0.0140527631243444,0.0198196593841828,0.502725689577531,0.478622068261226,573,"estimated",NA
"state_main__distance_shares_all_unmapped","ling_share_distance_4",-0.00513335640529713,0.00590326650439378,0.38493096767104,0.282632914931538,0.0671866187420269,17.6961953919216,3.05120519952604e-05,573,"estimated",NA
"state_main__distance_shares_all_unmapped","ling_share_distance_5",0.145709753713047,0.484811020106949,0.763877867557723,0.0155371268541764,0.0514618425441956,0.0911529566032189,0.762836973343635,573,"estimated",NA
"state_main__distance_shares_mapped","ling_mapped_share_distance_1",-0.0138228629775386,0.0264376469150635,0.601301659017223,0.0228370643449808,0.0178368002093062,1.63925552277577,0.200995192609049,573,"estimated",NA
"state_main__distance_shares_mapped","ling_mapped_share_distance_2",0.330981913856389,1.27656807323076,0.7955252527844,0.00905400658872701,0.0368987744774709,0.0602084889862224,0.80626297145721,573,"estimated",NA
"state_main__distance_shares_mapped","ling_mapped_share_distance_3",-0.073976940098729,0.272422367325862,0.786073379165726,-0.00590922657365138,0.0122087372745053,0.234271677996806,0.628576980208321,573,"estimated",NA
"state_main__distance_shares_mapped","ling_mapped_share_distance_4",-0.00298988900312907,0.00744874506814155,0.688293286228047,0.206558062106054,0.0961747690140942,4.61277208751971,0.0321934875846656,573,"estimated",NA
"state_main__distance_shares_mapped","ling_mapped_share_distance_5",0.0542079109615859,0.0744317135672819,0.466761717839118,0.0370792149808869,0.0416141233648742,0.793925152784656,0.373325594409274,573,"estimated",NA
