"harmonized_region_id","geography_variant","harmonized_component_id","component_class","vintage","state_code","district_code","unit_id","side","source_coverage_complete","target_coverage_complete","deterministic_amalgamation_eligible"
"geo_component_0015","deterministic_amalgamation","geo_component_0015","one_to_one",1991,"02","16","census1991__02__16","source",TRUE,TRUE,TRUE
"geo_component_0015","deterministic_amalgamation","geo_component_0015","one_to_one",2001,"28","05","census2001__28__05","target",TRUE,TRUE,TRUE
"geo_component_0086","deterministic_amalgamation","geo_component_0086","one_to_one",1991,"05","36","census1991__05__36","source",TRUE,TRUE,TRUE
"geo_component_0086","deterministic_amalgamation","geo_component_0086","one_to_one",2001,"20","15","census2001__20__15","target",TRUE,TRUE,TRUE
"geo_component_0104","deterministic_amalgamation","geo_component_0104","one_to_one",1991,"07","19","census1991__07__19","source",TRUE,TRUE,TRUE
"geo_component_0104","deterministic_amalgamation","geo_component_0104","one_to_one",2001,"24","23","census2001__24__23","target",TRUE,TRUE,TRUE
"geo_component_0141","deterministic_amalgamation","geo_component_0141","one_to_one",1991,"12","01","census1991__12__01","source",TRUE,TRUE,TRUE
"geo_component_0141","deterministic_amalgamation","geo_component_0141","one_to_one",2001,"32","01","census2001__32__01","target",TRUE,TRUE,TRUE
"geo_component_0142","deterministic_amalgamation","geo_component_0142","one_to_one",1991,"12","02","census1991__12__02","source",TRUE,TRUE,TRUE
"geo_component_0142","deterministic_amalgamation","geo_component_0142","one_to_one",2001,"32","02","census2001__32__02","target",TRUE,TRUE,TRUE
"geo_component_0143","deterministic_amalgamation","geo_component_0143","one_to_one",1991,"12","03","census1991__12__03","source",TRUE,TRUE,TRUE
"geo_component_0143","deterministic_amalgamation","geo_component_0143","one_to_one",2001,"32","03","census2001__32__03","target",TRUE,TRUE,TRUE
"geo_component_0144","deterministic_amalgamation","geo_component_0144","one_to_one",1991,"12","04","census1991__12__04","source",TRUE,TRUE,TRUE
"geo_component_0144","deterministic_amalgamation","geo_component_0144","one_to_one",2001,"32","04","census2001__32__04","target",TRUE,TRUE,TRUE
"geo_component_0145","deterministic_amalgamation","geo_component_0145","one_to_one",1991,"12","05","census1991__12__05","source",TRUE,TRUE,TRUE
"geo_component_0145","deterministic_amalgamation","geo_component_0145","one_to_one",2001,"32","05","census2001__32__05","target",TRUE,TRUE,TRUE
"geo_component_0148","deterministic_amalgamation","geo_component_0148","many_to_many",1991,"12","08","census1991__12__08","source",TRUE,TRUE,TRUE
"geo_component_0148","deterministic_amalgamation","geo_component_0148","many_to_many",1991,"12","09","census1991__12__09","source",TRUE,TRUE,TRUE
"geo_component_0148","deterministic_amalgamation","geo_component_0148","many_to_many",2001,"32","08","census2001__32__08","target",TRUE,TRUE,TRUE
"geo_component_0148","deterministic_amalgamation","geo_component_0148","many_to_many",2001,"32","09","census2001__32__09","target",TRUE,TRUE,TRUE
"geo_component_0149","deterministic_amalgamation","geo_component_0149","one_to_one",1991,"12","10","census1991__12__10","source",TRUE,TRUE,TRUE
"geo_component_0149","deterministic_amalgamation","geo_component_0149","one_to_one",2001,"32","10","census2001__32__10","target",TRUE,TRUE,TRUE
"geo_component_0150","deterministic_amalgamation","geo_component_0150","one_to_one",1991,"12","11","census1991__12__11","source",TRUE,TRUE,TRUE
"geo_component_0150","deterministic_amalgamation","geo_component_0150","one_to_one",2001,"32","11","census2001__32__11","target",TRUE,TRUE,TRUE
"geo_component_0151","deterministic_amalgamation","geo_component_0151","one_to_one",1991,"12","12","census1991__12__12","source",TRUE,TRUE,TRUE
"geo_component_0151","deterministic_amalgamation","geo_component_0151","one_to_one",2001,"32","12","census2001__32__12","target",TRUE,TRUE,TRUE
"geo_component_0152","deterministic_amalgamation","geo_component_0152","one_to_one",1991,"12","13","census1991__12__13","source",TRUE,TRUE,TRUE
"geo_component_0152","deterministic_amalgamation","geo_component_0152","one_to_one",2001,"32","13","census2001__32__13","target",TRUE,TRUE,TRUE
"geo_component_0153","deterministic_amalgamation","geo_component_0153","one_to_one",1991,"12","14","census1991__12__14","source",TRUE,TRUE,TRUE
"geo_component_0153","deterministic_amalgamation","geo_component_0153","one_to_one",2001,"32","14","census2001__32__14","target",TRUE,TRUE,TRUE
"geo_component_0356","deterministic_amalgamation","geo_component_0356","one_to_one",1991,"26","10","census1991__26__10","source",TRUE,TRUE,TRUE
"geo_component_0356","deterministic_amalgamation","geo_component_0356","one_to_one",2001,"19","17","census2001__19__17","target",TRUE,TRUE,TRUE
"geo_component_0364","deterministic_amalgamation","geo_component_0364","one_to_one",1991,"28","01","census1991__28__01","source",TRUE,TRUE,TRUE
"geo_component_0364","deterministic_amalgamation","geo_component_0364","one_to_one",2001,"04","01","census2001__04__01","target",TRUE,TRUE,TRUE
"geo_component_0365","deterministic_amalgamation","geo_component_0365","one_to_one",1991,"29","01","census1991__29__01","source",TRUE,TRUE,TRUE
"geo_component_0365","deterministic_amalgamation","geo_component_0365","one_to_one",2001,"26","01","census2001__26__01","target",TRUE,TRUE,TRUE
"geo_component_0366","deterministic_amalgamation","geo_component_0366","one_to_one",1991,"30","01","census1991__30__01","source",TRUE,TRUE,TRUE
"geo_component_0366","deterministic_amalgamation","geo_component_0366","one_to_one",2001,"25","02","census2001__25__02","target",TRUE,TRUE,TRUE
"geo_component_0367","deterministic_amalgamation","geo_component_0367","one_to_one",1991,"30","02","census1991__30__02","source",TRUE,TRUE,TRUE
"geo_component_0367","deterministic_amalgamation","geo_component_0367","one_to_one",2001,"25","01","census2001__25__01","target",TRUE,TRUE,TRUE
"geo_component_0368","deterministic_amalgamation","geo_component_0368","one_to_one",1991,"32","01","census1991__32__01","source",TRUE,TRUE,TRUE
"geo_component_0368","deterministic_amalgamation","geo_component_0368","one_to_one",2001,"31","01","census2001__31__01","target",TRUE,TRUE,TRUE
"geo_component_0369","deterministic_amalgamation","geo_component_0369","one_to_one",1991,"33","01","census1991__33__01","source",TRUE,TRUE,TRUE
"geo_component_0369","deterministic_amalgamation","geo_component_0369","one_to_one",2001,"34","02","census2001__34__02","target",TRUE,TRUE,TRUE
"geo_component_0371","deterministic_amalgamation","geo_component_0371","one_to_one",1991,"33","03","census1991__33__03","source",TRUE,TRUE,TRUE
"geo_component_0371","deterministic_amalgamation","geo_component_0371","one_to_one",2001,"34","03","census2001__34__03","target",TRUE,TRUE,TRUE
"geo_component_0372","deterministic_amalgamation","geo_component_0372","one_to_one",1991,"33","04","census1991__33__04","source",TRUE,TRUE,TRUE
"geo_component_0372","deterministic_amalgamation","geo_component_0372","one_to_one",2001,"34","01","census2001__34__01","target",TRUE,TRUE,TRUE
