"panel_unit_id","dist91_state_id","dist91_district_id","state_code_2001","district_code_2001","preferred_vanneman_pretrend_eligible","pretrend_geography_status","period_id","start_year","end_year","measure_id","domain","label","contains_estimated_source","start_value","end_value","change","population_1961"
"geo_component_0068",NA,NA,"29",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.4437930396803,13.651938132558,0.2081450928777,689549
"geo_component_0070",NA,NA,"32",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,12.6507296202217,12.9334473246393,0.2827177044176,311991
"geo_component_0071",NA,NA,"32",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.1330642478035,14.4152779443261,0.2822136965226,1373763
"geo_component_0073",NA,NA,"32",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.6564020844017,14.8902655101018,0.2338634257001,2318433
"geo_component_0074",NA,NA,"32",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0579546497659,14.2466674541175,0.188712804351599,1274360
"geo_component_0077",NA,NA,"23",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.6627590654844,13.9228139849469,0.260054919462501,858343
"geo_component_0080",NA,NA,"23",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.3367906521071,13.6019633144484,0.2651726623413,619576
"geo_component_0082",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4182969402989,14.503938118619,0.0856411783201008,1827203
"geo_component_0084",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0231066718072,14.2471760844416,0.2240694126344,1230716
"geo_component_0085",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.4361510221375,14.6281459861466,0.191994964009101,1860119
"geo_component_0086",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2833199065361,14.5323981906366,0.2490782841005,1596493
"geo_component_0088",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0030153253504,14.2254795085304,0.22246418318,1206236
"geo_component_0089",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8169754844353,14.0671412695557,0.2501657851204,1001466
"geo_component_0090",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2059676064452,14.4556192379393,0.249651631494102,1477656
"geo_component_0092",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.2265733033609,14.4795831390376,0.253009835676702,1508420
"geo_component_0093",NA,NA,"27",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.0566299710148,14.2764608289566,0.219830857941799,1272673
"geo_component_0109",NA,NA,"21",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,14.9348789408032,15.1577689109846,0.2228899701814,3062919
"geo_component_0110",NA,NA,"21",NA,TRUE,"kumar_somanathan_exact_amalgamation","1961_1971",1961,1971,"log_population","demography","Log population",FALSE,13.8416323926325,14.0731822912471,0.231549898614601,1026466
