"state_code_1991","district_code_1991","n_shrid_total","n_shrid_deterministic","shrid_coverage","population_1991_total","population_1991_deterministic","population_coverage","n_target_2001_districts","mapping_class","exact_language_persistence","preferred_language_persistence","preferred_population_coverage_threshold"
"02","01",1705,1701,0.997653958944282,2289628,2289562,0.999971174356708,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","02",1462,1455,0.995212038303694,2107412,2106320,0.999481828897245,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","03",3033,3003,0.990108803165183,3070027,3068343,0.999451470622245,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","04",1327,1321,0.995478522984175,4523741,4523560,0.999959988867621,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","05",826,821,0.993946731234867,3440590,3440484,0.999969191330557,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","06",933,931,0.997856377277599,3799781.37158203,3796447.37158203,0.999122581097709,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","07",688,687,0.998546511627907,4075320,4074758,0.999862096718785,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","08",994,980,0.985915492957746,2757707,2756018,0.999387534643818,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","09",1084,1077,0.993542435424354,2363039,2361384,0.999299630687433,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","10",1426,1423,0.997896213183731,3195988,3195928,0.999981226462678,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","11",872,862,0.988532110091743,2217379,2214451,0.998679522084407,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","12",930,927,0.996774193548387,3171038,3170934,0.999967203168174,2,"splits_across_2001_districts",FALSE,FALSE,0.99
"02","13",871,870,0.998851894374282,2972023,2972010,0.999995625875035,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","14",1482,1472,0.993252361673414,3077050,3072698,0.998585658341593,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","15",841,837,0.995243757431629,2524062.02006531,2523064.02006531,0.99960460559524,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","16",3,3,1,3145939,3145939,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99
"02","17",1219,1216,0.997538966365874,2265570,2265474,0.999957626557555,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","18",853,848,0.994138335287222,1966509,1966454,0.999972031656097,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","19",1582,1569,0.991782553729456,2059843,2058006,0.999108184458718,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","20",1038,1034,0.996146435452794,3031386,3030293,0.999639438857341,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","21",975,972,0.996923076923077,2805654,2805546,0.999961506301205,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","22",1094,1079,0.986288848263254,2215809,2213494,0.998955234860044,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"02","23",1118,1117,0.999105545617174,2848381,2848360,0.999992627390788,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"03","01",116,111,0.956896551724138,14109,14000,0.992274434757956,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"03","02",77,75,0.974025974025974,33832.6142883301,33739.6142883301,0.997251173107481,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"03","03",259,249,0.961389961389961,48729,48190,0.988938824929713,2,"splits_across_2001_districts",FALSE,FALSE,0.99
"03","04",378,360,0.952380952380952,97290.3639526367,96673.3639526367,0.993658159195495,2,"splits_across_2001_districts",FALSE,FALSE,0.99
"03","05",368,355,0.964673913043478,47504,46994,0.989264061973729,1,"incomplete_population_coverage_single_target",FALSE,FALSE,0.99
"03","06",60,59,0.983333333333333,30788,30762,0.999155515135767,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"03","07",194,191,0.984536082474227,95338,95096,0.997461662715811,2,"splits_across_2001_districts",FALSE,FALSE,0.99
"03","08",38,36,0.947368421052632,21154,21013,0.993334593930226,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"03","09",460,439,0.954347826086957,103611,102694,0.99114958836417,2,"splits_across_2001_districts",FALSE,FALSE,0.99
"03","10",43,43,1,8168,8168,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99
"03","11",149,149,1,84777,84777,1,1,"deterministic_one_to_one",TRUE,TRUE,0.99
"04","01",1200,1162,0.968333333333333,1211151,1204842,0.994790905510543,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","02",916,898,0.980349344978166,789123,782346,0.991411985203828,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","03",863,851,0.986095017381228,807523,798673,0.989040559835447,1,"incomplete_population_coverage_single_target",FALSE,FALSE,0.99
"04","04",746,721,0.966487935656836,668053,660836,0.989196964911467,1,"incomplete_population_coverage_single_target",FALSE,FALSE,0.99
"04","05",1049,1039,0.990467111534795,1378609,1375235,0.997552605561113,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","06",804,788,0.980099502487562,1015867,1009666,0.993895854477013,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","07",1304,1295,0.993098159509202,1999737,1997518,0.998890354081562,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","08",1328,1313,0.988704819277108,1293444,1280538,0.99002198780929,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","09",1615,1577,0.976470588235294,1375247,1363756,0.991644410058702,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","10",1115,1107,0.992825112107623,743152,740005,0.995765334682541,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","11",1095,1058,0.9662100456621,461711,449953,0.974533853427794,1,"incomplete_population_coverage_single_target",FALSE,FALSE,0.99
"04","12",570,562,0.985964912280702,638840,634302,0.99289649990608,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","13",1367,1348,0.986100950987564,1873039,1869039,0.997864433148482,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","14",1052,1035,0.98384030418251,815223,809658,0.993173646965309,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","15",798,771,0.966165413533835,860020,856702,0.996141950187205,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","16",865,859,0.993063583815029,901993,901286,0.999216180169913,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","17",1292,1277,0.988390092879257,1010357,1008236,0.997900742014951,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","18",1116,1084,0.971326164874552,935921,928652,0.992233318837808,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
"04","19",2487,2219,0.892239646160032,655651,618985,0.944076955575451,1,"incomplete_population_coverage_single_target",FALSE,FALSE,0.99
"04","20",564,538,0.953900709219858,144422,141147,0.977323399482073,1,"incomplete_population_coverage_single_target",FALSE,FALSE,0.99
"04","21",894,884,0.988814317673378,825212,821954,0.996051923626898,1,"high_population_coverage_single_target",FALSE,TRUE,0.99
