"specification_id","label","fixed_effect","controls","sequence"
"instrument_only","Instrument only","none","none",1
"region_fe","Six-region fixed effects","region","none",2
"state_fe","State fixed effects","state","none",3
"census_controls","Main Census controls","none","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001",4
"region_fe_census_controls","Six-region fixed effects + main Census controls","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001",5
"state_fe_census_controls","State fixed effects + main Census controls","state","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001",6
"expanded_controls","Expanded Census controls","none","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",7
"region_fe_expanded_controls","Six-region fixed effects + expanded Census controls","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",8
"state_fe_expanded_controls","State fixed effects + expanded Census controls","state","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",9
"region_fe_main_without_human_capital","Six-region FE + main controls without human capital","region","log_population_2001;urban_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001",10
"state_fe_main_without_human_capital","State FE + main controls without human capital","state","log_population_2001;urban_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;agricultural_worker_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001",11
"region_fe_expanded_without_human_capital","Six-region FE + expanded controls without human capital","region","log_population_2001;urban_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",12
"state_fe_expanded_without_human_capital","State FE + expanded controls without human capital","state","log_population_2001;urban_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",13
"region_fe_plus_basic_scale_geography","Six-region FE + through basic scale geography","region","log_population_2001;urban_share_2001;log_population_density_2001",14
"region_fe_plus_social_composition","Six-region FE + through social composition","region","log_population_2001;urban_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;log_population_density_2001",15
"region_fe_plus_human_capital","Six-region FE + through human capital","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;log_population_density_2001;literacy_share_2001",16
"region_fe_plus_demography","Six-region FE + through demography","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;log_population_density_2001;literacy_share_2001",17
"region_fe_plus_economic_structure","Six-region FE + through economic structure","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",18
"region_fe_plus_basic_development","Six-region FE + through basic development","region","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",19
"state_fe_plus_basic_scale_geography","State FE + through basic scale geography","state","log_population_2001;urban_share_2001;log_population_density_2001",20
"state_fe_plus_social_composition","State FE + through social composition","state","log_population_2001;urban_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;log_population_density_2001",21
"state_fe_plus_human_capital","State FE + through human capital","state","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;log_population_density_2001;literacy_share_2001",22
"state_fe_plus_demography","State FE + through demography","state","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;log_population_density_2001;literacy_share_2001",23
"state_fe_plus_economic_structure","State FE + through economic structure","state","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",24
"state_fe_plus_basic_development","State FE + through basic development","state","log_population_2001;urban_share_2001;adult_secondary_plus_share_2001;sc_share_2001;st_share_2001;muslim_share_2001;dependency_ratio_2001;electricity_access_share_2001;log_population_density_2001;literacy_share_2001;worker_share_2001;cultivator_share_workers_2001;agricultural_labourer_share_workers_2001",25
