"sample","specification_id","specification","sequence","treatment","fixed_effect","control_blocks","n_controls","min_accepted_coverage","max_distance_bound_width","estimate_1991","excluded_instrument_f_1991","partial_r_squared_1991","n_1991","n_states_1991","n_regions_1991","status_1991","reason_1991","estimate_2001","excluded_instrument_f_2001","partial_r_squared_2001","n_2001","n_states_2001","n_regions_2001","status_2001","reason_2001","estimate_change_1991_vs_2001","f_change_1991_vs_2001","partial_r_squared_change_1991_vs_2001"
"preferred_geography","state_fe_1991_pca_controls","1991 state FE + PCA91 predetermined controls",1,"emi_exposure_all_children_0708","state_1991","predetermined_1991_pca",10,0.99,0.5,-0.539616401966002,0.553076618875383,0.00261023626862958,89,17,6,"estimated",NA,-1.64606673388444,1.0773916610799,0.0100481792241876,89,17,6,"estimated",NA,1.10645033191843,-0.524315042204515,-0.00743794295555804
"preferred_geography","state_fe_1991_all_controls","1991 state FE + all selected 1991 predetermined controls",2,"emi_exposure_all_children_0708","state_1991","predetermined_1991_all",18,0.99,0.5,-0.45901497289611,0.100317291246618,0.00190065854328432,81,16,6,"estimated",NA,-2.95800387554693,1.81707577875305,0.0295086815794575,81,16,6,"estimated",NA,2.49898890265082,-1.71675848750643,-0.0276080230361732
"exact_one_to_one","state_fe_1991_pca_controls","1991 state FE + PCA91 predetermined controls",1,"emi_exposure_all_children_0708","state_1991","predetermined_1991_pca",10,0.99,0.5,-43.4401615565166,323.799325028984,0.962081682627736,22,10,5,"estimated",NA,-169.391043316487,86.3817292651906,0.874347226023063,22,10,5,"estimated",NA,125.950881759971,237.417595763794,0.0877344566046733
"exact_one_to_one","state_fe_1991_all_controls","1991 state FE + all selected 1991 predetermined controls",2,"emi_exposure_all_children_0708","state_1991","predetermined_1991_all",18,0.99,0.5,7.29082707512448,NA,NA,17,7,5,"not_estimable","no_residual_degrees_of_freedom",6.64564483541531,NA,NA,17,7,5,"not_estimable","no_residual_degrees_of_freedom",NA,NA,NA
