"source_unit_id","target_unit_id","population_weight_reference","mapping_class_reference","evidence_source_reference","population_weight_candidate","mapping_class_candidate","evidence_source_candidate","edge_status","population_weight_abs_diff"
"census1991__04__09","census2001__18__11",0.991644410058702,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00835558994129804
"census1991__04__14","census2001__18__18",0.993173646965309,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00682635303469104
"census1991__04__15","census2001__18__17",0.996141950187205,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00385804981279503
"census1991__04__16","census2001__18__16",0.999216180169913,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000783819830087018
"census1991__05__01","census2001__10__28",0.99949491628927,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000505083710729992
"census1991__05__02","census2001__10__27",0.994207192710692,"non_nested_or_incomplete","district_transition",0.9991,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00489280728930797
"census1991__05__02","census2001__10__26",0.000869872046726844,"non_nested_or_incomplete","district_transition",9e-04,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",3.0127953273156e-05
"census1991__05__03","census2001__10__29",0.62184237377046,"non_nested_or_incomplete","district_transition",0.6224,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00055762622953992
"census1991__05__03","census2001__10__30",0.377224090566499,"non_nested_or_incomplete","district_transition",0.3776,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000375909433500965
"census1991__05__04","census2001__10__32",0.66474455092048,"non_nested_or_incomplete","district_transition",0.661,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00374455092047998
"census1991__05__04","census2001__10__31",0.334593923106889,"non_nested_or_incomplete","district_transition",0.339,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00440607689311101
"census1991__05__09","census2001__10__17",0.999999611310099,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",3.88689901043016e-07
"census1991__05__10","census2001__10__16",0.999972350689113,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",2.76493108869458e-05
"census1991__05__11","census2001__10__15",0.998043196366858,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00195680363314199
"census1991__05__17","census2001__10__20",0.993518997126798,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00648100287320197
"census1991__05__21","census2001__10__06",0.534458774432367,"non_nested_or_incomplete","district_transition",0.5425,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00804122556763298
"census1991__05__21","census2001__10__12",0.460253321810083,"non_nested_or_incomplete","district_transition",0.4575,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00275332181008298
"census1991__05__22","census2001__10__11",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__05__25","census2001__10__21",0.998692296705823,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00130770329417695
"census1991__05__26","census2001__10__37",0.343713933160676,"non_nested_or_incomplete","district_transition",0.3436,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000113933160675983
"census1991__05__26","census2001__10__24",0.306974772794242,"non_nested_or_incomplete","district_transition",0.3084,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.001425227205758
"census1991__05__26","census2001__10__25",0.210632467440301,"non_nested_or_incomplete","district_transition",0.2112,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000567532559698991
"census1991__05__26","census2001__10__26",0.136875178034667,"non_nested_or_incomplete","district_transition",0.1368,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",7.51780346670006e-05
"census1991__05__32","census2001__20__12",0.719536055025683,"non_nested_or_incomplete","district_transition",0.7289,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00936394497431703
"census1991__05__32","census2001__20__13",0.270338149883097,"non_nested_or_incomplete","district_transition",0.2711,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000761850116902996
"census1991__05__33","census2001__20__06",0.677641347309756,"non_nested_or_incomplete","district_transition",0.6723,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.005341347309756
"census1991__05__33","census2001__20__13",0.322282103058452,"non_nested_or_incomplete","district_transition",0.3277,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00541789694154798
"census1991__07__03","census2001__24__08",0.99999833781569,"non_nested_or_incomplete","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",1.66218430996956e-06
"census1991__07__04","census2001__24__14",0.902568224210551,"non_nested_or_incomplete","district_transition",0.9031,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000531775789448963
"census1991__07__04","census2001__24__13",0.0973730204039038,"non_nested_or_incomplete","district_transition",0.0969,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.000473020403903804
"census1991__07__05","census2001__24__13",0.851100377577741,"non_nested_or_incomplete","district_transition",0.8676,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.016499622422259
"census1991__07__05","census2001__24__12",0.134661506083922,"non_nested_or_incomplete","district_transition",0.1324,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.002261506083922
"census1991__07__06","census2001__24__12",0.805104956041261,"non_nested_or_incomplete","district_transition",0.804,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00110495604126093
"census1991__07__06","census2001__24__11",0.194741441585478,"non_nested_or_incomplete","district_transition",0.196,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00125855841452202
"census1991__07__11","census2001__24__06",1,"deterministic_containment","district_transition",1,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0
"census1991__07__13","census2001__24__16",0.517571101333509,"non_nested_or_incomplete","district_transition",0.5193,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00172889866649095
"census1991__07__13","census2001__24__15",0.479078355690702,"non_nested_or_incomplete","district_transition",0.4774,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",0.00167835569070202
"census1991__07__13","census2001__24__06",0.00335054297578848,"non_nested_or_incomplete","district_transition",0.0033,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",5.05429757884802e-05
"census1991__07__15","census2001__24__19",0.9832679413262,"non_nested_or_incomplete","district_transition",0.9833,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",3.20586737999617e-05
"census1991__07__15","census2001__24__20",0.0167255611654321,"non_nested_or_incomplete","district_transition",0.0167,"kumar_somanathan_exact_names","kumar_somanathan_2016","both",2.55611654320989e-05
