"specification_id","sequence","adjustment_id","adjustment","construction_id","construction","fixed_effect","excluded_instruments","included_language_controls","n_excluded_instruments","joint_excluded_f","joint_excluded_p","partial_r_squared","n","n_states","n_regions"
"region_expanded__nonzero_mean_hindi_urdu_separate",21,"region_expanded","Six-region FE + expanded controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","region","ling_distance_nonzero_mean","hindi_share;urdu_share",1,5.72043156790063,0.0171029001287492,0.0707041218579775,573,35,6
"region_expanded__distance_shares_all",22,"region_expanded","Six-region FE + expanded controls","distance_shares_all","Five distance shares; all-speaker denominator","region","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,12.4395200682448,1.88352427936053e-11,0.193004236049845,573,35,6
"region_expanded__distance_shares_all_unmapped",23,"region_expanded","Six-region FE + expanded controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","region","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,21.4035878364412,1.38143207787681e-19,0.241165672169041,573,35,6
"region_expanded__distance_shares_mapped",24,"region_expanded","Six-region FE + expanded controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","region","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,19.167912743978,1.33928443390954e-17,0.246466942332603,573,35,6
"state_main__nonzero_mean",25,"state_main","State FE + main controls","nonzero_mean","Mean distance among speakers above zero","state","ling_distance_nonzero_mean","",1,0.755152511131728,0.385245384600663,0.00148292656793496,573,35,6
"state_main__distant_share",26,"state_main","State FE + main controls","distant_share","Share speaking languages at distance three or higher","state","ling_share_distance_ge3","",1,0.505492927367792,0.477411013361406,0.00377648703092555,573,35,6
"state_main__top3_legacy",27,"state_main","State FE + main controls","top3_legacy","Legacy top-three weighted mean","state","ling_distance_top3_legacy","",1,1.72737412775719,0.189318332521992,0.0130748627112455,573,35,6
"state_main__nonzero_mean_hindi_urdu",28,"state_main","State FE + main controls","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","state","ling_distance_nonzero_mean","hindi_urdu_share",1,0.689622117476142,0.406669698818569,0.00183183469925637,573,35,6
"state_main__nonzero_mean_hindi_urdu_separate",29,"state_main","State FE + main controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","state","ling_distance_nonzero_mean","hindi_share;urdu_share",1,0.603918927146762,0.437436684366513,0.0015121807171175,573,35,6
"state_main__distance_shares_all",30,"state_main","State FE + main controls","distance_shares_all","Five distance shares; all-speaker denominator","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,4.37757518164585,0.000650496456410539,0.0357588595049453,573,35,6
"state_main__distance_shares_all_unmapped",31,"state_main","State FE + main controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,4.31389252061926,0.000743749205997169,0.0365485739644516,573,35,6
"state_main__distance_shares_mapped",32,"state_main","State FE + main controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","state","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,4.35518771902248,0.000681806450782117,0.0504025453175757,573,35,6
"state_expanded__nonzero_mean",33,"state_expanded","State FE + expanded controls","nonzero_mean","Mean distance among speakers above zero","state","ling_distance_nonzero_mean","",1,1.34920903929173,0.245945264634393,0.0022641617857285,573,35,6
"state_expanded__distant_share",34,"state_expanded","State FE + expanded controls","distant_share","Share speaking languages at distance three or higher","state","ling_share_distance_ge3","",1,0.49660865336525,0.481307142503694,0.00351361858509228,573,35,6
"state_expanded__top3_legacy",35,"state_expanded","State FE + expanded controls","top3_legacy","Legacy top-three weighted mean","state","ling_distance_top3_legacy","",1,1.59257332064755,0.207520279892515,0.0117909448038013,573,35,6
"state_expanded__nonzero_mean_hindi_urdu",36,"state_expanded","State FE + expanded controls","nonzero_mean_hindi_urdu","Nonzero mean with combined Hindi-Urdu share","state","ling_distance_nonzero_mean","hindi_urdu_share",1,1.09030169419347,0.296886755110137,0.00251313793235901,573,35,6
"state_expanded__nonzero_mean_hindi_urdu_separate",37,"state_expanded","State FE + expanded controls","nonzero_mean_hindi_urdu_separate","Nonzero mean with separate Hindi and Urdu shares","state","ling_distance_nonzero_mean","hindi_share;urdu_share",1,0.867828353669148,0.351987859201157,0.00195963165692454,573,35,6
"state_expanded__distance_shares_all",38,"state_expanded","State FE + expanded controls","distance_shares_all","Five distance shares; all-speaker denominator","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","",5,4.04639109053245,0.0013019131900633,0.0316880051213856,573,35,6
"state_expanded__distance_shares_all_unmapped",39,"state_expanded","State FE + expanded controls","distance_shares_all_unmapped","Five distance shares with unmapped share controlled","state","ling_share_distance_1;ling_share_distance_2;ling_share_distance_3;ling_share_distance_4;ling_share_distance_5","ling_unmapped_speaker_share",5,3.95780636394058,0.00156595192653598,0.0316869189640238,573,35,6
"state_expanded__distance_shares_mapped",40,"state_expanded","State FE + expanded controls","distance_shares_mapped","Five distance shares; mapped-speaker denominator","state","ling_mapped_share_distance_1;ling_mapped_share_distance_2;ling_mapped_share_distance_3;ling_mapped_share_distance_4;ling_mapped_share_distance_5","",5,3.4855762814526,0.00415065091594473,0.0453402127442265,573,35,6
