"target_unit_id","source_set_reference","n_sources_reference","source_set_candidate","n_sources_candidate","target_status"
"census2001__18__03","census1991__04__04",1,"census1991__04__04",1,"exact_source_set_agreement"
"census2001__18__05","census1991__04__05",1,"census1991__04__05",1,"exact_source_set_agreement"
"census2001__18__07","census1991__04__06",1,"census1991__04__06",1,"exact_source_set_agreement"
"census2001__18__06","census1991__04__07",1,"census1991__04__07",1,"exact_source_set_agreement"
"census2001__18__08","census1991__04__08",1,"census1991__04__08",1,"exact_source_set_agreement"
"census2001__18__11","census1991__04__09",1,"census1991__04__09",1,"exact_source_set_agreement"
"census2001__18__18","census1991__04__14",1,"census1991__04__14",1,"exact_source_set_agreement"
"census2001__18__17","census1991__04__15",1,"census1991__04__15",1,"exact_source_set_agreement"
"census2001__18__16","census1991__04__16",1,"census1991__04__16",1,"exact_source_set_agreement"
"census2001__10__28","census1991__05__01",1,"census1991__05__01",1,"exact_source_set_agreement"
"census2001__10__27","census1991__05__02",1,"census1991__05__02",1,"exact_source_set_agreement"
"census2001__10__26","census1991__05__02|census1991__05__26",2,"census1991__05__02|census1991__05__26",2,"exact_source_set_agreement"
"census2001__10__29","census1991__05__03",1,"census1991__05__03",1,"exact_source_set_agreement"
"census2001__10__30","census1991__05__03",1,"census1991__05__03",1,"exact_source_set_agreement"
"census2001__10__32","census1991__05__04",1,"census1991__05__04",1,"exact_source_set_agreement"
"census2001__10__31","census1991__05__04",1,"census1991__05__04",1,"exact_source_set_agreement"
"census2001__10__17","census1991__05__09",1,"census1991__05__09",1,"exact_source_set_agreement"
"census2001__10__16","census1991__05__10",1,"census1991__05__10",1,"exact_source_set_agreement"
"census2001__10__15","census1991__05__11",1,"census1991__05__11",1,"exact_source_set_agreement"
"census2001__10__20","census1991__05__17",1,"census1991__05__17",1,"exact_source_set_agreement"
"census2001__10__24","census1991__05__17|census1991__05__26",2,"census1991__05__26",1,"source_set_conflict"
"census2001__10__06","census1991__05__21",1,"census1991__05__21",1,"exact_source_set_agreement"
"census2001__10__12","census1991__05__21",1,"census1991__05__21",1,"exact_source_set_agreement"
"census2001__10__11","census1991__05__22",1,"census1991__05__22",1,"exact_source_set_agreement"
"census2001__10__21","census1991__05__25",1,"census1991__05__25",1,"exact_source_set_agreement"
"census2001__10__37","census1991__05__26",1,"census1991__05__26",1,"exact_source_set_agreement"
"census2001__10__25","census1991__05__26",1,"census1991__05__26",1,"exact_source_set_agreement"
"census2001__20__12","census1991__05__32",1,"census1991__05__32",1,"exact_source_set_agreement"
"census2001__20__13","census1991__05__32|census1991__05__33",2,"census1991__05__32|census1991__05__33",2,"exact_source_set_agreement"
"census2001__20__06","census1991__05__33",1,"census1991__05__33",1,"exact_source_set_agreement"
"census2001__24__08","census1991__07__03",1,"census1991__07__03",1,"exact_source_set_agreement"
"census2001__24__14","census1991__07__04",1,"census1991__07__04",1,"exact_source_set_agreement"
"census2001__24__13","census1991__07__04|census1991__07__05|census1991__07__16|census1991__07__18",4,"census1991__07__04|census1991__07__05",2,"source_set_conflict"
"census2001__24__12","census1991__07__05|census1991__07__06",2,"census1991__07__05|census1991__07__06",2,"exact_source_set_agreement"
"census2001__24__20","census1991__07__05|census1991__07__15|census1991__07__16",3,"census1991__07__15|census1991__07__16",2,"source_set_conflict"
"census2001__24__11","census1991__07__06",1,"census1991__07__06",1,"exact_source_set_agreement"
"census2001__24__06","census1991__07__10|census1991__07__11|census1991__07__12|census1991__07__13",4,"census1991__07__11|census1991__07__13",2,"source_set_conflict"
"census2001__24__16","census1991__07__13",1,"census1991__07__13",1,"exact_source_set_agreement"
"census2001__24__15","census1991__07__13",1,"census1991__07__13",1,"exact_source_set_agreement"
"census2001__24__19","census1991__07__15",1,"census1991__07__15",1,"exact_source_set_agreement"
"census2001__24__21","census1991__07__16",1,"census1991__07__16",1,"exact_source_set_agreement"
"census2001__06__02","census1991__08__01",1,"census1991__08__01",1,"exact_source_set_agreement"
"census2001__06__01","census1991__08__01",1,"census1991__08__01",1,"exact_source_set_agreement"
"census2001__06__04","census1991__08__02|census1991__08__03|census1991__08__04|census1991__08__05",4,"census1991__08__03|census1991__08__04|census1991__08__05",3,"source_set_conflict"
"census2001__06__05","census1991__08__03|census1991__08__04|census1991__08__14",3,"census1991__08__03|census1991__08__04|census1991__08__14",3,"exact_source_set_agreement"
"census2001__06__09","census1991__08__04|census1991__08__08|census1991__08__14",3,"census1991__08__04|census1991__08__08|census1991__08__14",3,"exact_source_set_agreement"
"census2001__06__06","census1991__08__04|census1991__08__05|census1991__08__06|census1991__08__14",4,"census1991__08__04|census1991__08__05|census1991__08__06|census1991__08__14",4,"exact_source_set_agreement"
"census2001__06__07","census1991__08__05|census1991__08__06",2,"census1991__08__05|census1991__08__06",2,"exact_source_set_agreement"
"census2001__06__08","census1991__08__07|census1991__08__08",2,"census1991__08__07|census1991__08__08",2,"exact_source_set_agreement"
"census2001__06__14","census1991__08__08",1,"census1991__08__08",1,"exact_source_set_agreement"
"census2001__06__15","census1991__08__08|census1991__08__11",2,"census1991__08__08|census1991__08__11",2,"exact_source_set_agreement"
"census2001__06__13","census1991__08__08|census1991__08__13",2,"census1991__08__08",1,"source_set_conflict"
"census2001__06__12","census1991__08__08|census1991__08__15",2,"census1991__08__08|census1991__08__15",2,"exact_source_set_agreement"
"census2001__06__19","census1991__08__09",1,"census1991__08__09",1,"exact_source_set_agreement"
"census2001__06__18","census1991__08__10",1,"census1991__08__10",1,"exact_source_set_agreement"
"census2001__06__17","census1991__08__11",1,"census1991__08__11",1,"exact_source_set_agreement"
"census2001__06__16","census1991__08__12",1,"census1991__08__12",1,"exact_source_set_agreement"
"census2001__06__10","census1991__08__15",1,"census1991__08__15",1,"exact_source_set_agreement"
"census2001__06__11","census1991__08__16",1,"census1991__08__16",1,"exact_source_set_agreement"
"census2001__02__01","census1991__09__01",1,"census1991__09__01",1,"exact_source_set_agreement"
"census2001__02__02","census1991__09__02",1,"census1991__09__02",1,"exact_source_set_agreement"
"census2001__02__07","census1991__09__04",1,"census1991__09__04",1,"exact_source_set_agreement"
"census2001__02__11","census1991__09__09",1,"census1991__09__09",1,"exact_source_set_agreement"
"census2001__02__09","census1991__09__10",1,"census1991__09__10",1,"exact_source_set_agreement"
"census2001__29__01","census1991__11__03",1,"census1991__11__03",1,"exact_source_set_agreement"
"census2001__29__12","census1991__11__04",1,"census1991__11__04",1,"exact_source_set_agreement"
"census2001__29__14","census1991__11__04|census1991__11__08|census1991__11__18",3,"census1991__11__04|census1991__11__08|census1991__11__18",3,"exact_source_set_agreement"
"census2001__29__13","census1991__11__08",1,"census1991__11__08",1,"exact_source_set_agreement"
"census2001__29__09","census1991__11__10",1,"census1991__11__10",1,"exact_source_set_agreement"
"census2001__29__11","census1991__11__10",1,"census1991__11__10",1,"exact_source_set_agreement"
"census2001__29__08","census1991__11__10",1,"census1991__11__10",1,"exact_source_set_agreement"
"census2001__29__06","census1991__11__17",1,"census1991__11__17",1,"exact_source_set_agreement"
"census2001__29__07","census1991__11__17",1,"census1991__11__17",1,"exact_source_set_agreement"
"census2001__29__15","census1991__11__18",1,"census1991__11__18",1,"exact_source_set_agreement"
"census2001__29__10","census1991__11__20",1,"census1991__11__20",1,"exact_source_set_agreement"
"census2001__32__02","census1991__12__02",1,"census1991__12__02",1,"exact_source_set_agreement"
"census2001__32__03","census1991__12__03",1,"census1991__12__03",1,"exact_source_set_agreement"
"census2001__32__04","census1991__12__04",1,"census1991__12__04",1,"exact_source_set_agreement"
"census2001__32__06","census1991__12__06",1,"census1991__12__06",1,"exact_source_set_agreement"
"census2001__32__08","census1991__12__08|census1991__12__09",2,"census1991__12__08|census1991__12__09",2,"exact_source_set_agreement"
"census2001__32__09","census1991__12__09",1,"census1991__12__09",1,"exact_source_set_agreement"
"census2001__32__10","census1991__12__10",1,"census1991__12__10",1,"exact_source_set_agreement"
"census2001__32__12","census1991__12__12",1,"census1991__12__12",1,"exact_source_set_agreement"
"census2001__32__13","census1991__12__13",1,"census1991__12__13",1,"exact_source_set_agreement"
"census2001__23__04","census1991__13__03",1,"census1991__13__03",1,"exact_source_set_agreement"
"census2001__23__05","census1991__13__03|census1991__13__04",2,"census1991__13__03|census1991__13__04",2,"exact_source_set_agreement"
"census2001__23__32","census1991__13__28",1,"census1991__13__28",1,"exact_source_set_agreement"
"census2001__23__33","census1991__13__29",1,"census1991__13__29",1,"exact_source_set_agreement"
"census2001__23__37","census1991__13__32",1,"census1991__13__32",1,"exact_source_set_agreement"
"census2001__23__36","census1991__13__32",1,"census1991__13__32",1,"exact_source_set_agreement"
"census2001__22__10","census1991__13__43",1,"census1991__13__43",1,"exact_source_set_agreement"
"census2001__27__32","census1991__14__04",1,"census1991__14__04",1,"exact_source_set_agreement"
"census2001__27__33","census1991__14__05",1,"census1991__14__05",1,"exact_source_set_agreement"
"census2001__27__35","census1991__14__12",1,"census1991__14__12",1,"exact_source_set_agreement"
"census2001__27__30","census1991__14__13",1,"census1991__14__13",1,"exact_source_set_agreement"
"census2001__27__34","census1991__14__14",1,"census1991__14__14",1,"exact_source_set_agreement"
"census2001__27__18","census1991__14__16",1,"census1991__14__16",1,"exact_source_set_agreement"
"census2001__27__17","census1991__14__17",1,"census1991__14__17",1,"exact_source_set_agreement"
"census2001__27__16","census1991__14__17",1,"census1991__14__17",1,"exact_source_set_agreement"
"census2001__27__27","census1991__14__18",1,"census1991__14__18",1,"exact_source_set_agreement"
"census2001__27__29","census1991__14__20",1,"census1991__14__20",1,"exact_source_set_agreement"
"census2001__27__28","census1991__14__21",1,"census1991__14__21",1,"exact_source_set_agreement"
"census2001__27__09","census1991__14__27",1,"census1991__14__27",1,"exact_source_set_agreement"
"census2001__27__11","census1991__14__28",1,"census1991__14__28",1,"exact_source_set_agreement"
"census2001__27__10","census1991__14__28",1,"census1991__14__28",1,"exact_source_set_agreement"
"census2001__14__02","census1991__15__02",1,"census1991__15__02",1,"exact_source_set_agreement"
"census2001__14__03","census1991__15__03",1,"census1991__15__03",1,"exact_source_set_agreement"
"census2001__14__09","census1991__15__04",1,"census1991__15__04",1,"exact_source_set_agreement"
"census2001__14__05","census1991__15__05",1,"census1991__15__05",1,"exact_source_set_agreement"
"census2001__14__04","census1991__15__06",1,"census1991__15__06",1,"exact_source_set_agreement"
"census2001__14__07","census1991__15__07",1,"census1991__15__07",1,"exact_source_set_agreement"
"census2001__14__06","census1991__15__07",1,"census1991__15__07",1,"exact_source_set_agreement"
"census2001__14__08","census1991__15__08",1,"census1991__15__08",1,"exact_source_set_agreement"
"census2001__17__07","census1991__16__01",1,"census1991__16__01",1,"exact_source_set_agreement"
"census2001__17__06","census1991__16__02",1,"census1991__16__02",1,"exact_source_set_agreement"
"census2001__17__05","census1991__16__02",1,"census1991__16__02",1,"exact_source_set_agreement"
"census2001__17__04","census1991__16__02|census1991__16__03",2,"census1991__16__02|census1991__16__03",2,"exact_source_set_agreement"
"census2001__13__07","census1991__18__01",1,"census1991__18__01",1,"exact_source_set_agreement"
"census2001__13__06","census1991__18__01",1,"census1991__18__01",1,"exact_source_set_agreement"
"census2001__13__08","census1991__18__02",1,"census1991__18__02",1,"exact_source_set_agreement"
"census2001__13__04","census1991__18__03",1,"census1991__18__03",1,"exact_source_set_agreement"
"census2001__13__05","census1991__18__04",1,"census1991__18__04",1,"exact_source_set_agreement"
"census2001__13__02","census1991__18__06",1,"census1991__18__06",1,"exact_source_set_agreement"
"census2001__13__01","census1991__18__07",1,"census1991__18__07",1,"exact_source_set_agreement"
"census2001__21__29","census1991__19__04|census1991__19__11",2,"census1991__19__11",1,"source_set_conflict"
"census2001__21__11","census1991__19__05|census1991__19__06",2,"census1991__19__06",1,"source_set_conflict"
"census2001__21__12","census1991__19__06",1,"census1991__19__06",1,"exact_source_set_agreement"
"census2001__21__13","census1991__19__06",1,"census1991__19__06",1,"exact_source_set_agreement"
"census2001__21__10","census1991__19__06",1,"census1991__19__06",1,"exact_source_set_agreement"
"census2001__21__15","census1991__19__07",1,"census1991__19__07",1,"exact_source_set_agreement"
"census2001__21__14","census1991__19__07",1,"census1991__19__07",1,"exact_source_set_agreement"
"census2001__21__26","census1991__19__10",1,"census1991__19__10",1,"exact_source_set_agreement"
"census2001__21__25","census1991__19__10",1,"census1991__19__10",1,"exact_source_set_agreement"
"census2001__21__28","census1991__19__11",1,"census1991__19__11",1,"exact_source_set_agreement"
"census2001__21__27","census1991__19__11",1,"census1991__19__11",1,"exact_source_set_agreement"
"census2001__21__30","census1991__19__11",1,"census1991__19__11",1,"exact_source_set_agreement"
"census2001__21__17","census1991__19__13",1,"census1991__19__13",1,"exact_source_set_agreement"
"census2001__21__18","census1991__19__13",1,"census1991__19__13",1,"exact_source_set_agreement"
"census2001__21__16","census1991__19__13",1,"census1991__19__13",1,"exact_source_set_agreement"
"census2001__03__01","census1991__20__01|census1991__20__07",2,"census1991__20__01|census1991__20__07",2,"exact_source_set_agreement"
"census2001__03__02","census1991__20__02|census1991__20__03",2,"census1991__20__02|census1991__20__03",2,"exact_source_set_agreement"
"census2001__03__11","census1991__20__03",1,"census1991__20__03",1,"exact_source_set_agreement"
"census2001__03__10","census1991__20__03|census1991__20__12",2,"census1991__20__03|census1991__20__12",2,"exact_source_set_agreement"
"census2001__03__04","census1991__20__03|census1991__20__05",2,"census1991__20__03|census1991__20__05",2,"exact_source_set_agreement"
"census2001__03__12","census1991__20__03|census1991__20__12",2,"census1991__20__03|census1991__20__12",2,"exact_source_set_agreement"
"census2001__03__09","census1991__20__04|census1991__20__05|census1991__20__07|census1991__20__09|census1991__20__10",5,"census1991__20__04|census1991__20__05|census1991__20__07|census1991__20__09|census1991__20__10",5,"exact_source_set_agreement"
"census2001__03__06","census1991__20__05|census1991__20__07",2,"census1991__20__05|census1991__20__07",2,"exact_source_set_agreement"
"census2001__03__05","census1991__20__07",1,"census1991__20__07",1,"exact_source_set_agreement"
"census2001__03__07","census1991__20__08|census1991__20__09",2,"census1991__20__04|census1991__20__09",2,"source_set_conflict"
"census2001__03__08","census1991__20__08|census1991__20__09",2,"census1991__20__04|census1991__20__09",2,"source_set_conflict"
"census2001__03__17","census1991__20__09",1,"census1991__20__09",1,"exact_source_set_agreement"
"census2001__03__16","census1991__20__10",1,"census1991__20__10",1,"exact_source_set_agreement"
"census2001__03__13","census1991__20__12",1,"census1991__20__12",1,"exact_source_set_agreement"
"census2001__08__06","census1991__21__05",1,"census1991__21__05",1,"exact_source_set_agreement"
"census2001__08__09","census1991__21__08",1,"census1991__21__08",1,"exact_source_set_agreement"
"census2001__08__10","census1991__21__08",1,"census1991__21__08",1,"exact_source_set_agreement"
"census2001__08__11","census1991__21__08|census1991__21__09",2,"census1991__21__08|census1991__21__09",2,"exact_source_set_agreement"
"census2001__08__12","census1991__21__09",1,"census1991__21__09",1,"exact_source_set_agreement"
"census2001__08__30","census1991__21__09|census1991__21__26",2,"census1991__21__26",1,"source_set_conflict"
"census2001__08__16","census1991__21__13",1,"census1991__21__13",1,"exact_source_set_agreement"
"census2001__08__15","census1991__21__14",1,"census1991__21__14",1,"exact_source_set_agreement"
"census2001__08__26","census1991__21__21",1,"census1991__21__21",1,"exact_source_set_agreement"
"census2001__08__25","census1991__21__21",1,"census1991__21__21",1,"exact_source_set_agreement"
"census2001__08__23","census1991__21__25",1,"census1991__21__25",1,"exact_source_set_agreement"
"census2001__08__31","census1991__21__26",1,"census1991__21__26",1,"exact_source_set_agreement"
"census2001__08__32","census1991__21__27",1,"census1991__21__27",1,"exact_source_set_agreement"
"census2001__33__24","census1991__23__02|census1991__23__16",2,"census1991__23__16",1,"source_set_conflict"
"census2001__33__27","census1991__23__10|census1991__23__18",2,"census1991__23__17",1,"source_set_conflict"
"census2001__33__26","census1991__23__10|census1991__23__17|census1991__23__18",3,"census1991__23__18",1,"source_set_conflict"
"census2001__33__21","census1991__23__13",1,"census1991__23__13",1,"exact_source_set_agreement"
"census2001__33__19","census1991__23__13",1,"census1991__23__13",1,"exact_source_set_agreement"
"census2001__33__20","census1991__23__13",1,"census1991__23__13",1,"exact_source_set_agreement"
"census2001__33__23","census1991__23__15|census1991__23__18",2,"census1991__23__17",1,"source_set_conflict"
"census2001__33__25","census1991__23__16",1,"census1991__23__16",1,"exact_source_set_agreement"
"census2001__16__01","census1991__24__01",1,"census1991__24__01",1,"exact_source_set_agreement"
"census2001__16__04","census1991__24__02",1,"census1991__24__02",1,"exact_source_set_agreement"
"census2001__16__03","census1991__24__02|census1991__24__03",2,"census1991__24__02|census1991__24__03",2,"exact_source_set_agreement"
"census2001__16__02","census1991__24__03",1,"census1991__24__03",1,"exact_source_set_agreement"
"census2001__05__02","census1991__25__02",1,"census1991__25__02",1,"exact_source_set_agreement"
"census2001__05__03","census1991__25__02|census1991__25__03|census1991__25__05",3,"census1991__25__02|census1991__25__03|census1991__25__05",3,"exact_source_set_agreement"
"census2001__05__04","census1991__25__03",1,"census1991__25__03",1,"exact_source_set_agreement"
"census2001__05__06","census1991__25__05",1,"census1991__25__05",1,"exact_source_set_agreement"
"census2001__05__07","census1991__25__06",1,"census1991__25__06",1,"exact_source_set_agreement"
"census2001__05__10","census1991__25__06|census1991__25__08",2,"census1991__25__06|census1991__25__08",2,"exact_source_set_agreement"
"census2001__05__09","census1991__25__07",1,"census1991__25__07",1,"exact_source_set_agreement"
"census2001__05__08","census1991__25__07",1,"census1991__25__07",1,"exact_source_set_agreement"
"census2001__05__12","census1991__25__08",1,"census1991__25__08",1,"exact_source_set_agreement"
"census2001__05__11","census1991__25__08",1,"census1991__25__05|census1991__25__08",2,"source_set_conflict"
"census2001__09__03","census1991__25__09",1,"census1991__25__09",1,"exact_source_set_agreement"
"census2001__09__04","census1991__25__10",1,"census1991__25__10",1,"exact_source_set_agreement"
"census2001__09__06","census1991__25__10",1,"census1991__25__10",1,"exact_source_set_agreement"
"census2001__09__01","census1991__25__12",1,"census1991__25__12",1,"exact_source_set_agreement"
"census2001__05__13","census1991__25__13",1,"census1991__25__13",1,"exact_source_set_agreement"
"census2001__09__02","census1991__25__14",1,"census1991__25__14",1,"exact_source_set_agreement"
"census2001__09__07","census1991__25__15",1,"census1991__25__15",1,"exact_source_set_agreement"
"census2001__09__08","census1991__25__15",1,"census1991__25__15",1,"exact_source_set_agreement"
"census2001__09__09","census1991__25__16",1,"census1991__25__16",1,"exact_source_set_agreement"
"census2001__09__10","census1991__25__16|census1991__25__17",2,"census1991__25__16|census1991__25__17",2,"exact_source_set_agreement"
"census2001__09__11","census1991__25__17",1,"census1991__25__17",1,"exact_source_set_agreement"
"census2001__09__12","census1991__25__18",1,"census1991__25__18",1,"exact_source_set_agreement"
"census2001__09__13","census1991__25__18|census1991__25__19",2,"census1991__25__18|census1991__25__19",2,"exact_source_set_agreement"
"census2001__09__14","census1991__25__19",1,"census1991__25__19",1,"exact_source_set_agreement"
"census2001__09__15","census1991__25__20",1,"census1991__25__20",1,"exact_source_set_agreement"
"census2001__09__16","census1991__25__21",1,"census1991__25__21",1,"exact_source_set_agreement"
"census2001__09__18","census1991__25__23",1,"census1991__25__23",1,"exact_source_set_agreement"
"census2001__09__31","census1991__25__23|census1991__25__35",2,"census1991__25__23|census1991__25__35",2,"exact_source_set_agreement"
"census2001__09__26","census1991__25__31",1,"census1991__25__31",1,"exact_source_set_agreement"
"census2001__09__49","census1991__25__33|census1991__25__50",2,"census1991__25__50",1,"source_set_conflict"
"census2001__09__42","census1991__25__33|census1991__25__43",2,"census1991__25__43",1,"source_set_conflict"
"census2001__09__32","census1991__25__35",1,"census1991__25__35",1,"exact_source_set_agreement"
"census2001__09__33","census1991__25__36",1,"census1991__25__36",1,"exact_source_set_agreement"
"census2001__09__34","census1991__25__36|census1991__25__37",2,"census1991__25__36|census1991__25__37",2,"exact_source_set_agreement"
"census2001__09__47","census1991__25__48|census1991__25__49",2,"census1991__25__49",1,"source_set_conflict"
"census2001__09__48","census1991__25__49|census1991__25__57",2,"census1991__25__49|census1991__25__57",2,"exact_source_set_agreement"
"census2001__09__56","census1991__25__51|census1991__25__53",2,"census1991__25__53",1,"source_set_conflict"
"census2001__09__55","census1991__25__53",1,"census1991__25__53",1,"exact_source_set_agreement"
"census2001__09__61","census1991__25__57",1,"census1991__25__57",1,"exact_source_set_agreement"
"census2001__09__63","census1991__25__59|census1991__25__63",2,"census1991__25__59",1,"source_set_conflict"
"census2001__09__67","census1991__25__61",1,"census1991__25__61",1,"exact_source_set_agreement"
"census2001__09__66","census1991__25__61|census1991__25__63",2,"census1991__25__61",1,"source_set_conflict"
"census2001__09__68","census1991__25__61",1,"census1991__25__61",1,"exact_source_set_agreement"
"census2001__09__69","census1991__25__62",1,"census1991__25__62",1,"exact_source_set_agreement"
"census2001__19__07","census1991__26__06",1,"census1991__26__06",1,"exact_source_set_agreement"
"census2001__19__10","census1991__26__07",1,"census1991__26__07",1,"exact_source_set_agreement"
"census2001__19__17","census1991__26__10",1,"census1991__26__10",1,"exact_source_set_agreement"
"census2001__04__01","census1991__28__01",1,"census1991__28__01",1,"exact_source_set_agreement"
"census2001__23__30","census1991__13__26",1,NA,NA,"reference_only"
"census2001__23__31","census1991__13__27",1,NA,NA,"reference_only"
"census2001__28__13","census1991__02__03",1,NA,NA,"reference_only"
"census2001__28__14","census1991__02__04",1,NA,NA,"reference_only"
"census2001__28__15","census1991__02__05",1,NA,NA,"reference_only"
"census2001__28__16","census1991__02__06",1,NA,NA,"reference_only"
"census2001__24__03","census1991__07__08|census1991__07__10",2,NA,NA,"reference_only"
"census2001__24__05","census1991__07__09",1,NA,NA,"reference_only"
"census2001__24__04","census1991__07__10",1,NA,NA,"reference_only"
"census2001__23__38","census1991__13__33",1,NA,NA,"reference_only"
"census2001__24__07","census1991__07__12",1,NA,NA,"reference_only"
"census2001__23__42","census1991__13__35",1,NA,NA,"reference_only"
"census2001__23__41","census1991__13__35",1,NA,NA,"reference_only"
"census2001__28__07","census1991__02__14",1,NA,NA,"reference_only"
"census2001__28__06","census1991__02__15",1,NA,NA,"reference_only"
"census2001__23__45","census1991__13__38",1,NA,NA,"reference_only"
"census2001__22__02","census1991__13__39",1,NA,NA,"reference_only"
"census2001__24__22","census1991__07__17",1,NA,NA,"reference_only"
"census2001__28__01","census1991__02__19",1,NA,NA,"reference_only"
"census2001__28__03","census1991__02__20",1,NA,NA,"reference_only"
"census2001__28__09","census1991__02__21",1,NA,NA,"reference_only"
"census2001__28__10","census1991__02__22",1,NA,NA,"reference_only"
"census2001__06__03","census1991__08__02",1,NA,NA,"reference_only"
"census2001__12__01","census1991__03__01",1,NA,NA,"reference_only"
"census2001__12__02","census1991__03__02",1,NA,NA,"reference_only"
"census2001__12__03","census1991__03__03",1,NA,NA,"reference_only"
"census2001__22__11","census1991__13__44",1,NA,NA,"reference_only"
"census2001__22__12","census1991__13__44",1,NA,NA,"reference_only"
"census2001__22__13","census1991__13__44",1,NA,NA,"reference_only"
"census2001__22__15","census1991__13__45",1,NA,NA,"reference_only"
"census2001__22__16","census1991__13__45",1,NA,NA,"reference_only"
"census2001__22__14","census1991__13__45",1,NA,NA,"reference_only"
"census2001__12__10","census1991__03__08",1,NA,NA,"reference_only"
"census2001__12__11","census1991__03__09",1,NA,NA,"reference_only"
"census2001__12__12","census1991__03__10",1,NA,NA,"reference_only"
"census2001__12__13","census1991__03__11",1,NA,NA,"reference_only"
"census2001__27__20","census1991__14__06",1,NA,NA,"reference_only"
"census2001__27__02","census1991__14__07",1,NA,NA,"reference_only"
"census2001__27__01","census1991__14__07",1,NA,NA,"reference_only"
"census2001__27__03","census1991__14__08",1,NA,NA,"reference_only"
"census2001__27__26","census1991__14__09",1,NA,NA,"reference_only"
"census2001__02__06","census1991__09__03",1,NA,NA,"reference_only"
"census2001__27__31","census1991__14__11",1,NA,NA,"reference_only"
"census2001__02__08","census1991__09__05",1,NA,NA,"reference_only"
"census2001__02__05","census1991__09__06",1,NA,NA,"reference_only"
"census2001__18__12","census1991__04__10",1,NA,NA,"reference_only"
"census2001__18__13","census1991__04__11",1,NA,NA,"reference_only"
"census2001__18__09","census1991__04__12",1,NA,NA,"reference_only"
"census2001__18__10","census1991__04__13",1,NA,NA,"reference_only"
"census2001__02__10","census1991__09__11",1,NA,NA,"reference_only"
"census2001__02__12","census1991__09__12",1,NA,NA,"reference_only"
"census2001__29__20","census1991__11__01",1,NA,NA,"reference_only"
"census2001__18__15","census1991__04__17",1,NA,NA,"reference_only"
"census2001__18__14","census1991__04__18",1,NA,NA,"reference_only"
"census2001__18__19","census1991__04__19",1,NA,NA,"reference_only"
"census2001__18__20","census1991__04__20",1,NA,NA,"reference_only"
"census2001__18__22","census1991__04__21",1,NA,NA,"reference_only"
"census2001__18__23","census1991__04__22",1,NA,NA,"reference_only"
"census2001__18__21","census1991__04__23",1,NA,NA,"reference_only"
"census2001__29__17","census1991__11__07",1,NA,NA,"reference_only"
"census2001__33__01","census1991__23__02|census1991__23__07",2,NA,NA,"reference_only"
"census2001__29__24","census1991__11__09",1,NA,NA,"reference_only"
"census2001__29__16","census1991__11__09",1,NA,NA,"reference_only"
"census2001__27__13","census1991__14__29",1,NA,NA,"reference_only"
"census2001__27__12","census1991__14__30",1,NA,NA,"reference_only"
"census2001__14__01","census1991__15__01",1,NA,NA,"reference_only"
"census2001__10__19","census1991__05__04|census1991__05__18",2,NA,NA,"reference_only"
"census2001__10__34","census1991__05__05",1,NA,NA,"reference_only"
"census2001__10__33","census1991__05__06",1,NA,NA,"reference_only"
"census2001__10__35","census1991__05__07",1,NA,NA,"reference_only"
"census2001__10__36","census1991__05__08",1,NA,NA,"reference_only"
"census2001__29__26","census1991__11__16",1,NA,NA,"reference_only"
"census2001__29__27","census1991__11__16",1,NA,NA,"reference_only"
