"target_unit_id","source_set_reference","n_sources_reference","source_set_candidate","n_sources_candidate","target_status"
"census2001__28__11","census1991__02__01",1,"census1991__02__01",1,"exact_source_set_agreement"
"census2001__28__12","census1991__02__02",1,"census1991__02__02",1,"exact_source_set_agreement"
"census2001__28__17","census1991__02__07",1,"census1991__02__07",1,"exact_source_set_agreement"
"census2001__28__18","census1991__02__08",1,"census1991__02__08",1,"exact_source_set_agreement"
"census2001__28__19","census1991__02__09",1,"census1991__02__09",1,"exact_source_set_agreement"
"census2001__28__23","census1991__02__10",1,"census1991__02__10",1,"exact_source_set_agreement"
"census2001__28__20","census1991__02__11|census1991__02__12",2,"census1991__02__11|census1991__02__12",2,"exact_source_set_agreement"
"census2001__28__22","census1991__02__12",1,"census1991__02__12",1,"exact_source_set_agreement"
"census2001__28__21","census1991__02__13",1,"census1991__02__13",1,"exact_source_set_agreement"
"census2001__28__05","census1991__02__16",1,"census1991__02__16",1,"exact_source_set_agreement"
"census2001__28__04","census1991__02__17",1,"census1991__02__17",1,"exact_source_set_agreement"
"census2001__28__02","census1991__02__18",1,"census1991__02__18",1,"exact_source_set_agreement"
"census2001__28__08","census1991__02__23",1,"census1991__02__23",1,"exact_source_set_agreement"
"census2001__12__07","census1991__03__03|census1991__03__06",2,"census1991__03__06",1,"source_set_conflict"
"census2001__12__05","census1991__03__04|census1991__03__09",2,"census1991__03__04",1,"source_set_conflict"
"census2001__12__04","census1991__03__04",1,"census1991__03__04",1,"exact_source_set_agreement"
"census2001__12__06","census1991__03__05",1,"census1991__03__05",1,"exact_source_set_agreement"
"census2001__12__08","census1991__03__07",1,"census1991__03__07",1,"exact_source_set_agreement"
"census2001__12__09","census1991__03__07",1,"census1991__03__07",1,"exact_source_set_agreement"
"census2001__18__02","census1991__04__01",1,"census1991__04__01",1,"exact_source_set_agreement"
"census2001__18__01","census1991__04__02",1,"census1991__04__01|census1991__04__02",2,"source_set_conflict"
"census2001__18__04","census1991__04__03",1,"census1991__04__03",1,"exact_source_set_agreement"
