"canonical_language","state_code_2001","unmapped_speakers","n_districts","share_of_unmapped_speakers"
"Vaiphei","01",4,2,1.79401392271415e-05
"Rai","02",4,1,1.79401392271415e-05
"Sema","02",4,1,1.79401392271415e-05
"Kom","06",4,2,1.79401392271415e-05
"Lalung","06",4,1,1.79401392271415e-05
"Parji","06",4,1,1.79401392271415e-05
"Karbi / Mikir","08",4,1,1.79401392271415e-05
"Kuki","08",4,1,1.79401392271415e-05
"Anal","09",4,1,1.79401392271415e-05
"Miri/Mishing","09",4,1,1.79401392271415e-05
"Mishmi","09",4,3,1.79401392271415e-05
"Karbi / Mikir","11",4,1,1.79401392271415e-05
"Sangtam","11",4,2,1.79401392271415e-05
"Zou","11",4,1,1.79401392271415e-05
"Korku","12",4,1,1.79401392271415e-05
"Phom","12",4,1,1.79401392271415e-05
"Pochury","12",4,1,1.79401392271415e-05
"Coorgi/Kodagu","13",4,2,1.79401392271415e-05
"Koch","13",4,2,1.79401392271415e-05
"Chakru/Chokri","14",4,3,1.79401392271415e-05
"Limbu","14",4,1,1.79401392271415e-05
"Karbi / Mikir","15",4,1,1.79401392271415e-05
"Kinnauri","15",4,1,1.79401392271415e-05
"Sema","15",4,3,1.79401392271415e-05
"Sherpa","15",4,1,1.79401392271415e-05
"Simte","16",4,2,1.79401392271415e-05
"Dimasa","19",4,1,1.79401392271415e-05
"Pawi","19",4,1,1.79401392271415e-05
"Monpa","20",4,2,1.79401392271415e-05
"Tangkhul","20",4,1,1.79401392271415e-05
"Korku","21",4,2,1.79401392271415e-05
"Lotha","21",4,1,1.79401392271415e-05
"Pochury","21",4,1,1.79401392271415e-05
"Bishnupuriya","22",4,1,1.79401392271415e-05
"Tangsa","23",4,2,1.79401392271415e-05
"Coorgi/Kodagu","24",4,3,1.79401392271415e-05
"Dimasa","24",4,3,1.79401392271415e-05
"Parji","24",4,1,1.79401392271415e-05
"Tangkhul","24",4,1,1.79401392271415e-05
"Khandeshi","25",4,1,1.79401392271415e-05
"Jatapu","27",4,2,1.79401392271415e-05
"Vaiphei","27",4,2,1.79401392271415e-05
"Yimchungre","27",4,1,1.79401392271415e-05
"Bishnupuriya","28",4,1,1.79401392271415e-05
"Lepcha","30",4,1,1.79401392271415e-05
"Persian","32",4,2,1.79401392271415e-05
"Kabui","33",4,2,1.79401392271415e-05
"Kinnauri","33",4,3,1.79401392271415e-05
"Coorgi/Kodagu","34",4,1,1.79401392271415e-05
"Korwa","35",4,1,1.79401392271415e-05
"Lepcha","01",3,2,1.34551044203561e-05
"Nicobarese","01",3,2,1.34551044203561e-05
"Sherpa","01",3,3,1.34551044203561e-05
"Wancho","01",3,3,1.34551044203561e-05
"Nicobarese","03",3,1,1.34551044203561e-05
"Sema","04",3,1,1.34551044203561e-05
"Kom","05",3,2,1.34551044203561e-05
"Lepcha","05",3,1,1.34551044203561e-05
"Lotha","05",3,2,1.34551044203561e-05
"Balti","07",3,1,1.34551044203561e-05
"Mishmi","07",3,2,1.34551044203561e-05
"Anal","08",3,2,1.34551044203561e-05
"Monpa","08",3,2,1.34551044203561e-05
"Rabha","08",3,2,1.34551044203561e-05
"Koch","09",3,3,1.34551044203561e-05
"Afghani/Kabuli/Pashto","10",3,1,1.34551044203561e-05
"Rabha","11",3,2,1.34551044203561e-05
"Sanskrit","11",3,1,1.34551044203561e-05
"Jatapu","12",3,1,1.34551044203561e-05
"Sherpa","13",3,1,1.34551044203561e-05
"Monpa","14",3,3,1.34551044203561e-05
"Phom","14",3,2,1.34551044203561e-05
"Pochury","14",3,1,1.34551044203561e-05
"Anal","15",3,3,1.34551044203561e-05
"Miri/Mishing","15",3,1,1.34551044203561e-05
"Pochury","15",3,2,1.34551044203561e-05
"Kom","16",3,1,1.34551044203561e-05
"Miri/Mishing","16",3,2,1.34551044203561e-05
"Mishmi","16",3,1,1.34551044203561e-05
"Vaiphei","16",3,1,1.34551044203561e-05
"Phom","20",3,1,1.34551044203561e-05
"Rabha","20",3,1,1.34551044203561e-05
"Coorgi/Kodagu","21",3,1,1.34551044203561e-05
"Dimasa","21",3,2,1.34551044203561e-05
"Kuki","23",3,2,1.34551044203561e-05
"Rai","23",3,1,1.34551044203561e-05
"Koch","25",3,1,1.34551044203561e-05
"Korku","26",3,1,1.34551044203561e-05
"Liangmei","28",3,2,1.34551044203561e-05
"Limbu","28",3,2,1.34551044203561e-05
"Bishnupuriya","29",3,3,1.34551044203561e-05
"Jatapu","29",3,2,1.34551044203561e-05
"Halabi","30",3,1,1.34551044203561e-05
"Nicobarese","30",3,1,1.34551044203561e-05
"Nepali","31",3,1,1.34551044203561e-05
"Simte","32",3,3,1.34551044203561e-05
"Kuki","33",3,1,1.34551044203561e-05
"Limbu","33",3,1,1.34551044203561e-05
"Pochury","33",3,3,1.34551044203561e-05
"Sema","33",3,2,1.34551044203561e-05
"Arabic/Arbi","34",3,2,1.34551044203561e-05
"Lahnda","34",3,1,1.34551044203561e-05
"Nicobarese","34",3,1,1.34551044203561e-05
"Chakru/Chokri","35",3,1,1.34551044203561e-05
"Kuki","35",3,1,1.34551044203561e-05
"Dimasa","01",2,1,8.97006961357075e-06
"Khiemnungan","01",2,1,8.97006961357075e-06
"Kom","01",2,1,8.97006961357075e-06
"Mogh","01",2,2,8.97006961357075e-06
"Kuki","02",2,1,8.97006961357075e-06
"Mishmi","02",2,1,8.97006961357075e-06
"Anal","03",2,2,8.97006961357075e-06
"Shina","03",2,2,8.97006961357075e-06
"Wancho","03",2,1,8.97006961357075e-06
"Bhili/Bhilodi","04",2,1,8.97006961357075e-06
"Nicobarese","04",2,1,8.97006961357075e-06
"Bishnupuriya","05",2,1,8.97006961357075e-06
"Chakhesang","05",2,1,8.97006961357075e-06
"Chakru/Chokri","06",2,1,8.97006961357075e-06
"Kabui","06",2,2,8.97006961357075e-06
"Liangmei","06",2,1,8.97006961357075e-06
"Lotha","06",2,1,8.97006961357075e-06
"Maring","06",2,1,8.97006961357075e-06
"Jatapu","07",2,1,8.97006961357075e-06
"Limbu","07",2,2,8.97006961357075e-06
"Phom","07",2,2,8.97006961357075e-06
"Wancho","07",2,2,8.97006961357075e-06
"Liangmei","08",2,1,8.97006961357075e-06
"Nicobarese","09",2,1,8.97006961357075e-06
"Shina","09",2,2,8.97006961357075e-06
"Koch","10",2,2,8.97006961357075e-06
"Mogh","10",2,2,8.97006961357075e-06
"Kabui","11",2,1,8.97006961357075e-06
"Koch","11",2,2,8.97006961357075e-06
"Maring","11",2,1,8.97006961357075e-06
"Vaiphei","11",2,2,8.97006961357075e-06
"Chakru/Chokri","12",2,2,8.97006961357075e-06
"Coorgi/Kodagu","12",2,1,8.97006961357075e-06
"Kisan","12",2,2,8.97006961357075e-06
"Kom","12",2,1,8.97006961357075e-06
"Persian","12",2,2,8.97006961357075e-06
"Afghani/Kabuli/Pashto","13",2,2,8.97006961357075e-06
"Korku","13",2,2,8.97006961357075e-06
"Korwa","13",2,2,8.97006961357075e-06
"Mogh","14",2,1,8.97006961357075e-06
"Nicobarese","14",2,1,8.97006961357075e-06
"Chakhesang","15",2,2,8.97006961357075e-06
"Halabi","15",2,1,8.97006961357075e-06
"Zeliang","15",2,1,8.97006961357075e-06
"Coorgi/Kodagu","16",2,1,8.97006961357075e-06
"Pochury","17",2,1,8.97006961357075e-06
"Lakher","18",2,2,8.97006961357075e-06
"Nicobarese","18",2,2,8.97006961357075e-06
"Chakhesang","19",2,1,8.97006961357075e-06
"Simte","19",2,2,8.97006961357075e-06
"Jatapu","20",2,1,8.97006961357075e-06
"Kabui","20",2,2,8.97006961357075e-06
"Lepcha","20",2,1,8.97006961357075e-06
"Lotha","20",2,1,8.97006961357075e-06
"Koch","21",2,2,8.97006961357075e-06
"Monpa","21",2,1,8.97006961357075e-06
"Kinnauri","22",2,1,8.97006961357075e-06
"Koch","22",2,2,8.97006961357075e-06
"Tangkhul","22",2,1,8.97006961357075e-06
"Tangkhul","23",2,2,8.97006961357075e-06
"Korku","24",2,1,8.97006961357075e-06
"Rai","24",2,1,8.97006961357075e-06
"Nicobarese","25",2,1,8.97006961357075e-06
"Anal","26",2,1,8.97006961357075e-06
"Koch","26",2,1,8.97006961357075e-06
"Rai","26",2,1,8.97006961357075e-06
"Kom","27",2,2,8.97006961357075e-06
"Koya","27",2,1,8.97006961357075e-06
"Maring","27",2,2,8.97006961357075e-06
"Miri/Mishing","27",2,2,8.97006961357075e-06
"Sangtam","27",2,1,8.97006961357075e-06
"Wancho","27",2,1,8.97006961357075e-06
"Sangtam","28",2,1,8.97006961357075e-06
"Dimasa","29",2,2,8.97006961357075e-06
"Mogh","29",2,1,8.97006961357075e-06
"Parji","29",2,1,8.97006961357075e-06
"Rai","29",2,2,8.97006961357075e-06
"Zeliang","29",2,2,8.97006961357075e-06
"Parji","30",2,1,8.97006961357075e-06
"Sherpa","30",2,1,8.97006961357075e-06
"Tangsa","30",2,1,8.97006961357075e-06
"Lahnda","31",2,1,8.97006961357075e-06
"Bishnupuriya","32",2,2,8.97006961357075e-06
"Kuki","32",2,2,8.97006961357075e-06
"Sema","32",2,2,8.97006961357075e-06
"Halabi","33",2,1,8.97006961357075e-06
"Liangmei","33",2,1,8.97006961357075e-06
"Miri/Mishing","33",2,2,8.97006961357075e-06
"Bhili/Bhilodi","34",2,1,8.97006961357075e-06
"Sema","34",2,1,8.97006961357075e-06
"Arabic/Arbi","35",2,1,8.97006961357075e-06
"Chakru/Chokri","01",1,1,4.48503480678537e-06
"Maring","01",1,1,4.48503480678537e-06
"Phom","01",1,1,4.48503480678537e-06
"Rabha","01",1,1,4.48503480678537e-06
"Sangtam","01",1,1,4.48503480678537e-06
"Simte","01",1,1,4.48503480678537e-06
"Yimchungre","01",1,1,4.48503480678537e-06
"Zeliang","01",1,1,4.48503480678537e-06
"Kolami","02",1,1,4.48503480678537e-06
"Korku","02",1,1,4.48503480678537e-06
"Monpa","02",1,1,4.48503480678537e-06
"Persian","02",1,1,4.48503480678537e-06
"Tangsa","02",1,1,4.48503480678537e-06
"Halabi","03",1,1,4.48503480678537e-06
"Koch","03",1,1,4.48503480678537e-06
"Korwa","03",1,1,4.48503480678537e-06
"Miri/Mishing","03",1,1,4.48503480678537e-06
"Mishmi","03",1,1,4.48503480678537e-06
"Monpa","03",1,1,4.48503480678537e-06
"Pochury","03",1,1,4.48503480678537e-06
"Rabha","03",1,1,4.48503480678537e-06
"Rai","03",1,1,4.48503480678537e-06
"Vaiphei","03",1,1,4.48503480678537e-06
"Anal","04",1,1,4.48503480678537e-06
"Coorgi/Kodagu","04",1,1,4.48503480678537e-06
"Kabui","04",1,1,4.48503480678537e-06
"Wancho","04",1,1,4.48503480678537e-06
"Chakru/Chokri","05",1,1,4.48503480678537e-06
"Coorgi/Kodagu","05",1,1,4.48503480678537e-06
"Jatapu","05",1,1,4.48503480678537e-06
"Juang","05",1,1,4.48503480678537e-06
"Koya","05",1,1,4.48503480678537e-06
"Mishmi","05",1,1,4.48503480678537e-06
"Nicobarese","05",1,1,4.48503480678537e-06
"Vaiphei","05",1,1,4.48503480678537e-06
"Yimchungre","05",1,1,4.48503480678537e-06
"Balti","06",1,1,4.48503480678537e-06
"Mishmi","06",1,1,4.48503480678537e-06
"Rabha","06",1,1,4.48503480678537e-06
"Sema","06",1,1,4.48503480678537e-06
"Shina","06",1,1,4.48503480678537e-06
"Wancho","06",1,1,4.48503480678537e-06
"Zeliang","06",1,1,4.48503480678537e-06
"Lakher","07",1,1,4.48503480678537e-06
"Miri/Mishing","07",1,1,4.48503480678537e-06
"Nicobarese","07",1,1,4.48503480678537e-06
"Shina","07",1,1,4.48503480678537e-06
"Tangsa","07",1,1,4.48503480678537e-06
"Zeliang","07",1,1,4.48503480678537e-06
"Kabui","08",1,1,4.48503480678537e-06
"Kinnauri","08",1,1,4.48503480678537e-06
"Mishmi","08",1,1,4.48503480678537e-06
"Sema","08",1,1,4.48503480678537e-06
"Tangkhul","08",1,1,4.48503480678537e-06
"Vaiphei","08",1,1,4.48503480678537e-06
"Yimchungre","08",1,1,4.48503480678537e-06
"Karbi / Mikir","09",1,1,4.48503480678537e-06
"Kom","09",1,1,4.48503480678537e-06
"Lepcha","09",1,1,4.48503480678537e-06
"Pawi","09",1,1,4.48503480678537e-06
"Sangtam","09",1,1,4.48503480678537e-06
"Tangkhul","09",1,1,4.48503480678537e-06
"Tangsa","09",1,1,4.48503480678537e-06
"Vaiphei","09",1,1,4.48503480678537e-06
"Bishnupuriya","10",1,1,4.48503480678537e-06
"Khandeshi","10",1,1,4.48503480678537e-06
"Rai","10",1,1,4.48503480678537e-06
"Sherpa","10",1,1,4.48503480678537e-06
"Dimasa","11",1,1,4.48503480678537e-06
"Khandeshi","11",1,1,4.48503480678537e-06
"Lalung","11",1,1,4.48503480678537e-06
"Nicobarese","11",1,1,4.48503480678537e-06
"Simte","11",1,1,4.48503480678537e-06
"Zeliang","11",1,1,4.48503480678537e-06
"Khandeshi","12",1,1,4.48503480678537e-06
"Khiemnungan","12",1,1,4.48503480678537e-06
"Konyak","12",1,1,4.48503480678537e-06
"Lahnda","12",1,1,4.48503480678537e-06
"Liangmei","12",1,1,4.48503480678537e-06
"Parji","12",1,1,4.48503480678537e-06
"Pawi","12",1,1,4.48503480678537e-06
"Sanskrit","12",1,1,4.48503480678537e-06
"Yimchungre","12",1,1,4.48503480678537e-06
"Jatapu","13",1,1,4.48503480678537e-06
"Kolami","13",1,1,4.48503480678537e-06
"Lalung","13",1,1,4.48503480678537e-06
"Shina","13",1,1,4.48503480678537e-06
"Jatapu","14",1,1,4.48503480678537e-06
"Khandeshi","14",1,1,4.48503480678537e-06
"Konyak","14",1,1,4.48503480678537e-06
"Yimchungre","14",1,1,4.48503480678537e-06
"Chakru/Chokri","15",1,1,4.48503480678537e-06
"Lahnda","15",1,1,4.48503480678537e-06
"Lepcha","15",1,1,4.48503480678537e-06
"Limbu","15",1,1,4.48503480678537e-06
"Monpa","15",1,1,4.48503480678537e-06
"Afghani/Kabuli/Pashto","16",1,1,4.48503480678537e-06
"Halabi","16",1,1,4.48503480678537e-06
"Jatapu","16",1,1,4.48503480678537e-06
"Khandeshi","16",1,1,4.48503480678537e-06
"Kinnauri","16",1,1,4.48503480678537e-06
"Koch","16",1,1,4.48503480678537e-06
"Nicobarese","16",1,1,4.48503480678537e-06
"Korwa","17",1,1,4.48503480678537e-06
"Mishmi","17",1,1,4.48503480678537e-06
"Nicobarese","17",1,1,4.48503480678537e-06
"Parji","17",1,1,4.48503480678537e-06
"Sanskrit","17",1,1,4.48503480678537e-06
"Balti","18",1,1,4.48503480678537e-06
"Chakru/Chokri","19",1,1,4.48503480678537e-06
"Phom","19",1,1,4.48503480678537e-06
"Pochury","19",1,1,4.48503480678537e-06
"Shina","19",1,1,4.48503480678537e-06
"Chakru/Chokri","20",1,1,4.48503480678537e-06
"Mishmi","20",1,1,4.48503480678537e-06
"Pochury","20",1,1,4.48503480678537e-06
"Tangsa","20",1,1,4.48503480678537e-06
"Jatapu","21",1,1,4.48503480678537e-06
"Sangtam","21",1,1,4.48503480678537e-06
"Wancho","21",1,1,4.48503480678537e-06
"Kom","22",1,1,4.48503480678537e-06
"Monpa","22",1,1,4.48503480678537e-06
"Bishnupuriya","23",1,1,4.48503480678537e-06
"Karbi / Mikir","23",1,1,4.48503480678537e-06
"Koya","23",1,1,4.48503480678537e-06
"Maring","23",1,1,4.48503480678537e-06
"Sema","23",1,1,4.48503480678537e-06
"Chakhesang","24",1,1,4.48503480678537e-06
"Kinnauri","24",1,1,4.48503480678537e-06
"Kolami","24",1,1,4.48503480678537e-06
"Rabha","24",1,1,4.48503480678537e-06
"Sema","24",1,1,4.48503480678537e-06
"Tangsa","24",1,1,4.48503480678537e-06
"Rai","25",1,1,4.48503480678537e-06
"Korwa","26",1,1,4.48503480678537e-06
"Chakru/Chokri","27",1,1,4.48503480678537e-06
"Monpa","27",1,1,4.48503480678537e-06
"Pochury","27",1,1,4.48503480678537e-06
"Mishmi","28",1,1,4.48503480678537e-06
"Nicobarese","28",1,1,4.48503480678537e-06
"Balti","29",1,1,4.48503480678537e-06
"Kolami","29",1,1,4.48503480678537e-06
"Pochury","29",1,1,4.48503480678537e-06
"Anal","30",1,1,4.48503480678537e-06
"Konyak","30",1,1,4.48503480678537e-06
"Korwa","30",1,1,4.48503480678537e-06
"Lotha","30",1,1,4.48503480678537e-06
"Persian","30",1,1,4.48503480678537e-06
"Zeliang","30",1,1,4.48503480678537e-06
"Zou","30",1,1,4.48503480678537e-06
"English","31",1,1,4.48503480678537e-06
"Kabui","32",1,1,4.48503480678537e-06
"Koya","32",1,1,4.48503480678537e-06
"Miri/Mishing","32",1,1,4.48503480678537e-06
"Nicobarese","32",1,1,4.48503480678537e-06
"Pochury","32",1,1,4.48503480678537e-06
"Shina","32",1,1,4.48503480678537e-06
"Tangkhul","32",1,1,4.48503480678537e-06
"Zou","32",1,1,4.48503480678537e-06
"Dimasa","33",1,1,4.48503480678537e-06
"Konyak","33",1,1,4.48503480678537e-06
"Lepcha","33",1,1,4.48503480678537e-06
"Lotha","33",1,1,4.48503480678537e-06
"Monpa","33",1,1,4.48503480678537e-06
"Zeliang","33",1,1,4.48503480678537e-06
"Kabui","34",1,1,4.48503480678537e-06
"Korwa","34",1,1,4.48503480678537e-06
"Lotha","34",1,1,4.48503480678537e-06
"Parji","34",1,1,4.48503480678537e-06
"Afghani/Kabuli/Pashto","35",1,1,4.48503480678537e-06
"Bhili/Bhilodi","35",1,1,4.48503480678537e-06
