"analysis_id","predictor_id","sample_id","period_id","domain","predictor","tested_measures","joint_f","joint_p","n","n_states","population_1961","status","reason"
"strict_one_to_one","census_2001_ld","full_pretrend","1961_1991","labor","ling_distance_nonzero_mean_2001","main_worker_share;nonfarm_worker_share_main_workers",1.22123639064807,0.297943219423932,161,17,181849982,"estimated",NA
"strict_one_to_one","census_2001_ld","full_pretrend","1961_1991","education","ling_distance_nonzero_mean_2001","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.830581210036646,0.479220745780868,155,15,176382366,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1971","demography","ling_distance_helms_lim_1991","log_population;urban_share",0.969547171383847,0.38166647615619,166,17,185992827,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1971","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",1.00713922271553,0.367768573308069,166,17,185992827,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1971","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.335901705605235,0.799395847805324,166,17,185992827,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1971_1981","demography","ling_distance_helms_lim_1991","log_population;urban_share",0.691295018701643,0.502593028661285,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1971_1981","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",1.29289523817676,0.27766361613655,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1971_1981","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.18908889578883,0.90368937196241,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1981_1991","demography","ling_distance_helms_lim_1991","log_population;urban_share",4.40668094562109,0.0138951051462595,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1981_1991","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",0.519664641589041,0.595838708771063,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1981_1991","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",1.74440495208358,0.160798043373178,155,14,173075342,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1981","demography","ling_distance_helms_lim_1991","log_population;urban_share",0.285378733523387,0.752156603947661,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1981","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",3.19896756622299,0.0437409422811661,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1981","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.189263279256137,0.903571006916467,161,16,178542958,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1991","demography","ling_distance_helms_lim_1991","log_population;urban_share",1.38247145937726,0.254200823926267,166,17,185992827,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1991","labor","ling_distance_helms_lim_1991","main_worker_share;nonfarm_worker_share_main_workers",1.89021183193107,0.154692621134149,166,17,185992827,"estimated",NA
"strict_one_to_one","helms_lim_ld_1991","full_pretrend","1961_1991","education","ling_distance_helms_lim_1991","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",0.405763618799768,0.749084357142647,160,15,180525211,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1971","demography","emie_exposure","log_population;urban_share",0.181598562469831,0.834544145544973,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1971","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",0.558165898845908,0.576168575937786,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1961_1971","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",4.60838294445614,0.00687211243996577,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1971_1981","demography","emie_exposure","log_population;urban_share",0.128668194173821,0.879587975624799,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1971_1981","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",0.297392664328699,0.744200771698633,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1971_1981","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",4.87361037938372,0.00517987901730808,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1981_1991","demography","emie_exposure","log_population;urban_share",7.40130751797473,0.00166370997043719,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1981_1991","labor","emie_exposure","main_worker_share;nonfarm_worker_share_main_workers",2.46015830870003,0.0968370628544914,59,12,68802676,"estimated",NA
"strict_one_to_one","eventual_emie","historical_ld_support","1981_1991","education","emie_exposure","literate_share_population;primary_plus_share_population;matriculate_plus_share_population",12.0927815106256,8.31445935908178e-06,54,10,64441939,"estimated",NA
