"geography_spec_id","transition_id","source_vintage","source_state_code","source_district_code","source_unit_id","target_vintage","target_state_code","target_district_code","target_unit_id","allocation_weight","mapping_class","evidence_source","source_population_coverage","unallocated_population_share","allocation_status"
"G2_population_interpolated","shrug_1991_2001",1991,"03","04","census1991__03__04",2001,"12","04","census2001__12__04",0.447731905096028,"non_nested_or_incomplete","district_transition",0.993658159195494,0.00634184080450595,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","05","census1991__03__05",2001,"12","06","census2001__12__06",0.989264061973729,"non_nested_or_incomplete","district_transition",0.989264061973729,0.010735938026271,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","06","census1991__03__06",2001,"12","07","census2001__12__07",0.999155515135767,"non_nested_or_incomplete","district_transition",0.999155515135767,0.000844484864233053,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","07","census1991__03__07",2001,"12","08","census2001__12__08",0.747330550252785,"non_nested_or_incomplete","district_transition",0.997461662715811,0.00253833728418895,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","07","census1991__03__07",2001,"12","09","census2001__12__09",0.250131112463026,"non_nested_or_incomplete","district_transition",0.997461662715811,0.00253833728418895,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","08","census1991__03__08",2001,"12","10","census2001__12__10",0.993334593930226,"non_nested_or_incomplete","district_transition",0.993334593930226,0.00666540606977395,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","09","census1991__03__09",2001,"12","11","census2001__12__11",0.991101330939765,"non_nested_or_incomplete","district_transition",0.99114958836417,0.00885041163583,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","09","census1991__03__09",2001,"12","05","census2001__12__05",4.82574244047447e-05,"non_nested_or_incomplete","district_transition",0.99114958836417,0.00885041163583,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","10","census1991__03__10",2001,"12","12","census2001__12__12",1,"deterministic_containment","district_transition",1,0,"complete_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"03","11","census1991__03__11",2001,"12","13","census2001__12__13",1,"deterministic_containment","district_transition",1,0,"complete_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","01","census1991__04__01",2001,"18","02","census2001__18__02",0.994790905510543,"non_nested_or_incomplete","district_transition",0.994790905510543,0.00520909448945694,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","02","census1991__04__02",2001,"18","01","census2001__18__01",0.991411985203828,"non_nested_or_incomplete","district_transition",0.991411985203828,0.00858801479617199,"partial_population_partition"
"G2_population_interpolated","shrug_1991_2001",1991,"04","03","census1991__04__03",2001,"18","04","census2001__18__04",0.989040559835447,"non_nested_or_incomplete","district_transition",0.989040559835447,0.010959440164553,"partial_population_partition"
